key_title,openalex_match_score,openalex_title,openalex_year,openalex_url_or_id,doi,candidate_map_score,candidate_map_title,public_preview_score,public_preview_title,diagnosis,matching_csv_files
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,1.000,Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,https://openalex.org/W2991318208,10.1109/iccv.2019.00765,0.545,Detecting Deepfake Images Using Deep Learning Techniques and Explainable AI Methods,0.545,Detecting Deepfake Images Using Deep Learning Techniques and Explainable AI Methods,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:2 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:2 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
Learning to disentangle gan fingerprint for fake image attribution,1.000,Learning to Disentangle GAN Fingerprint for Fake Image Attribution,2021,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,0.607,FingerprintNet: Synthesized Fingerprints for Generated Image Detection,0.607,FingerprintNet: Synthesized Fingerprints for Generated Image Detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
Deepfake Network Architecture Attribution,1.000,Deepfake Network Architecture Attribution,2022,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,0.554,DeepFake Image Detection,0.554,DeepFake Image Detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
RepMix: Representation Mixing for Robust Attribution of Synthesized Images,1.000,RepMix: Representation Mixing for Robust Attribution of Synthesized Images,2022,https://openalex.org/W4284702842,10.1007/978-3-031-19781-9_9,0.589,DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,0.589,DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
Where Did I Come From? Origin Attribution of AI-Generated Images,1.000,Where Did I Come From? Origin Attribution of AI-Generated Images,2023,https://openalex.org/W7133223677,10.52202/075280-3256,0.672,Towards Discovery and Attribution of Open-world GAN Generated Images,0.672,Towards Discovery and Attribution of Open-world GAN Generated Images,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
Reverse engineering of generative models: Inferring model hyperparameters from generated images,1.000,Reverse Engineering of Generative Models: Inferring Model Hyperparameters From Generated Images,2023,https://openalex.org/W4385486282,10.1109/tpami.2023.3301451,0.491,Discovering Transferable Forensic Features for CNN-Generated Images Detection,0.491,Discovering Transferable Forensic Features for CNN-Generated Images Detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
Detection of GAN-Generated Images by Estimating Artifact Similarity,1.000,Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,https://openalex.org/W3217278836,10.1109/lsp.2021.3130525,0.651,Detection of GAN-Generated Fake Images over Social Networks,0.651,Detection of GAN-Generated Fake Images over Social Networks,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,1.000,Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,https://openalex.org/W4378506811,10.48550/arxiv.2305.13800,0.599,Deepfake Image Detection using CNNs and Transfer Learning,0.599,Deepfake Image Detection using CNNs and Transfer Learning,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
GenDet: Towards Good Generalizations for AI-Generated Image Detection,1.000,GenDet: Towards Good Generalizations for AI-Generated Image Detection,2023,https://openalex.org/W4389820666,10.48550/arxiv.2312.08880,0.677,Generalized and robust model for GAN-generated image detection,0.677,Generalized and robust model for GAN-generated image detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,1.000,LaRE<sup>2</sup>: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,https://openalex.org/W4402727598,10.1109/cvpr52733.2024.01609,1.000,LaRE<sup>2</sup>: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,1.000,LaRE<sup>2</sup>: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,candidate_map_match_exists_but_audit_missed,data/processed/openalex_candidate_papers.csv:2 | data/processed/openalex_candidate_papers_in_scope.csv:2 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:2 | data/manual/institution_paper_risk_report.csv:2 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
