title,year,openalex_url,doi,best_match_title,best_match_year,similarity,publication_venue,publication_type,primary_url,preliminary_task,preliminary_subtask,import_status,notes
Scalable fine-grained generated image classification based on deep metric learning,2019,https://openalex.org/W2997633607,https://doi.org/10.48550/arxiv.1912.11082,Scalable Fine-grained Generated Image Classification Based on Deep Metric Learning,2019,1.030,arXiv (Cornell University),preprint,http://arxiv.org/abs/1912.11082,source_attribution,generated_image_source_attribution,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,https://openalex.org/W3012033723,https://doi.org/10.48550/arxiv.2003.08685,Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,1.030,arXiv (Cornell University),preprint,http://arxiv.org/abs/2003.08685,detection_and_source_attribution,detection_and_source_attribution,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
On attribution of deepfakes,2021,https://openalex.org/W3134567460,https://doi.org/10.48550/arxiv.2008.09194,On Attribution of Deepfakes,2020,1.010,arXiv (Cornell University),preprint,http://arxiv.org/abs/2008.09194,source_attribution,generated_image_source_attribution,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Progressive Open Space Expansion for Open-Set Model Attribution,2023,https://openalex.org/W4386075764,https://doi.org/10.1109/cvpr52729.2023.01522,Progressive Open Space Expansion for Open-Set Model Attribution,2023,1.030,,journal,https://doi.org/10.1109/cvpr52729.2023.01522,source_attribution,generated_image_source_attribution,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,https://openalex.org/W4385800597,https://doi.org/10.1109/cvprw59228.2023.00102,Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,1.030,,journal,https://doi.org/10.1109/cvprw59228.2023.00102,source_attribution,generated_image_source_attribution,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Detecting and Simulating Artifacts in GAN Fake Images,2019,https://openalex.org/W3012472557,https://doi.org/10.1109/wifs47025.2019.9035107,Detecting and Simulating Artifacts in GAN Fake Images,2019,1.030,,preprint,https://doi.org/10.1109/wifs47025.2019.9035107,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
CNN-generated images are surprisingly easy to spot...for now,2020,https://openalex.org/W3034577585,https://doi.org/10.1109/cvpr42600.2020.00872,CNN-Generated Images Are Surprisingly Easy to Spot… for Now,2020,1.030,,journal,https://doi.org/10.1109/cvpr42600.2020.00872,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,https://openalex.org/W3034864980,https://doi.org/10.1109/cvpr42600.2020.00791,Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,1.030,Opus-HSO (Offenburg University of Applied Sciences),journal,https://opus.hs-offenburg.de/frontdoor/index/index/docId/4413,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Fourier Spectrum Discrepancies in Deep Network Generated Images,2020,https://openalex.org/W2985484909,https://doi.org/10.48550/arxiv.1911.06465,Fourier Spectrum Discrepancies in Deep Network Generated Images,2019,1.010,arXiv (Cornell University),preprint,http://arxiv.org/abs/1911.06465,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,https://openalex.org/W3187526215,https://doi.org/10.24963/ijcai.2021/349,Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,1.030,,journal,https://doi.org/10.24963/ijcai.2021/349,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Detecting Generated Images by Real Images,2022,https://openalex.org/W4313189772,https://doi.org/10.1007/978-3-031-19781-9_6,Detecting Generated Images by Real Images,2022,1.030,Lecture notes in computer science,book,https://doi.org/10.1007/978-3-031-19781-9_6,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
BiHPF: bilateral high pass filters for robust deepfake detection,2022,https://openalex.org/W3196551054,https://doi.org/10.1109/wacv51458.2022.00293,BiHPF: Bilateral High-Pass Filters for Robust Deepfake Detection,2022,1.030,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),conference,https://doi.org/10.1109/wacv51458.2022.00293,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,https://openalex.org/W4386071953,https://doi.org/10.1109/cvpr52729.2023.02345,Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,1.030,,journal,https://doi.org/10.1109/cvpr52729.2023.02345,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,2023,https://openalex.org/W4390191016,https://doi.org/10.1109/iccvw60793.2023.00051,Detecting Images Generated by Deep Diffusion Models using their Local Intrinsic Dimensionality,2023,1.030,,journal,https://doi.org/10.1109/iccvw60793.2023.00051,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Exposing fake images generated by text-to-image diffusion models,2023,https://openalex.org/W4388002730,https://doi.org/10.1016/j.patrec.2023.10.021,Exposing fake images generated by text-to-image diffusion models,2023,1.030,Pattern Recognition Letters,journal,https://doi.org/10.1016/j.patrec.2023.10.021,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,https://openalex.org/W4389421609,https://doi.org/10.48550/arxiv.2312.02625,Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,1.030,arXiv (Cornell University),preprint,http://arxiv.org/abs/2312.02625,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,https://openalex.org/W4393968982,https://doi.org/10.48550/arxiv.2404.02726,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,1.030,arXiv (Cornell University),preprint,http://arxiv.org/abs/2404.02726,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,https://openalex.org/W4398184526,https://doi.org/10.1145/3665497,Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,1.030,ACM Transactions on Multimedia Computing Communications and Applications,journal,https://doi.org/10.1145/3665497,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Unsupervised Generative Fake Image Detector,2024,https://openalex.org/W4393379633,https://doi.org/10.1109/tcsvt.2024.3383833,Unsupervised Generative Fake Image Detector,2024,1.030,IEEE Transactions on Circuits and Systems for Video Technology,journal,https://doi.org/10.1109/tcsvt.2024.3383833,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2024,https://openalex.org/W4376461282,https://doi.org/10.1109/tcds.2023.3274450,CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2023,1.010,IEEE Transactions on Cognitive and Developmental Systems,journal,https://doi.org/10.1109/tcds.2023.3274450,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,https://openalex.org/W4395447483,https://doi.org/10.1109/access.2024.3393842,MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,1.030,IEEE Access,journal,https://doi.org/10.1109/access.2024.3393842,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
