canonical_paper_identity,title,year,doi,openalex_url,in_scope,review_status,needs_review,publication_type,venue_type,venue_id,venue_label,ambiguity_status,map_record_count,trace_result
openalex:https://openalex.org/w7155245437,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,,https://openalex.org/W7155245437,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7125828141,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,https://doi.org/10.1109/tifs.2026.3657841,https://openalex.org/W7125828141,True,,True,journal,journal,venue:ieee-transactions-on-information-forensics-and-security:main,Journal · IEEE Transactions on Information Forensics and Security,unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7133363592,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,,https://openalex.org/W7133363592,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7125581744,DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,https://doi.org/10.1109/tcsvt.2026.3656696,https://openalex.org/W7125581744,True,,True,journal,journal,venue:ieee-transactions-on-circuits-and-systems-for-video-technology:main,Journal · IEEE Transactions on Circuits and Systems for Video Technology,unmapped,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7138458380,Explainable Synthetic Image Detection Through Diffusion Timestep Ensembling,2026,https://doi.org/10.1609/aaai.v40i13.38060,https://openalex.org/W7138458380,True,,True,conference,conference,venue:aaai:main,Conference · AAAI Conference on Artificial Intelligence (AAAI),resolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7164298589,Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford's Law and Topological Analysis with Machine Learning Ensembles,2026,https://doi.org/10.1109/qpain69676.2026.11546484,https://openalex.org/W7164298589,True,,True,journal,journal,,,unresolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4415187215,HRR: Hierarchical retrospection refinement for generated image detection,2026,https://doi.org/10.1016/j.patrec.2026.04.016,https://openalex.org/W4415187215,True,,True,journal,journal,venue:pattern-recognition-letters:main,Journal · Pattern Recognition Letters,unmapped,5,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7164742316,"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,10.1016/j.fsisyn.2026.100704,https://openalex.org/W7164742316,True,,True,journal,journal,venue:forensic-science-international-synergy:main,Journal · Forensic Science International Synergy,unmapped,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7128586659,IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,https://doi.org/10.3390/s26041172,https://openalex.org/W7128586659,True,,True,journal,journal,venue:sensors:main,Journal · Sensors,unmapped,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7160998329,Light2Lie: Detecting Deepfake Images Using Physical Reflectance Laws,2026,https://doi.org/10.14722/ndss.2026.230923,https://openalex.org/W7160998329,True,,True,journal,journal,,,unresolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7128818896,Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,https://doi.org/10.1109/tpami.2026.3664388,https://openalex.org/W7128818896,True,,True,journal,journal,venue:ieee-transactions-on-pattern-analysis-and-machine-intelligence:main,Journal · IEEE Transactions on Pattern Analysis and Machine Intelligence,unmapped,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7131898118,Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,https://doi.org/10.1109/tmm.2026.3668513,https://openalex.org/W7131898118,True,,True,journal,journal,venue:ieee-transactions-on-multimedia:main,Journal · IEEE Transactions on Multimedia,unmapped,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7137976262,SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,https://doi.org/10.1609/aaai.v40i8.37568,https://openalex.org/W7137976262,True,,True,conference,conference,venue:aaai:main,Conference · AAAI Conference on Artificial Intelligence (AAAI),resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7125951995,Transferable Dual-Domain Feature Importance Attack Against AI-Generated Image Detector,2026,10.1109/lsp.2026.3658434,https://openalex.org/W7125951995,True,,True,journal,journal,venue:ieee-signal-processing-letters:main,Journal · IEEE Signal Processing Letters,unmapped,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7131430408,What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery,2026,10.1109/ccwc67433.2026.11393845,https://openalex.org/W7131430408,True,,True,conference,conference,venue:ieee-16th-annual-computing-and-communication-workshop-and-conference:main,Conference · IEEE 16th Annual Computing and Communication Workshop and Conference (CCWC),unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7117078863,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,,https://openalex.org/W7117078863,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4411979039,Art or Artifact? Segmenting AI-Generated Images for Deeper Detection,2025,10.1145/3709022.3736544,https://openalex.org/W4411979039,True,,True,conference,conference,venue:workshop-on-security-implications-of-deepfakes-and-cheapfakes:main,Conference · Workshop on Security Implications of Deepfakes and Cheapfakes,unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4409367167,C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,https://doi.org/10.1609/aaai.v39i7.32772,https://openalex.org/W4409367167,True,,True,conference,conference,venue:aaai:main,Conference · AAAI Conference on Artificial Intelligence (AAAI),resolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4411378016,Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,10.1145/3733102.3733138,https://openalex.org/W4411378016,True,,True,conference,workshop,venue:ih-mmsec:main,Workshop · ACM Workshop on Information Hiding and Multimedia Security (IH&MMSec),resolved,2,valid baseline-only record absent from current partial source snapshot
