title,year,risk_score,risk_level,main_reasons,current_institutions,current_countries,current_institution_authors,raw_affiliation_evidence,review_action,notes
AI Generated Image Detection Using Neural Networks,2024,80,high,Known suspicious correction backlog case: institution conflict | Raw affiliation appears to name a different institution than the resolved institution | Raw and resolved institution names have low overlap,SRM Institute of Science and Technology,IN,SRM Institute of Science and Technology: Mrs D. Suma,"Mrs D. Suma: Students , Department Of Computer Science & Engineering, Dhanekula Institute Of Engineering And Technology, Ganguru, India | Review row, Mrs D. Suma: Students , Department Of Computer Science & Engineering, Dhanekula Institute Of Engineering And Technology, Ganguru, India | Backlog CB-008: Local raw affiliation: Students, Department Of Computer Science & Engineering, Dhanekula Institute Of Engineering And Technology, Ganguru, India.","Verify the full author-institution mapping and complete the known backlog correction using publisher, PDF, or official evidence.",Backlog: CB-008 (needs_review) | Heuristic review priority; not a probability or correction
Deep fake detection and classification using error-level analysis and deep learning,2023,80,high,Known suspicious correction backlog case: institution conflict | Raw affiliation appears to name a different institution than the resolved institution | Raw and resolved institution names have low overlap,University of Engineering and Technology Taxila | Chonnam National University | Karnatak University | VSB - Technical University of Ostrava | University of Žilina | Tun Hussein Onn University of Malaysia | Shaqra University,PK | KR | IN | CZ | SK | MY | SA,"University of Engineering and Technology Taxila: Rimsha Rafique, Rashid Amin | Chonnam National University: Rahma Gantassi | Karnatak University: Rashid Amin | VSB - Technical University of Ostrava: Jaroslav Frnda | University of Žilina: Jaroslav Frnda | Tun Hussein Onn University of Malaysia: Aida Mustapha | Shaqra University: Asma Hassan Alshehri","Rimsha Rafique: Department of Computer Science, University of Engineering and Technology, Taxila, Pakistan, 47050 | Rahma Gantassi: Department of Electrical Engineering, Chonnam National University, Gwangju, 61186, South Korea | Rashid Amin: Department of Computer Science, University of Chakwal, Chakwal, 48800, Pakistan. Rashid.sdn1@gmail.com | Rashid Amin: Department of Computer Science, University of Engineering and Technology, Taxila, Pakistan, 47050. Rashid.sdn1@gmail.com | Jaroslav Frnda: Department of Telecommunications, Faculty of Electrical Engineering and Computer Science, VSB Technical University of Ostrava, 70800, Ostrava, Czech Republic | Jaroslav Frnda: Department of Quantitative Methods and Economic Informatics, Faculty of Operation and Economics of Transport and Communications, University of Zilina, 01026, Zilina, Slovakia | Aida Mustapha: Faculty of Applied Sciences and Technology, Universiti Tun Hussein Onn Malaysia, KM1 Jalan Pagoh, 84600, Pagoh, Johor, Malaysia | Asma Hassan Alshehri: Durma College of Science and Humanities, Shaqra University, Shaqra, 11961, Saudi Arabia | Review row, Rashid Amin: Department of Computer Science, University of Chakwal, Chakwal, 48800, Pakistan. Rashid.sdn1@gmail.com | Backlog CB-009: Local raw affiliation: Department of Computer Science, University of Chakwal, Chakwal, 48800, Pakistan.","Verify the full author-institution mapping and complete the known backlog correction using publisher, PDF, or official evidence.",Backlog: CB-009 (needs_full_paper_check) | Heuristic review priority; not a probability or correction
Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,2024,80,high,Known suspicious correction backlog case: institution conflict | Raw affiliation appears to name a different institution than the resolved institution | Raw and resolved institution names have low overlap,Brandman University,US,"Brandman University: Sergey Sinitsa, Ohad Fried","Sergey Sinitsa: Reichman University | Ohad Fried: Reichman University | Review row, Ohad Fried: Reichman University | Review row, Sergey Sinitsa: Reichman University | Backlog CB-010: Local review rows name Reichman University for both authors.","Verify the full author-institution mapping and complete the known backlog correction using publisher, PDF, or official evidence.",Backlog: CB-010 (needs_review) | Heuristic review priority; not a probability or correction
Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,80,high,"Known suspicious correction backlog case: author institution assignment | Raw affiliation contains another paper author's name rather than the listed author | At least one affiliation has low-confidence or review-required resolution | Raw affiliation is consistent with a known alias, translation, or parent/subunit relation | Raw text also supports the current country; mismatch may be a place name or multiple affiliation","University of California, Riverside | Naval Air Warfare Center Weapons Division | Mayachitra (United States)",US,"University of California, Riverside: Lakshmanan Nataraj, Tajuddin Manhar Mohammed, B.S. Manjunath, Shivkumar Chandrasekaran, Jawadul H. Bappy | Naval Air Warfare Center Weapons Division: Lakshmanan Nataraj, Tajuddin Manhar Mohammed, B.S. Manjunath, Shivkumar Chandrasekaran, Jawadul H. Bappy | Mayachitra (United States): Lakshmanan Nataraj, Tajuddin Manhar Mohammed, B.S. Manjunath, Shivkumar Chandrasekaran, Jawadul H. Bappy","Lakshmanan Nataraj: University of California, Riverside, California, USA | Lakshmanan Nataraj: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | Lakshmanan Nataraj: Mayachitra Inc., Santa Barbara, California, USA | Tajuddin Manhar Mohammed: University of California, Riverside, California, USA | Tajuddin Manhar Mohammed: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | Tajuddin Manhar Mohammed: Mayachitra Inc., Santa Barbara, California, USA | B.S. Manjunath: University of California, Riverside, California, USA | B.S. Manjunath: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | B.S. Manjunath: Mayachitra Inc., Santa Barbara, California, USA | Shivkumar Chandrasekaran: University of California, Riverside, California, USA | Shivkumar Chandrasekaran: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | Shivkumar Chandrasekaran: Mayachitra Inc., Santa Barbara, California, USA | Jawadul H. Bappy: University of California, Riverside, California, USA | Jawadul H. Bappy: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | Jawadul H. Bappy: Mayachitra Inc., Santa Barbara, California, USA | Review row, B.S. Manjunath: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | Review row, Jawadul H. Bappy: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | Review row, Lakshmanan Nataraj: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | Review row, Shivkumar Chandrasekaran: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | Review row, Tajuddin Manhar Mohammed: Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA | Backlog CB-012: Local raw affiliation begins Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA.","Verify the full author-institution mapping and complete the known backlog correction using publisher, PDF, or official evidence.",Backlog: CB-012 (needs_full_paper_check) | Heuristic review priority; not a probability or correction
DIRE for Diffusion-Generated Image Detection,2023,80,high,"Known suspicious correction backlog case: suspicious institutions | Raw affiliation appears to name a different institution than the resolved institution | Raw affiliation names an organization, but no institution is resolved | At least one affiliation has low-confidence or review-required resolution | Raw and resolved institution names have low overlap",University of Science and Technology of China | Microsoft Research Asia (China) | Institute of Art | National Science Centre,CN | PL,"University of Science and Technology of China: Zhendong Wang, Wengang Zhou, Weilun Wang, Hezhen Hu, Houqiang Li | Microsoft Research Asia (China): Jianmin Bao | Institute of Art: Wengang Zhou, Houqiang Li | National Science Centre: Wengang Zhou, Houqiang Li","Zhendong Wang: University of Science and Technology of China,CAS Key Laboratory of GIPAS,EEIS Department | EEIS Department, CAS Key Laboratory of GIPAS, University of Science and Technology of China | Jianmin Bao: Microsoft Research Asia | Wengang Zhou: University of Science and Technology of China,CAS Key Laboratory of GIPAS,EEIS Department | EEIS Department, CAS Key Laboratory of GIPAS, University of Science and Technology of China | Wengang Zhou: Institute of Artificial Intelligence, Hefei Comprehensive National Science Center | Weilun Wang: University of Science and Technology of China,CAS Key Laboratory of GIPAS,EEIS Department | EEIS Department, CAS Key Laboratory of GIPAS, University of Science and Technology of China | Hezhen Hu: University of Science and Technology of China,CAS Key Laboratory of GIPAS,EEIS Department | EEIS Department, CAS Key Laboratory of GIPAS, University of Science and Technology of China | Hong Chen: Merchants Union Consumer Finance Company | Houqiang Li: University of Science and Technology of China,CAS Key Laboratory of GIPAS,EEIS Department | EEIS Department, CAS Key Laboratory of GIPAS, University of Science and Technology of China | Houqiang Li: Institute of Artificial Intelligence, Hefei Comprehensive National Science Center | Review row, Houqiang Li: Institute of Artificial Intelligence, Hefei Comprehensive National Science Center | Review row, Wengang Zhou: Institute of Artificial Intelligence, Hefei Comprehensive National Science Center | Backlog CB-007: Local review queue conflicts with raw affiliation text naming Institute of Artificial Intelligence, Hefei Comprehensive National Science Center.","Verify the full author-institution mapping and complete the known backlog correction using publisher, PDF, or official evidence.",Backlog: CB-007 (needs_full_paper_check) | Heuristic review priority; not a probability or correction
A Performance Analysis to Detect Synthetic Images with Deep Learning-Based Image Classification,2024,75,high,Known suspicious correction backlog case: institution and region conflict | Raw text also supports the current country; mismatch may be a place name or multiple affiliation,Chitkara University | Graphic Era University | Sharda University,IN,"Chitkara University: Vinay Gautam, Raj Gaurang Tiwari, Naresh Kumar Trivedi | Graphic Era University: Mukesh Joshi | Sharda University: Ambuj Kumar Agarwal","Vinay Gautam: Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India | Mukesh Joshi: School of Computing, Graphic Era Hill University, Bhimtal Campus, Dehradun, UK, India | Raj Gaurang Tiwari: Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India | Ambuj Kumar Agarwal: Department of Computer Science and Engineering, School of Engineering and Technology, Sharda University, Greater Noida, India | Naresh Kumar Trivedi: Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India | Review row, Mukesh Joshi: School of Computing, Graphic Era Hill University, Bhimtal Campus, Dehradun, UK, India | Backlog CB-011: Local raw affiliation: School of Computing, Graphic Era Hill University, Bhimtal Campus, Dehradun, UK, India.","Verify the full author-institution mapping and complete the known backlog correction using publisher, PDF, or official evidence.",Backlog: CB-011 (needs_full_paper_check) | Heuristic review priority; not a probability or correction
WildFake: A Large-Scale and Hierarchical Dataset for AI-Generated Images Detection,2025,70,high,"Confirmed correction still requires follow-through: incomplete affiliations | Raw affiliation names an organization, but no institution is resolved",Shanghai Jiao Tong University,CN,Shanghai Jiao Tong University: Jianfu Zhang,"Yan Hong: Ant Group | Jianming Feng: Ant Group | Haoxing Chen: Ant Group | Jun Lan: Ant Group | Huijia Zhu: Ant Group | Weiqiang Wang: Ant Group | Jianfu Zhang: Shanghai Jiaotong University | Backlog CB-003: AAAI official paper page lists both affiliations. Ant Group address evidence: Ant A Space, No. 569 Xixi Road, Xihu District, Hangzhou, China.","Verify the full author-institution mapping and complete the known backlog correction using publisher, PDF, or official evidence.",Backlog: CB-003 (pending_override) | Confirmed manual override exists | Heuristic review priority; not a probability or correction
TriFusionNet: Multi-Branch Architecture for AI-Generated Image Detection,2025,65,high,Raw affiliation appears to name a different institution than the resolved institution | Raw affiliation country conflicts with the resolved institution country,Global University,LB,"Global University: Sujal Kumar, Gaurav Singh, Lotugada Jagan, Sanjay Das, Jayanti Rout, Ashutosh Soni, Surendra Kumar Nanda","Sujal Kumar: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Gaurav Singh: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Lotugada Jagan: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Sanjay Das: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Jayanti Rout: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Ashutosh Soni: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Surendra Kumar Nanda: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Review row, Ashutosh Soni: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Review row, Gaurav Singh: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Review row, Jayanti Rout: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Review row, Lotugada Jagan: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Review row, Sanjay Das: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Review row, Sujal Kumar: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India | Review row, Surendra Kumar Nanda: C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India",Verify the full author-institution mapping against the publisher page or PDF before editing manual overrides.,Heuristic review priority; not a probability or correction
Unmasking AI-created visual content: a review of generated images and deepfake detection technologies,2025,65,high,"A resolved country is an outlier within the paper and conflicts with raw affiliation evidence | Raw affiliation country conflicts with the resolved institution country | Raw affiliation is consistent with a known alias, translation, or parent/subunit relation",Shandong University | University of Jinan | Intelligent Health (United Kingdom) | Weihai Science and Technology Bureau,CN | GB,"Shandong University: Yupeng Zhang, Zongwei Pang, Shanyuan Huang, Chengyou Wang, Xiao Zhou | University of Jinan: Chengyou Wang, Xiao Zhou | Intelligent Health (United Kingdom): Chengyou Wang, Xiao Zhou | Weihai Science and Technology Bureau: Chengyou Wang, Xiao Zhou","Yupeng Zhang: School of Mechanical, Electrical and Information Engineering, Shandong University, Weihai, 264209, China | Zongwei Pang: School of Mechanical, Electrical and Information Engineering, Shandong University, Weihai, 264209, China | Shanyuan Huang: School of Mechanical, Electrical and Information Engineering, Shandong University, Weihai, 264209, China | Chengyou Wang: School of Mechanical, Electrical and Information Engineering, Shandong University, Weihai, 264209, China | Chengyou Wang: Shandong Key Laboratory of Intelligent Communication and Sensing-Computing Integration, Shandong University, Jinan, 250061, China | Chengyou Wang: Shandong Key Laboratory of Intelligent Electronic Packaging Testing and Application, Weihai, 264209, China | Chengyou Wang: Shandong University–Weihai Research Institute of Industrial Technology, Weihai, 264209, China | Xiao Zhou: School of Mechanical, Electrical and Information Engineering, Shandong University, Weihai, 264209, China | Xiao Zhou: Shandong Key Laboratory of Intelligent Communication and Sensing-Computing Integration, Shandong University, Jinan, 250061, China | Xiao Zhou: Shandong Key Laboratory of Intelligent Electronic Packaging Testing and Application, Weihai, 264209, China | Xiao Zhou: Shandong University–Weihai Research Institute of Industrial Technology, Weihai, 264209, China | Review row, Chengyou Wang: Shandong Key Laboratory of Intelligent Electronic Packaging Testing and Application, Weihai, 264209, China | Review row, Xiao Zhou: Shandong Key Laboratory of Intelligent Electronic Packaging Testing and Application, Weihai, 264209, China",Verify the full author-institution mapping against the publisher page or PDF before editing manual overrides.,Heuristic review priority; not a probability or correction
A Novel Framework for Deepfake Image Detection Using Deep Learning Approach,2025,35,medium,"Raw affiliation names an organization, but no institution is resolved",Sant Gadge Baba Amravati University | Saraswati Dental College and Hospital | Chitkara University | Dar Al-Hekma University | Rashtrasant Tukadoji Maharaj Nagpur University,IN | SA,Sant Gadge Baba Amravati University: Ambika Jaiswal | Saraswati Dental College and Hospital: Akash Prakash Kharat | Chitkara University: Bhisham Sharma | Dar Al-Hekma University: Imed Ben Dhaou | Rashtrasant Tukadoji Maharaj Nagpur University: Suhashini Awadhesh Chaurasia,"Ambika Jaiswal: Sant Gadge Baba Amravati University,P.G. Department of Computer Science,Amravati,Maharashtra,India | Aruna J. Chamatkar: Kamala Nehru College,Nagpur,Maharashtra,India | Akash Prakash Kharat: Saraswati College, Shegaon,Department of Computer Science,Shegaon,India | Bhisham Sharma: Chitkara University,Centre of Research Impact and Outcome,Rajpura,Punjab,India,140401 | Imed Ben Dhaou: Hekma School of Engineering Computing,Department of Computer Science,Jeddah,Saudi Arabia | Suhashini Awadhesh Chaurasia: RTM Nagpur University,Department of Computer Science,Nagpur",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
