title,year,openalex_url,doi,best_match_title,best_match_year,similarity,publication_venue,publication_type,primary_url,preliminary_task,preliminary_subtask,import_status,notes
AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,https://openalex.org/W4415343382,https://doi.org/10.1109/iccv51701.2025.01742,Aigi-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,1.030,,preprint,https://doi.org/10.1109/iccv51701.2025.01742,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
D3QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,https://openalex.org/W4414979736,https://doi.org/10.48550/arxiv.2510.05891,$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,1.021,ArXiv.org,preprint,http://arxiv.org/abs/2510.05891,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,https://openalex.org/W7160128830,https://doi.org/10.1109/iccv51701.2025.01588,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,1.030,,article,https://doi.org/10.1109/iccv51701.2025.01588,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,https://openalex.org/W4414903171,https://doi.org/10.1109/iccv51701.2025.01760,LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,1.030,,preprint,https://doi.org/10.1109/iccv51701.2025.01760,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Semantic Discrepancy-aware Detector for Image Forgery Identification,2025,https://openalex.org/W4414487140,https://doi.org/10.1109/iccv51701.2025.01709,Semantic Discrepancy-Aware Detector for Image Forgery Identification,2025,1.030,,article,https://doi.org/10.1109/iccv51701.2025.01709,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,https://openalex.org/W7160017581,https://doi.org/10.1109/iccv51701.2025.01510,ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,1.030,,article,https://doi.org/10.1109/iccv51701.2025.01510,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,https://openalex.org/W7131117798,https://doi.org/10.1109/iccvw69036.2025.00166,CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,1.030,,article,https://doi.org/10.1109/iccvw69036.2025.00166,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,https://openalex.org/W4411484192,https://doi.org/10.1109/tifs.2025.3581726,SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,1.030,IEEE Transactions on Information Forensics and Security,article,https://doi.org/10.1109/tifs.2025.3581726,ai_generated_image_detection,deepfake_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,https://openalex.org/W4415538223,https://doi.org/10.1145/3746027.3755434,ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,1.030,,article,https://doi.org/10.1145/3746027.3755434,source_attribution,source_attribution,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,2025,https://openalex.org/W4408355373,https://doi.org/10.1109/icassp49660.2025.10890455,Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,2025,1.030,,article,https://doi.org/10.1109/icassp49660.2025.10890455,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
