title,year,authors,doi,arxiv_id,openalex_url,paper_url,expected_task,source_doc,section,notes
Do GANs Leave Artificial Fingerprints?,2019,"Francesco Marra, Diego Gragnaniello, Luisa Verdoliva, Giovanni Poggi",,,,https://ieeexplore.ieee.org/document/8695364,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=MIPR 2019; source_suffix=MIPR，2019
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,"Ning Yu, Larry Davis, Mario Fritz. University of Maryland, USA",,,,https://openaccess.thecvf.com/content_ICCV_2019/papers/Yu_Attributing_Fake_Images_to_GANs_Learning_and_Analyzing_GAN_Fingerprints_ICCV_2019_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=ICCV 2019
Incremental learning for the detection and classification of GAN-generated image,2019,"Francesco Marra; Cristiano Saltori; Giulia Boato; Luisa Verdoliva. University Federico II of Naples, Italy",,,,https://ieeexplore.ieee.org/abstract/document/9035099,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=WIFS, 2019"
Source Generator Attribution via Inversion,2019,"Michael Albright and Scott McCloskey. Honeywell ACST, USA",,,,https://openaccess.thecvf.com/content_CVPRW_2019/papers/Media%20Forensics/Albright_Source_Generator_Attribution_via_Inversion_CVPRW_2019_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR Workshops 2019
Scalable fine-grained generated image classification based on deep metric learning,2019,"Xuan, Xinsheng and Peng, Bo and Wang, Wei and Dong, Jing. Chinese Academy of Sciences, China",,,,,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 2019"
Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,"Joel Frank, Thorsten Eisenhofer, Lea Schönherr, Asja Fischer, Dorothea Kolossa, Thorsten Holz",10.5555/3524938.3525242,,,https://dl.acm.org/doi/pdf/10.5555/3524938.3525242,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,Identification | Detection,"source_suffix=ICML, 2020"
Towards discovery and attribution of open-world gan generated images,2021,"Sharath Girish, Saksham Suri, Saketh Rambhatla, Abhinav Shrivastava. University of Maryland, USA",,,,https://openaccess.thecvf.com/content/ICCV2021/papers/Girish_Towards_Discovery_and_Attribution_of_Open-World_GAN_Generated_Images_ICCV_2021_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=ICCV 2021
Does a GAN leave distinct model-specific fingerprints?,2021,"Yuzhen Ding, Nupur Thakur and baoxin Li. Arizona State University, USA",,,,https://www.bmvc2021-virtualconference.com/assets/papers/0197.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=BMVC 2021
On attribution of deepfakes,2021,"Baiwu Zhang, Jin Peng Zhou, Ilia Shumailov, Nicolas Papernot. University of Toronto, Canada",,,,,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=arXiv 20210303
Learning to disentangle gan fingerprint for fake image attribution,2021,"Tianyun Yang, Juan Cao, Qiang Sheng, Lei Li, Jiaqi Ji, Xirong Li, Sheng Tang",,,,,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=arXiv, 20210616"
Deepfake Network Architecture Attribution,2022,"Tianyun Yang, Ziyao Huang, Juan Cao, Lei Li, Xirong Li. Chinese Academy of Sciences",,,,https://cdn.aaai.org/ojs/20391/20391-13-24404-1-2-20220628.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=AAAI 2022
RepMix: Representation Mixing for Robust Attribution of Synthesized Images,2022,"Tu Bui, Ning Yu, and John Collomosse. University of Surrey, UK",,,,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136740140.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=ECCV 2022
Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery,2022,"Syou Hirofumi; Kazuto Fukuchi; Yohei Akimoto; Jun Sakuma. Univresity of Tskuba, Japan",,,,https://ieeexplore.ieee.org/document/9892704/,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=IJCNN 2022
