title,year,missing_stage,recommended_action,scope_decision,scope_notes
Fixed-Threshold Evaluation of a Hybrid CNN–ViT for AI-Generated Image Detection Across Photos and Art,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Stealthdiffusion: Towards evading diffusion forensic detection through diffusion model,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
An Adversarial Approach for Anti-Detection of AI Generated Images through Sample Generation,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Are GAN generated images easy to detect? A critical analysis of the state-of-the-art,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Towards the Detection of Diffusion Model Deepfakes cite: 100+ Ruhr University Bochum,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Rich and Poor Texture Contrast: A Simple yet Effective Approach for AI-generated Image Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Bridging the Gap Between Ideal and Real-world Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
No Detector to Rule Them All,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
UniAIDet: A Unified and Universal Benchmark for AI-Generated Image Content Detection and Localization,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
DBINDS - Can Initial Noise from Diffusion Model Inversion Help Reveal AI-Generated Videos?,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
"Human vs. AI: A Novel Benchmark and a Comparative Study on the Detection of Generated Images and the Impact of Prompts. GenAIDetect, 2025",2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
FragFake: A Dataset for Fine-Grained Detection of Edited Images with Vision Language Models. 20250x0x,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Is Artificial Intelligence Generated Image Detection a Solved Problem?,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
FIDAVL: Fake Image Detection and Attribution using Vision-Language Model,2024,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
