title,year,missing_stage,recommended_action,scope_decision,scope_notes
AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
D3QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Semantic Discrepancy-aware Detector for Image Forgery Identification,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Are High-Quality AI-Generated Images More Difficult for Models to Detect?,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Few-Shot Learner Generalizes Across AI-Generated Image Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
PiD: Generalized AI-Generated Images Detection with Pixelwise Decomposition Residuals,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,missing_from_candidate_pool,manual_or_openalex_title_import_review,include_broad_scope,Included for broad synthetic/generated image detection or attribution paper-level coverage; marker depends on affiliation/coordinates.
