title,year,openalex_id,openalex_url,doi,is_key_paper,has_map_location,map_record_count,missing_affiliation,missing_coordinates,needs_review,coverage_status,affiliation_row_count,institution_count,coordinate_row_count,institutions,locations,coordinate_pairs,blocker_type,recommended_action
"""That's another doom I haven't thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",2026,W4416604008,https://openalex.org/W4416604008,https://doi.org/10.1145/3772318.3791006,no,yes,5,no,no,yes,map_ready,13,5,13,Hannover Re (Germany); Helmholtz Center for Information Security; Leibniz University Hannover; Max Planck Institute for Security and Privacy; Ruhr University Bochum,"Bochum, DE; Hanover, DE; Saarbrücken, DE","49.232620,7.009820; 51.481650,7.216480; 51.481651,7.216480; 52.370520,9.733220; 52.392109,9.803855",already_mapped,no_action
A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,2026,W7128592463,https://openalex.org/W7128592463,10.3390/engproc2026123032,no,yes,1,no,no,no,map_ready,0,0,0,,,,already_mapped,no_action
Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,W7155245437,https://openalex.org/W7155245437,,yes,yes,2,no,no,yes,map_ready,8,0,0,,,,already_mapped,no_action
Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,W7125828141,https://openalex.org/W7125828141,https://doi.org/10.1109/tifs.2026.3657841,yes,yes,1,no,no,yes,map_ready,4,1,4,Fudan University,"Shanghai, CN","31.222219,121.458061",already_mapped,no_action
Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,W7160429386,https://openalex.org/W7160429386,10.1145/3810988.3812662,no,yes,1,no,no,yes,map_ready,6,1,6,Information Technologies Institute,"Thessaloniki, GR","40.643610,22.930860",already_mapped,no_action
CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,W7133363592,https://openalex.org/W7133363592,,yes,yes,3,no,no,yes,map_ready,6,0,0,,,,already_mapped,no_action
DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,W7125581744,https://openalex.org/W7125581744,https://doi.org/10.1109/tcsvt.2026.3656696,yes,yes,3,no,no,yes,map_ready,4,3,4,Beijing Institute of Graphic Communication; Beijing Jiaotong University; Fujian University of Technology,"Beijing, CN; Fuzhou, CN","26.061390,119.306107; 39.907501,116.397232",already_mapped,no_action
DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,2026,W7118010096,https://openalex.org/W7118010096,10.1007/978-3-032-07343-3_12,yes,yes,4,no,no,yes,map_ready,8,4,8,Institut d'électronique de microélectronique et de nanotechnologie; Khalifa University of Science and Technology; Sorbonne University Abu Dhabi; Université Polytechnique Hauts-de-France,"Abu Dhabi, AE; Valenciennes, FR; Villeneuve-d'Ascq, FR","24.451180,54.396960; 50.359090,3.525060; 50.616690,3.166640",already_mapped,no_action
Detecting AI-Generated Images via Diffusion Snap-Back Reconstruction: A Forensic Approach,2026,W4415936841,https://openalex.org/W4415936841,10.1109/qpain69676.2026.11545865,no,yes,1,no,no,yes,map_ready,2,1,2,University of Rajshahi,"Rajshahi, BD","24.374000,88.601140",already_mapped,no_action
EvoGuard: An Extensible Agentic RL-based Framework for Practical and Evolving AI-Generated Image Detection,2026,W7139144211,https://openalex.org/W7139144211,,no,yes,1,no,no,yes,map_ready,0,0,0,,,,already_mapped,no_action
Explainable Synthetic Image Detection Through Diffusion Timestep Ensembling,2026,W7138458380,https://openalex.org/W7138458380,https://doi.org/10.1609/aaai.v40i13.38060,yes,yes,2,no,no,yes,map_ready,10,2,10,Fudan University; Ministry of Education,"Podgorica, ME; Shanghai, CN","31.222219,121.458061; 42.446346,19.263552",already_mapped,no_action
FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection,2026,W7127900552,https://openalex.org/W7127900552,10.1007/978-981-95-6960-1_26,no,yes,2,no,no,no,map_ready,0,0,0,,,,already_mapped,no_action
Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford's Law and Topological Analysis with Machine Learning Ensembles,2026,W7164298589,https://openalex.org/W7164298589,https://doi.org/10.1109/qpain69676.2026.11546484,yes,yes,2,no,no,yes,map_ready,3,2,3,Comilla University; Jahangirnagar University,"Comilla, BD; Dhaka, BD","23.461861,91.185028; 23.710400,90.407440",already_mapped,no_action
"GReX-Bench: Benchmarking Generalization, Robustness, and Explainability in AI-Generated Image Detection",2026,W7128674854,https://openalex.org/W7128674854,10.21203/rs.3.rs-8633550/v1,yes,yes,2,no,no,yes,map_ready,3,2,3,Korea Aerospace University; University of Michigan–Flint,"Flint, US; Goyang-si, KR","37.656390,126.835000; 43.012530,-83.687460",already_mapped,no_action
HRR: Hierarchical retrospection refinement for generated image detection,2026,W4415187215,https://openalex.org/W4415187215,https://doi.org/10.1016/j.patrec.2026.04.016,yes,yes,5,no,no,yes,map_ready,7,5,7,Huazhong Agricultural University; Huazhong University of Science and Technology; Jianghan University; Tsinghua University; Wuhan Business University,"Beijing, CN; Wuhan, CN","30.583330,114.266670; 39.907500,116.397230",already_mapped,no_action
"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,W7164742316,https://openalex.org/W7164742316,10.1016/j.fsisyn.2026.100704,yes,yes,2,no,no,yes,map_ready,7,2,7,Netherlands Forensic Institute; University of Amsterdam,"Amsterdam, The Netherlands; The Hague, Netherlands","52.044640,4.358750; 52.374030,4.889690",already_mapped,no_action
IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,W7128586659,https://openalex.org/W7128586659,https://doi.org/10.3390/s26041172,yes,yes,3,no,no,yes,map_ready,4,3,4,Gachon University; Government Sadiq College Women University; Nanfang Hospital,"Bahawalpur, PK; Guangzhou, CN; Seongnam-si, KR","23.116671,113.250000; 29.397860,71.683640; 37.438610,127.137780",already_mapped,no_action
Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,W7135092069,https://openalex.org/W7135092069,https://doi.org/10.48550/arxiv.2603.10598,yes,no,0,yes,no,yes,missing_affiliation,7,0,0,,,,needs_review_or_low_confidence,manual_affiliation_review
Light2Lie: Detecting Deepfake Images Using Physical Reflectance Laws,2026,W7160998329,https://openalex.org/W7160998329,https://doi.org/10.14722/ndss.2026.230923,no,yes,1,no,no,yes,map_ready,4,1,4,Technische Universität Darmstadt,"Darmstadt, DE","49.871670,8.650270",already_mapped,no_action
Methods and trends in detecting AI-generated images: A comprehensive review,2026,W7125199518,https://openalex.org/W7125199518,10.1016/j.cosrev.2026.100908,no,yes,1,no,no,yes,map_ready,2,1,2,Florida International University,"Miami, US","25.774270,-80.193660",already_mapped,no_action
MIRAGE: Towards AI-Generated Image Detection in the Wild,2026,W7137943215,https://openalex.org/W7137943215,10.1609/aaai.v40i7.37421,no,no,0,yes,no,yes,missing_affiliation,0,0,0,,,,missing_affiliation_rows,import_openalex_affiliations
Navigating the Challenges of AI-Generated Image Detection in the Wild: What Truly Matters?,2026,W4414739373,https://openalex.org/W4414739373,10.1145/3810988.3812665,no,yes,1,no,no,yes,map_ready,6,1,6,Information Technologies Institute,"Thessaloniki, GR","40.643610,22.930860",already_mapped,no_action
Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,W7128818896,https://openalex.org/W7128818896,https://doi.org/10.1109/tpami.2026.3664388,yes,yes,3,no,no,yes,map_ready,5,3,5,Harbin Institute of Technology; University of Southampton; Xi'an Jiaotong University,"Harbin, CN; Southampton, GB; Xi'an, CN","34.258330,108.928610; 45.750000,126.650002; 50.903950,-1.404280",already_mapped,no_action
RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2026,W7128721813,https://openalex.org/W7128721813,10.48550/arxiv.2602.10546,yes,no,0,yes,no,yes,missing_affiliation,0,0,0,,,,missing_affiliation_rows,import_openalex_affiliations
Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,W7131898118,https://openalex.org/W7131898118,https://doi.org/10.1109/tmm.2026.3668513,yes,yes,4,no,no,yes,map_ready,6,4,6,Chinese Academy of Sciences; Hangzhou Dianzi University; Institute of Computing Technology; Xi'an Jiaotong University,"Beijing, CN; Hangzhou, CN; Xi'an, CN","30.293650,120.161423; 34.258330,108.928610; 39.907500,116.397230; 39.907501,116.397232",already_mapped,no_action
Source Attribution of AI-Generated Images: a Principled Survey,2026,W7165659096,https://openalex.org/W7165659096,10.5281/zenodo.20814592,no,yes,2,no,no,no,map_ready,0,0,0,,,,already_mapped,no_action
SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,W7137976262,https://openalex.org/W7137976262,https://doi.org/10.1609/aaai.v40i8.37568,yes,yes,1,no,no,yes,map_ready,1,1,1,Sun Yat-sen University,"Guangzhou, CN","23.116670,113.250000",already_mapped,no_action
Toward Generalizable Forgery Detection and Reasoning,2026,W7140634248,https://openalex.org/W7140634248,https://doi.org/10.1109/tip.2026.3673967,no,yes,2,no,no,yes,map_ready,8,2,8,Beijing University of Posts and Telecommunications; Tsinghua University,"Beijing, CN","39.907500,116.397230; 39.907501,116.397232",already_mapped,no_action
Transferable Dual-Domain Feature Importance Attack Against AI-Generated Image Detector,2026,W7125951995,https://openalex.org/W7125951995,10.1109/lsp.2026.3658434,yes,yes,4,no,no,yes,map_ready,5,4,5,Beijing Institute of Graphic Communication; Communication University of China; Fujian University of Technology; Hunan University,"Beijing, China; Changsha, China; Fuzhou, China","26.061390,119.306107; 28.198740,112.970870; 39.907501,116.397232",already_mapped,no_action
What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery,2026,W7131430408,https://openalex.org/W7131430408,10.1109/ccwc67433.2026.11393845,no,yes,1,no,no,yes,map_ready,5,1,5,East Tennessee State University,"Johnson City, United States","36.313440,-82.353470",already_mapped,no_action
"Your AI-Generated Image Detector Can Secretly Achieve SOTA Accuracy, If Calibrated",2026,W7138134961,https://openalex.org/W7138134961,10.1609/aaai.v40i14.38146,no,yes,2,no,no,no,map_ready,0,0,0,,,,already_mapped,no_action
Zooming In on Fakes: A Novel Dataset for Localized AI-Generated Image Detection with Forgery Amplification Approach,2026,W7138473655,https://openalex.org/W7138473655,10.1609/aaai.v40i4.37240,no,no,0,yes,no,yes,missing_affiliation,7,0,0,,,,needs_review_or_low_confidence,manual_affiliation_review
人工智能生成图像检测技术综述,2026,W7124700339,https://openalex.org/W7124700339,10.11834/jig.250053,no,yes,1,no,no,no,map_ready,0,0,0,,,,already_mapped,no_action
$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,W4414979736,https://openalex.org/W4414979736,https://doi.org/10.48550/arxiv.2510.05891,no,yes,1,no,no,no,map_ready,8,0,0,,,,already_mapped,no_action
A Bias-Free Training Paradigm for More General AI-generated Image Detection,2025,W4413145917,https://openalex.org/W4413145917,10.1109/cvpr52734.2025.01741,yes,yes,3,no,no,yes,map_ready,8,3,8,Federico II University Hospital; Google (United States); Google DeepMind (United Kingdom),"London, GB; Mountain View, US; Naples, IT","37.386050,-122.083850; 40.852160,14.268110; 51.508530,-0.125740",already_mapped,no_action
A Deepfake Image Detection Method Based on a Multi-Graph Attention Network,2025,W4406867188,https://openalex.org/W4406867188,10.3390/electronics14030482,yes,yes,1,no,no,yes,map_ready,6,1,6,Chongqing University of Science and Technology,"Chongqing, CN","29.560260,106.557710",already_mapped,no_action
A Novel Framework for Deepfake Image Detection Using Deep Learning Approach,2025,W4409047068,https://openalex.org/W4409047068,10.1109/lt64002.2025.10940759,no,yes,5,no,no,yes,map_ready,6,5,5,Chitkara University; Dar Al-Hekma University; Rashtrasant Tukadoji Maharaj Nagpur University; Sant Gadge Baba Amravati University; Saraswati Dental College and Hospital,"Amravati, IN; Chandigarh, IN; Jeddah, SA; Lucknow, IN; Nagpur, IN","20.933330,77.750000; 21.146310,79.084910; 21.490120,39.186240; 26.839280,80.923130; 30.736290,76.788400",already_mapped,no_action
"A Review on Deepfake Image Detection Approaches, Techniques and Methods",2025,W4413255768,https://openalex.org/W4413255768,10.1109/i2cacis65476.2025.11100461,no,yes,2,no,no,yes,map_ready,5,2,5,Sunway University; University of Aleppo,"Aleppo, SY; Petaling Jaya, MY","3.107260,101.606710; 36.201240,37.161170",already_mapped,no_action
A robust ensemble model for Deepfake detection of GAN-generated images on social media,2025,W4409526923,https://openalex.org/W4409526923,10.1007/s10791-025-09538-w,no,yes,4,no,no,yes,map_ready,4,4,4,Dehradun Institute of Technology University; Middle East University; University of Petroleum and Energy Studies; University of Wollongong in Dubai,"Amman, JO; Dehradun, IN; Dubai, AE","25.077250,55.309270; 30.324430,78.033920; 31.955220,35.945030",already_mapped,no_action
Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,W7131078162,https://openalex.org/W7131078162,10.1109/iccvw69036.2025.00165,yes,yes,2,no,no,no,map_ready,0,0,0,,,,already_mapped,no_action
AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,W7117078863,https://openalex.org/W7117078863,,yes,yes,3,no,no,no,map_ready,5,0,0,,,,already_mapped,no_action
AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,2025,W4416252067,https://openalex.org/W4416252067,10.1109/ijcnn64981.2025.11228377,yes,yes,4,no,no,yes,map_ready,10,4,10,Ingegneria dei Sistemi (Italy); Ingegneria dei Trasporti (Italy); University of Bologna; University of Naples Federico II,"Bologna, IT; Naples, IT; Pisa, IT; Rome, IT","40.852160,14.268110; 41.891930,12.511330; 43.708530,10.403600; 44.493810,11.338750",already_mapped,no_action
AI-Generated Image Detection Using Semantic Feature,2025,W4408954780,https://openalex.org/W4408954780,10.23919/icact63878.2025.10936792,no,yes,1,no,no,yes,map_ready,4,1,4,National Taiwan University of Science and Technology,"Taipei, TW","25.053060,121.526390",already_mapped,no_action
AI-Generated-Image Detection Using Deep Learning Techniques,2025,W4409362694,https://openalex.org/W4409362694,10.48175/ijarsct-25140,no,yes,1,no,no,yes,map_ready,5,1,5,University of Mumbai,"Mumbai, IN","19.072830,72.882610",already_mapped,no_action
Aigi-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,W4415343382,https://openalex.org/W4415343382,https://doi.org/10.1109/iccv51701.2025.01742,yes,yes,2,no,no,yes,map_ready,10,2,10,Tencent (China); Xiamen University,"Shenzhen, CN; Xiamen, CN","22.545540,114.068300; 24.479790,118.081871",already_mapped,no_action
Any-Resolution AI-Generated Image Detection by Spectral Learning,2025,W4413144629,https://openalex.org/W4413144629,10.1109/cvpr52734.2025.01743,yes,yes,3,no,no,yes,map_ready,7,3,7,Centre for Research and Technology Hellas; Information Technologies Institute; University of Amsterdam,"Amsterdam, NL; Thessaloniki, GR","40.643610,22.930860; 52.374030,4.889690",already_mapped,no_action
Aperture: a patch-aware framework for joint forgery detection and localization,2025,W4417449415,https://openalex.org/W4417449415,10.1007/s44336-025-00027-8,no,yes,4,no,no,yes,map_ready,0,0,0,,,,already_mapped,no_action
Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,2025,W4410889859,https://openalex.org/W4410889859,10.1007/978-3-031-92648-8_22,yes,yes,3,no,no,no,map_ready,0,0,0,,,,already_mapped,no_action
Art or Artifact? Segmenting AI-Generated Images for Deeper Detection,2025,W4411979039,https://openalex.org/W4411979039,10.1145/3709022.3736544,no,yes,1,no,no,yes,map_ready,3,1,3,Sungkyunkwan University,"Seoul, South Korea","37.566000,126.978400",already_mapped,no_action
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,W4415980694,https://openalex.org/W4415980694,10.48550/arxiv.2504.03615,yes,yes,1,no,no,no,map_ready,3,0,0,,,,already_mapped,no_action
