taxonomy_id,paper_id,title,year,doi,arxiv_id,openalex_url,tasks,image_scopes,research_types,tasks_status,tasks_review_reason,tasks_evidence_tier,tasks_evidence_source,tasks_evidence_excerpt,image_scopes_status,image_scopes_review_reason,image_scopes_evidence_tier,image_scopes_evidence_source,image_scopes_evidence_excerpt,research_types_status,research_types_review_reason,research_types_evidence_tier,research_types_evidence_source,research_types_evidence_excerpt,taxonomy_status,audited_at
paper_id:curated:75cbd31c9946c7eb7977,curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",2026,10.1145/3772318.3791006,2505.22845,https://openalex.org/W4416604008,,fully_generated,analysis_study,reviewed,"No controlled detection, source-attribution, or localization task applies to this study.",reused_audit+abstract,https://doi.org/10.1145/3772318.3791006,"As generative AI is increasingly contributing to the spread of deceptively realistic misinformation, lawmakers have introduced regulations requiring the disclosure of AI-generated content. However, it is unclear if labels reduce the risk of users falling for AI-generated misinformation. To address this research gap, we study the effect of labels on users’ perception and the implications of mislabeling, focusing on AI-generated images. We first explored users’ opinions and expectations of labels ",reviewed,,reused_audit+abstract,https://doi.org/10.1145/3772318.3791006,"To address this research gap, we study the effect of labels on users’ perception and the implications of mislabeling, focusing on AI-generated images.",reviewed,,reused_audit+abstract,https://doi.org/10.1145/3772318.3791006,"Second, we conducted a survey with 1 354 participants to assess how labels affect users’ ability to recognize misinformation.",reviewed,2026-09-04
paper_id:curated:2e30b7cfd7b0c6f427f1,curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,2026,10.1109/edm69524.2026.11632103,,https://openalex.org/W7202290304,detection,fully_generated,analysis_study,reviewed,,reused_audit+abstract,openalex,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,reviewed,,reused_audit+abstract,openalex,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,reviewed,,reused_audit+abstract,openalex,"The experiments were performed on a public dataset of 60,000 images evenly distributed between classes; the size of the training sample ranged from 100 to 48,000 copies.",reviewed,2026-09-04
paper_id:curated:1eb949d2e1adca5bb6cf,curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,2026,,,,detection,fully_generated,method,reviewed,,reused_audit+abstract,manual,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,reviewed,,reused_audit+abstract,manual,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,reviewed,,reused_audit+abstract,manual,"Furthermore, our framework can be robust to corruption of the examined images.",reviewed,2026-09-04
paper_id:curated:b5094e3d407c63ed6f41,curated:b5094e3d407c63ed6f41,A Difference-in-Difference Approach to Detecting AI-Generated Images,2026,,2602.23732,,detection,fully_generated,method,reviewed,,reused_audit+abstract,manual,A Difference-in-Difference Approach to Detecting AI-Generated Images,reviewed,,reused_audit+abstract,manual,A Difference-in-Difference Approach to Detecting AI-Generated Images,reviewed,,reused_audit+abstract,manual,This work proposes a difference-in-difference detector for AI-generated images.,reviewed,2026-09-04
paper_id:curated:4f53748fb43c13e3fc32,curated:4f53748fb43c13e3fc32,A Hybrid CLIP-Diffusion Architecture for Transparent Deepfake Detection and Explainability Evaluation,2026,,,,detection,deepfake,method,reviewed,,reused_audit+abstract,manual,A Hybrid CLIP-Diffusion Architecture for Transparent Deepfake Detection and Explainability Evaluation,reviewed,,reused_audit+abstract,manual,A Hybrid CLIP-Diffusion Architecture for Transparent Deepfake Detection and Explainability Evaluation,reviewed,,reused_audit+abstract,manual,"Guided by recent findings, we propose a hybrid CLIP-Diffusion architecture that combines (i) a frozen CLIP backbone with a classifier operating on intermediate features and (ii) a diffusion-based reconstruction error head, fused by a learnable ensemble.",reviewed,2026-09-04
paper_id:curated:f3e1319a5e27319578cd,curated:f3e1319a5e27319578cd,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,2026,10.3390/engproc2026123032,,https://openalex.org/W7128592463,detection,fully_generated,survey,reviewed,,reused_audit+abstract,openalex,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,reviewed,,reused_audit+abstract,openalex,"To address this issue, deep-learning-based detection techniques can accurately distinguish AI-generated images from real ones, offering robust generalization capabilities.",reviewed,,reused_audit+abstract,openalex,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,reviewed,2026-09-04
openalex:https://openalex.org/w7155245437,,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,,2604.16879,https://openalex.org/W7155245437,detection,fully_generated;generative_editing;deepfake,method,reviewed,,paper_methodology_evaluation,https://arxiv.org/abs/2604.16879,"The paper evaluates binary real-versus-fake synthetic image detection across GenImage, ForenSynths, DIRE, UniversalFake, Chameleon, and COSPY.",reviewed,,paper_methodology_evaluation,https://arxiv.org/abs/2604.16879,The evaluated generators include full synthesis models plus CycleGAN and StarGAN image-to-image or facial editing outputs and DeepFakes.,reviewed,,title,https://arxiv.org/abs/2604.16879,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,reviewed,2026-09-04
paper_id:curated:d1195175f50833c90a64,curated:d1195175f50833c90a64,ADRD: Detecting Diffusion-Generated Images via Adversarial Perturbation Induced Reconstruction Discrepancy,2026,10.1371/journal.pone.0350655,,https://openalex.org/W7168285345,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,ADRD: Detecting Diffusion-Generated Images via Adversarial Perturbation Induced Reconstruction Discrepancy,reviewed,,reused_audit+abstract,openalex,"The rapid advancement of diffusion models has raised concerns about their misuse in generating deceptive visual content, motivating growing interest in AI-generated image detection.",reviewed,,reused_audit+abstract,openalex,"In this work, we propose Adversarial Diffusion Reconstruction Distance (ADRD), a detection framework that models diffusion reconstruction as a dynamic response process rather than a fixed descriptor.",reviewed,2026-09-04
paper_id:curated:17c17b87dfcd355ab1ba,curated:17c17b87dfcd355ab1ba,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images from Scratch,2026,10.1109/tifs.2026.3657841,,https://openalex.org/W7125828141,detection,fully_generated,method,reviewed,,reused_audit+abstract,https://doi.org/10.1109/tifs.2026.3657841,"However, these images are statistically different from the real images, which could be accurately classified by carefully designed detectors.",reviewed,,reused_audit+abstract,https://doi.org/10.1109/tifs.2026.3657841,"To evade detection, researchers have proposed various adversarial example generation schemes for AI-generated images.",reviewed,,reused_audit+abstract,https://doi.org/10.1109/tifs.2026.3657841,"In this paper, we propose an Adversarial Diffusion Model (ADM), which is able to directly generate high quality and undetectable images from scratch on top of a pre-trained stable diffusion model.",reviewed,2026-09-04
paper_id:curated:27b6ffdee837c7f997f5,curated:27b6ffdee837c7f997f5,AEDR: Training-Free AI-Generated Image Attribution via Autoencoder Double-Reconstruction,2026,10.1609/aaai.v40i12.37930,2507.18988,https://openalex.org/W7138264983,source_attribution,fully_generated,method,reviewed,,reused_audit+abstract,openalex,AEDR: Training-Free AI-Generated Image Attribution via Autoencoder Double-Reconstruction,reviewed,,reused_audit+abstract,openalex,AEDR: Training-Free AI-Generated Image Attribution via Autoencoder Double-Reconstruction,reviewed,,reused_audit+abstract,openalex,"To address these challenges, we propose AEDR (AutoEncoder Double-Reconstruction), a novel training‑free attribution method designed for generative models with continuous autoencoders.",reviewed,2026-09-04
