title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,primary_url,is_retracted,notes
AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,yes,Aigi-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,1.030,https://openalex.org/W4415343382,https://doi.org/10.1109/iccv51701.2025.01742,,preprint,https://doi.org/10.1109/iccv51701.2025.01742,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
D3QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,yes,$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,1.021,https://openalex.org/W4414979736,https://doi.org/10.48550/arxiv.2510.05891,ArXiv.org,preprint,http://arxiv.org/abs/2510.05891,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,yes,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,1.030,https://openalex.org/W7160128830,https://doi.org/10.1109/iccv51701.2025.01588,,article,https://doi.org/10.1109/iccv51701.2025.01588,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,yes,LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,1.030,https://openalex.org/W4414903171,https://doi.org/10.1109/iccv51701.2025.01760,,preprint,https://doi.org/10.1109/iccv51701.2025.01760,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Semantic Discrepancy-aware Detector for Image Forgery Identification,2025,yes,Semantic Discrepancy-Aware Detector for Image Forgery Identification,2025,1.030,https://openalex.org/W4414487140,https://doi.org/10.1109/iccv51701.2025.01709,,article,https://doi.org/10.1109/iccv51701.2025.01709,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,yes,ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,1.030,https://openalex.org/W7160017581,https://doi.org/10.1109/iccv51701.2025.01510,,article,https://doi.org/10.1109/iccv51701.2025.01510,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,weak_match,Towards trustworthy LLMs: a review on debiasing and dehallucinating in large language models,2024,0.418,https://openalex.org/W4401484139,https://doi.org/10.1007/s10462-024-10896-y,Artificial Intelligence Review,review,https://doi.org/10.1007/s10462-024-10896-y,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,yes,CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,1.030,https://openalex.org/W7131117798,https://doi.org/10.1109/iccvw69036.2025.00166,,article,https://doi.org/10.1109/iccvw69036.2025.00166,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,yes,SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,1.030,https://openalex.org/W4411484192,https://doi.org/10.1109/tifs.2025.3581726,IEEE Transactions on Information Forensics and Security,article,https://doi.org/10.1109/tifs.2025.3581726,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Are High-Quality AI-Generated Images More Difficult for Models to Detect?,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 400: Bad Request
Few-Shot Learner Generalizes Across AI-Generated Image Detection,2025,weak_match,A Review of Generalized Zero-Shot Learning Methods,2022,0.486,https://openalex.org/W4285787895,https://doi.org/10.1109/tpami.2022.3191696,IEEE Transactions on Pattern Analysis and Machine Intelligence,review,https://doi.org/10.1109/tpami.2022.3191696,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
PiD: Generalized AI-Generated Images Detection with Pixelwise Decomposition Residuals,2025,weak_match,Dissect and Prune: Enhancing Robustness in AI-Generated Image Detection,2026,0.476,https://openalex.org/W7164447787,,arXiv (Cornell University),article,https://arxiv.org/abs/2606.10309,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2025,weak_match,Guaranteed Non-Orthogonal Tensor Decomposition via Alternating Rank-$1$ Updates,2014,0.481,https://openalex.org/W1955967056,https://doi.org/10.48550/arxiv.1402.5180,arXiv (Cornell University),preprint,http://arxiv.org/abs/1402.5180,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,2025,weak_match,A Survey of Detection and Mitigation for Fake Images on Social Media Platforms,2023,0.325,https://openalex.org/W4387377174,https://doi.org/10.3390/app131910980,Applied Sciences,article,https://doi.org/10.3390/app131910980,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,yes,ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,1.030,https://openalex.org/W4415538223,https://doi.org/10.1145/3746027.3755434,,article,https://doi.org/10.1145/3746027.3755434,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
"Self-supervised Bidirectional Synchronization Estimation for Multimodal Deepfake Detection with Short-term Dependency. ICMR, 2025",2025,weak_match,Enhancing EEG Decoding with Selective Augmentation Integration,2026,0.293,https://openalex.org/W7119478889,https://doi.org/10.3390/s26020399,Sensors,article,https://doi.org/10.3390/s26020399,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
"LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains. PST, 2025",2025,weak_match,"Surface Plasmon Resonance-Based Biodetection Systems: Principles, Progress and Applications—A Comprehensive Review",2025,0.409,https://openalex.org/W4406214566,https://doi.org/10.3390/bios15010035,Biosensors,review,https://doi.org/10.3390/bios15010035,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,2025,yes,Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,2025,1.030,https://openalex.org/W4408355373,https://doi.org/10.1109/icassp49660.2025.10890455,,article,https://doi.org/10.1109/icassp49660.2025.10890455,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
GCS-Net: A universal AI-generated visual content detection method based on CLIP,2025,yes,GCS-Net: A universal AI-generated visual content detection method based on CLIP,2025,1.030,https://openalex.org/W4410487490,https://doi.org/10.1016/j.knosys.2025.113806,Knowledge-Based Systems,article,https://doi.org/10.1016/j.knosys.2025.113806,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
"Art or Artifact? Segmenting AI-Generated Images for Deeper Detection. WDC, 2025",2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 400: Bad Request
"REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content. DFF, 2025",2025,weak_match,Exploring the Advancements and Challenges of Deepfake Face-swap: A Survey,2026,0.264,https://openalex.org/W7125510782,https://doi.org/10.1007/s11042-026-21285-8,Multimedia Tools and Applications,article,https://doi.org/10.1007/s11042-026-21285-8,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
High‑resolution network‑based multi‑feature fusion for generalized forgery detection,2025,yes,High-resolution network-based multi-feature fusion for generalized forgery detection,2024,1.015,https://openalex.org/W4405895672,https://doi.org/10.1007/s00530-024-01626-z,Multimedia Systems,article,https://doi.org/10.1007/s00530-024-01626-z,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Optimized frequency collaborative strategy drives AI image detection,2025,yes,Optimized Frequency Collaborative Strategy Drives AI Image Detection,2025,1.030,https://openalex.org/W4406657393,https://doi.org/10.1109/jiot.2025.3531053,IEEE Internet of Things Journal,article,https://doi.org/10.1109/jiot.2025.3531053,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
"FLODA: Harnessing Vision-Language Models for Deepfake Assessment. ICCE, 2025",2025,weak_match,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,2026,0.350,https://openalex.org/W7128592463,https://doi.org/10.3390/engproc2026123032,,article,https://doi.org/10.3390/engproc2026123032,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
"Simple Detection of AI-Generated Images based on Noise Correlation. AMLDS, 2025",2025,weak_match,Multi-modal texture fusion network for detecting AI-generated images,2025,0.467,https://openalex.org/W4415418960,https://doi.org/10.3389/frai.2025.1663292,Frontiers in Artificial Intelligence,article,https://doi.org/10.3389/frai.2025.1663292,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
HFMF: Hierarchical Fusion Meets Multi-Stream Models for Deepfake Detection,2025,yes,HFMF: Hierarchical Fusion Meets Multi-Stream Models for Deepfake Detection,2025,1.030,https://openalex.org/W4409917519,https://doi.org/10.1109/wacvw65960.2025.00082,,article,https://doi.org/10.1109/wacvw65960.2025.00082,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
