title,year,doi,openalex_url,paper_url_or_pdf,authors_found,raw_affiliation_evidence,canonical_institutions,author_institution_mapping,city_region_country,coordinate_notes,evidence_source,manual_notes
Learning to disentangle gan fingerprint for fake image attribution,2021,10.48550/arxiv.2106.08749,https://openalex.org/W3169220064,,,,,,,,,
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,10.52202/075280-3256,https://openalex.org/W7133223677,,,,,,,,,
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,10.48550/arxiv.2305.13800,https://openalex.org/W4378506811,,,,,,,,,
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,10.48550/arxiv.2403.17465,https://openalex.org/W4393284560,,,,,,,,,
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,10.48550/arxiv.2307.06272,https://openalex.org/W4384268537,,,,,,,,,
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,10.52202/079017-1903,https://openalex.org/W4415797310,,,,,,,,,
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,10.48550/arxiv.2402.01123,https://openalex.org/W4391555851,,,,,,,,,
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2024,10.48550/arxiv.2311.12397,https://openalex.org/W4388927818,,,,,,,,,
RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,2024,10.48550/arxiv.2405.20112,https://openalex.org/W4399252995,,,,,,,,,
A Sanity Check for AI-generated Image Detection,2025,10.48550/arxiv.2406.19435,https://openalex.org/W4400222289,,,,,,,,,
AI-generated Image Detection: Passive or Watermark?,2024,10.48550/arxiv.2411.13553,https://openalex.org/W4404649743,,,,,,,,,
Genimage: A million-scale benchmark for detecting ai-generated image,2023,10.48550/arxiv.2306.08571,https://openalex.org/W4380993529,,,,,,,,,
WildFake: A Large-scale Challenging Dataset for AI-Generated Images Detection,2025,10.48550/arxiv.2402.11843,https://openalex.org/W4391987733,,,,,,,,,
