candidate_id,title,policy_inclusion_rationale,reconciliation_outcome,paper_id,doi,arxiv_id,openalex_id,publication_status,version_relationship,primary_evidence,forensic_task,image_scope,research_type,affiliation_status,verified_affiliations,unresolved_fields,final_review_status,marker_count
audit:032ad7d6b71836a2,STD-FD: Spatio-Temporal Distribution Fitting Deviation for AIGC Forgery Identification,"STD-FD analyzes reconstruction/distribution-fitting traces of diffusion-generated images for AIGC forgery detection. Temporal refers to diffusion steps, not video; no injected provenance is required.",MISSING_ADD,curated:411030ceee071541e2d0,,,,conference,"One primary ICML 2025 work; temporal denotes diffusion reconstruction steps, not video.",https://proceedings.mlr.press/v267/lou25a.html,detection,fully_generated,method;analysis_study,verified,Zhejiang University [Hengrui Lou; Zunlei Feng; Erteng Liu; Jie Song; Mingli Song; Yijun Bei] | Zhejiang University [Zunlei Feng; Jinsong Geng; Jie Song; Yijun Bei] | Zhejiang University of Technology [Jie Lei] | Hefei University of Technology [Lechao Cheng] | Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security [Mingli Song],None,reviewed,4
audit:07194f58b4540acc,TGIF2: extended text-guided inpainting forgery dataset and benchmark,"The title and saved opening explicitly identify a text-guided generative-inpainting forgery dataset and benchmark. Its central subject satisfies generative-edit forensics; abbreviated metadata is a later curation limitation, not an unresolved scope boundary.",MISSING_ADD,curated:65b4acebdefa6c9c0799,10.1186/s13635-026-00235-9,,https://openalex.org/W7153215624,journal,"Journal extension of TGIF with FLUX.1 edits, random masks and expanded benchmarking; represented as the distinct TGIF2 work.",https://doi.org/10.1186/s13635-026-00235-9 | https://github.com/IDLabMedia/tgif-dataset,detection;localization,generative_editing,dataset;benchmark;analysis_study,verified; location review pending,Ghent University [Hannes Mareen; Peter Lambert; Glenn Van Wallendael] | imec [Hannes Mareen; Peter Lambert; Glenn Van Wallendael] | Centre for Research and Technology Hellas [Dimitrios Karageorgiou; Paschalis Giakoumoglou; Symeon Papadopoulos],Coordinates pending for: Ghent University; imec,reviewed,1
audit:2ec9b9251586d3bb,Vulnerabilities in AI-generated Image Detection: The Challenge of Adversarial Attacks,FPBA evaluates adversarial vulnerability of passive AI-generated-image detectors across GAN/diffusion generators. No watermark-verification or face-only target is described.,MISSING_ADD,curated:18837b0d71a5d8281717,10.1109/TMM.2026.3682154,2407.20836,https://openalex.org/W4401203256,journal,arXiv 2407.20836 is the preprint of the final IEEE TMM article; only the final article is represented.,https://doi.org/10.1109/TMM.2026.3682154 | https://github.com/onotoa/fpba,detection,fully_generated,method;analysis_study,verified,Hefei University of Technology [Yunfeng Diao; Meng Wang] | University of Science and Technology of China [Naixin Zhai; Changtao Miao; Xun Yang] | Great Bay University [Zitong Yu] | Beihang University [Xingxing Wei],None,reviewed,4
audit:3e3ef129a9a7d54a,Towards Reliable Identification of Diffusion-based Image Manipulations,"RADAR detects/localizes diffusion edits; BBC-PAIR evaluates manipulations from 28 diffusion models, including changes to gestures and backgrounds, beyond pure facial manipulation.",MISSING_ADD,curated:f40df366f19db68b5160,10.52202/085713-1270,,https://openalex.org/W4417095836,conference,One NeurIPS 2025 work; no separate workshop or journal version was established.,https://proceedings.neurips.cc/paper_files/paper/2025/hash/36721d1209a059dcb7a090dd543f34c4-Abstract-Conference.html | https://alex-costanzino.github.io/radar/,detection;localization,generative_editing,method;dataset;benchmark,verified; location review pending,University of Bologna [Alex Costanzino] | BBC Research & Development [Woody Bayliss; Juil Sock; Marc Gorriz Blanch; Danijela Horak] | Mohamed bin Zayed University of Artificial Intelligence [Ivan Laptev; Fabio Pizzati] | University of Oxford [Philip H. S. Torr],Coordinates pending for: BBC Research & Development,reviewed,3
audit:5413d2706f713d11,Untraceable DeepFakes via Traceable Fingerprint Elimination,"The evaluated attack removes naturally occurring generated-image traces to evade source-generator attributors across 12 GMs and 6 AMs. DeepFakes in this abstract refers to generated-image source inference, not a face-swap-only task; no injected fingerprint is described.",MISSING_ADD,curated:9186d263e509fab3f72f,,,,conference,One ICLR 2026 work attacking naturally occurring generator traces used by passive attribution; no embedded watermark is required.,https://proceedings.iclr.cc/paper_files/paper/2026/hash/8e8399e5e7aed601c9f135f40be26564-Abstract-Conference.html,source_attribution,fully_generated,method;analysis_study,verified; location review pending,"University of Science and Technology of China [Jiewei Lai; Lan Zhang; Chen Tang; Pengcheng Sun; Xinming Wang] | Institute of Artificial Intelligence, Hefei Comprehensive National Science Center [Lan Zhang] | Lenovo Research [Yunhao Wang]",Coordinates pending for: Lenovo Research,reviewed,2
audit:5a3a0232762bb033,"PolyJuice Makes It Real: Black-Box, Universal Red Teaming for Synthetic Image Detectors","PolyJuice red-teams passive synthetic-image detectors of text-to-image outputs and also improves them through fine-tuning. The target is an in-scope image detector, not a watermark.",MISSING_ADD,curated:e52d8cfdbe00ad9d27a4,10.52202/085713-4260,,https://openalex.org/W4414697949,conference,One NeurIPS 2025 black-box red-teaming method and detector-robustness analysis.,https://proceedings.neurips.cc/paper_files/paper/2025/hash/b9b228d28770dc2a18922de5cd49f1d9-Abstract-Conference.html | https://sepehrdehdashtian.github.io/Papers/PolyJuice,detection,fully_generated,method;analysis_study,verified; location review pending,Michigan State University [Sepehr Dehdashtian; Mashrur M. Morshed; Vishnu Naresh Boddeti] | Reality Defender [Jacob H. Seidman; Gaurav Bharaj],Coordinates pending for: Reality Defender,reviewed,1
audit:6bf3721fdb65fc44,Detecting AI-Generated Forgeries via Iterative Manifold Deviation Amplification,"IFA-Net explicitly reports IoU/F1 on four diffusion-based inpainting benchmarks and generalization to traditional manipulation. MAE prior injection is internal detector guidance, not a provenance signal embedded in released images.",MISSING_ADD,curated:5b2a1ca1ae438916336b,,2602.18842,https://openalex.org/W7131399153,conference,arXiv 2602.18842 and the CVPR 2026 proceedings paper are one work; the proceedings representation is canonical.,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Detecting_AI-Generated_Forgeries_via_Iterative_Manifold_Deviation_Amplification_CVPR_2026_paper.html,detection;localization,generative_editing,method,verified; location review pending,Wuhan University of Technology [Jiangling Zhang; Shuxuan Gao; Bofan Liu; Siqiang Feng; Jirui Huang; Yaxiong Chen; Ziyu Chen],Coordinates pending for: Wuhan University of Technology,reviewed,0
audit:80dc647f134b129b,Scalable Black-Box Model Attribution for Images,RPA asks which generative model produced a given image and evaluates passive black-box source attribution on DRAGON and OpenFake. No active fingerprint injection is described.,MISSING_ADD,curated:b14247b031eff3671d2b,10.48550/arXiv.2608.15652,2608.15652,https://openalex.org/W7203704211,preprint,Current authoritative form is arXiv 2608.15652; no later publication was established. Attribution is passive image-to-generator inference.,https://arxiv.org/abs/2608.15652,source_attribution,fully_generated,method,verified,Tel Aviv University [Asaf Livne; Amir Jevnisek; Shai Avidan],None,reviewed,0
audit:96a08f643278af6c,NeuroRenderedFake: A Challenging Benchmark to Detect Fake Images Generated by Advanced Neural Rendering Methods,"NeuroRenderedFake independently evaluates image detectors across neural-rendering, generative and combined synthesis methods. This is image authenticity forensics, not rendering quality or video-only analysis.",MISSING_ADD,curated:fc7c3ffa04e8844285a9,10.52202/085713-2012,,https://openalex.org/W7197051350,conference,One NeurIPS 2025 Datasets and Benchmarks paper covering neural rendering and broader GAN/diffusion imagery.,https://proceedings.neurips.cc/paper_files/paper/2025/hash/56bdf726a96d43ee1e66172d14c63a61-Abstract-Datasets_and_Benchmarks_Track.html,detection,fully_generated,dataset;benchmark;analysis_study,verified,Carnegie Mellon University [Chengdong Dong; Vijayakumar Bhagavatula] | The Hong Kong Polytechnic University [Chengdong Dong; Zhenyu Zhou; Ajay Kumar],None,reviewed,2
audit:a1d31a96ac288ab0,ImageTrust: Multi-backbone Fusion for AI-Generated Image Detection with Calibrated Uncertainty,ImageTrust explicitly proposes an AI-generated-image detection system with recompression robustness and calibrated uncertainty. The saved title and opening establish the central passive image-forensic task; detailed experiments remain future curation work.,MISSING_ADD,curated:f43871cdbcf21546aa91,10.1007/978-3-032-29430-2_19,,https://openalex.org/W7208817080,conference,Official Springer chapter is the canonical publication and gives publication year 2027; OpenAlex's 2026 year is not used.,https://doi.org/10.1007/978-3-032-29430-2_19,detection,fully_generated,method,verified; location review pending,West University of Timișoara [Andrei-Alexandru Iancu; Darius Galiş; Sebastian-Aurelian Stefaniga],Coordinates pending for: West University of Timișoara,reviewed,0
audit:bb665e920e4e26be,UniShield: An Adaptive Multi-Agent Framework for Unified Forgery Image Detection and Localization,"UniShield explicitly evaluates detection/localization across image manipulation, documents, deepfakes and AI-generated images; the synthetic-image component is part of its substantive cross-domain contribution.",MISSING_ADD,curated:d8f1f6faffbb9c814104,10.48550/arXiv.2510.03161,2510.03161,https://openalex.org/W4416371312,preprint,"Current authoritative form is arXiv 2510.03161. The relevant endpoint is passive detection/localization, not protection or watermarking.",https://arxiv.org/abs/2510.03161,detection;localization,fully_generated;generative_editing,method,verified,Peking University [Qing Huang; Zhipei Xu; Xuanyu Zhang; Jian Zhang] | South China University of Technology [Qing Huang; Xiangyu Yu],None,reviewed,2
