batch,title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,notes,review_decision,review_notes
final_uncovered_forced,AI-generated image detection algorithm based on classical-quantum hybrid neural network,2026,weak_match,Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next,2022,0.413,https://openalex.org/W4288039037,https://doi.org/10.1007/s10915-022-01939-z,Journal of Scientific Computing,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,weak_match,A Comprehensive Review on 3D Object Detection and 6D Pose Estimation With Deep Learning,2021,0.453,https://openalex.org/W3200754113,https://doi.org/10.1109/access.2021.3114399,IEEE Access,review,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,2026,weak_match,Exposing Vulnerabilities of Deepfake Detection Systems with Robust Attacks,2021,0.482,https://openalex.org/W3164267381,https://doi.org/10.1145/3464307,Digital Threats Research and Practice,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection. MMM 2026,2026,no_match,,,,,,,,No OpenAlex search results for the generated title variants.,,
final_uncovered_forced,Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,2026,weak_match,Electroencephalography Signal Processing: A Comprehensive Review and Analysis of Methods and Techniques,2023,0.424,https://openalex.org/W4384557778,https://doi.org/10.3390/s23146434,Sensors,review,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,weak_match,Transformers in medical image analysis,2022,0.348,https://openalex.org/W4293163051,https://doi.org/10.1016/j.imed.2022.07.002,Intelligent Medicine,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,Localizing Perceptual Artifacts in Synthetic Images for Image Quality Assessment via Deep-Learning-Based Anomaly Detection,2026,weak_match,ECG-Image-Kit: a synthetic image generation toolbox to facilitate deep learning-based electrocardiogram digitization,2024,0.523,https://openalex.org/W4396760241,https://doi.org/10.1088/1361-6579/ad4954,Physiological Measurement,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,2026,weak_match,Privacy-preserving large language models for structured medical information retrieval,2024,0.517,https://openalex.org/W4402713323,https://doi.org/10.1038/s41746-024-01233-2,npj Digital Medicine,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,"Prompt-Engineered Detection of AI-Generated Images. New Trends in Intelligent Software Methodologies, Tools and Techniques, 2026",2026,weak_match,The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective,2023,0.409,https://openalex.org/W4386711999,https://doi.org/10.1007/s11846-023-00696-z,Review of Managerial Science,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,2026,weak_match,A foundation model for generalizable disease detection from retinal images,2023,0.473,https://openalex.org/W4386697749,https://doi.org/10.1038/s41586-023-06555-x,Nature,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,The SAFE Image Authenticity Challenge: Detecting and Localizing Partial and Fully Synthetic Manipulations,2026,weak_match,"Autonomous Vehicles: Sophisticated Attacks, Safety Issues, Challenges, Open Topics, Blockchain, and Future Directions",2023,0.437,https://openalex.org/W4385603076,https://doi.org/10.3390/jcp3030025,Journal of Cybersecurity and Privacy,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,Training-free Detection of Text-to-video Generations via Over-coherence,2026,weak_match,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",2022,0.430,https://openalex.org/W4206484811,https://doi.org/10.1109/access.2021.3140175,IEEE Access,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
top50,Transferable Dual-Domain Feature Importance Attack against AI-Generated Image Detector,2026,weak_match,"A survey of safety and trustworthiness of deep neural networks: Verification, testing, adversarial attack and defence, and interpretability",2020,0.371,https://openalex.org/W3036286896,https://doi.org/10.1016/j.cosrev.2020.100270,Computer Science Review,article,,include,
final_uncovered_forced,Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,2026,weak_match,A foundation model for generalizable disease detection from retinal images,2023,0.452,https://openalex.org/W4386697749,https://doi.org/10.1038/s41586-023-06555-x,Nature,article,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.,,
final_uncovered_forced,"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,query_failed,,,,,,,,"OpenAlex queries failed: 'What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026': Could not fetch https://api.openalex.org/works?search=What+is+Real+Anymore%3F+A+Solution+to+Detect+Hyper+Realistic+AI-Generated+Imagery.+CCWC%2C+2026&sort=relevance_score%3Adesc&per-page=10: HTTP 400 | 'What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery CCWC': Could not fetch https://api.openalex.org/works?search=What+is+Real+Anymore%3F+A+Solution+to+Detect+Hyper+Realistic+AI-Generated+Imagery+CCWC&sort=relevance_score%3Adesc&per-page=10: HTTP 400",,
next50,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,weak_match,Towards trustworthy LLMs: a review on debiasing and dehallucinating in large language models,2024,0.418,https://openalex.org/W4401484139,https://doi.org/10.1007/s10462-024-10896-y,Artificial Intelligence Review,review,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.,,
batch2,Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,An Adversarial Approach for Anti-Detection of AI Generated Images through Sample Generation,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Are GAN generated images easy to detect? A critical analysis of the state-of-the-art,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
next50,Are High-Quality AI-Generated Images More Difficult for Models to Detect?,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 400: Bad Request,,
next50,"Art or Artifact? Segmenting AI-Generated Images for Deeper Detection. WDC, 2025",2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 400: Bad Request,,
top50,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,weak_match,Autonomous self-healing organic crystals for nonlinear optics,2023,0.479,https://openalex.org/W4387764609,https://doi.org/10.1038/s41467-023-42131-7,Nature Communications,article,,include,
next50,Beyond Semantic Features: Pixel-level Mapping for Generalized AI-Generated Image Detection,2025,weak_match,On instabilities of deep learning in image reconstruction and the potential costs of AI,2020,0.379,https://openalex.org/W2911290743,https://doi.org/10.1073/pnas.1907377117,Proceedings of the National Academy of Sciences,article,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.,,
batch2,Bridging the Gap Between Ideal and Real-world Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
next50,Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 400: Bad Request,,
batch2,Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,DBINDS - Can Initial Noise from Diffusion Model Inversion Help Reveal AI-Generated Videos?,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
top50,Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,weak_match,“ <i>They</i> Did It”: The Effects of Emotionalized Blame Attribution in Populist Communication,2016,0.377,https://openalex.org/W2419616447,https://doi.org/10.1177/0093650216644026,Communication Research,article,,include,
batch2,Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
next50,Few-Shot Learner Generalizes Across AI-Generated Image Detection,2025,weak_match,A Review of Generalized Zero-Shot Learning Methods,2022,0.486,https://openalex.org/W4285787895,https://doi.org/10.1109/tpami.2022.3191696,IEEE Transactions on Pattern Analysis and Machine Intelligence,review,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.,,
batch2,Fixed-Threshold Evaluation of a Hybrid CNN–ViT for AI-Generated Image Detection Across Photos and Art,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
next50,"FLODA: Harnessing Vision-Language Models for Deepfake Assessment. ICCE, 2025",2025,weak_match,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,2026,0.350,https://openalex.org/W7128592463,https://doi.org/10.3390/engproc2026123032,,article,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.,,
batch2,Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,FragFake: A Dataset for Fine-Grained Detection of Edited Images with Vision Language Models. 20250x0x,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
