file,field_path,role,value
data/curated/papers.csv,[4].venue_track,source_paper_track,workshops
data/curated/papers.csv,[4].raw_venue,provenance,2024 European Conference on Computer Vision (ECCV) Workshops
data/curated/papers.csv,[9].raw_venue,provenance,2020 IEEE Security and Privacy Workshops (SPW)
data/curated/papers.csv,[12].venue_track,source_paper_track,workshops
data/curated/papers.csv,[20].venue_track,source_paper_track,workshops
data/curated/papers.csv,[20].raw_venue,provenance,2024 European Conference on Computer Vision (ECCV) Workshops
data/curated/papers.csv,[26].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/curated/papers.csv,[26].venue_name,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/curated/papers.csv,[26].raw_venue,provenance,ACM Workshop on Information Hiding and Multimedia Security
data/curated/papers.csv,[28].venue_track,source_paper_track,workshops
data/curated/papers.csv,[55].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/curated/papers.csv,[55].venue_name,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/curated/papers.csv,[55].venue_track,source_paper_track,workshops
data/curated/papers.csv,[55].raw_venue,provenance,IEEE International Workshop on Information Forensics and Security (WIFS)
data/curated/papers.csv,[79].venue_track,source_paper_track,workshops
data/curated/papers.csv,[79].raw_venue,provenance,Proceedings of the 1stWorkshop on GenAI Content Detection (GenAIDetect)
data/curated/papers.csv,[80].venue_track,source_paper_track,workshops
data/curated/papers.csv,[85].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/curated/papers.csv,[85].venue_name,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/curated/papers.csv,[85].venue_track,source_paper_track,workshops
data/curated/papers.csv,[85].raw_venue,provenance,2024 IEEE International Workshop on Information Forensics and Security (WIFS)
data/curated/papers.csv,[86].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/curated/papers.csv,[86].venue_name,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/curated/papers.csv,[86].venue_track,source_paper_track,workshops
data/curated/papers.csv,[86].raw_venue,provenance,2024 IEEE International Workshop on Information Forensics and Security (WIFS)
data/curated/papers.csv,[87].venue,canonical_venue,Image Analysis and Processing - ICIAP 2025 Workshops: 23rd International Conference
data/curated/papers.csv,[87].raw_venue,provenance,Image Analysis and Processing - ICIAP 2025 Workshops: 23rd International Conference
data/curated/papers.csv,[96].venue_track,source_paper_track,workshops
data/curated/papers.csv,[96].raw_venue,provenance,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops
