institution_id,institution_name,country,city,direct_paper_count,mapping_count,author_count,marker_count,alias_count,child_count,parent_id,merge_target,replacement_target,decision,reason,alias_preserved_as,deleted_from_registry,deleted_location,run_id,timestamp
institution:91aeee1163fdce71,A*STAR,,,2,2,8,0,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:b85a1a866c0c7fe8,Aarhus University,Denmark,Aarhus,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:7a0d6a63667ac750,Adobe Research,United States,San Jose,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:6c7dc4ecc36c32ba,"Agency for Science, Technology and Research",,,1,1,1,0,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:e81a0314e783d8a4,"Agency for Science, Technology and Research (A*STAR)",Singapore,Singapore,0,0,0,3,2,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:b145c3f748543038,AI Foundation and Algorithm Lab,Russia,Moscow,1,1,2,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:6faf58b52bec4e39,Alibaba Inc,China,Hangzhou,2,2,9,2,1,1,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:930e5c2880e11cb3,Alipurduar Government Engineering and Management College,India,Alipurduar,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:cbc62794911ff31b,Amazon,United States,Seattle,0,0,0,2,1,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:8ab1276f56c9f894,Amazon AI,United States,Seattle,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:75d38d0aaffc30fe,Amazon GenAI,,,1,1,1,0,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:284bfcf10a3b1ebf,Amazon Prime Video,United States,Seattle,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:b7f49dab7bfe22c4,American International University-Bangladesh,Bangladesh,Dhaka,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:16ee891260af74c0,Anhui University,,,1,1,3,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:6f15f620028933fb,Anqing Normal University,,,1,1,1,0,0,0,,,,retained_by_reference,active author–institution mapping,,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:5a28a1a99a417ba5,Ant Group,China,Hangzhou,6,6,10,7,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:ac7aeed6b85a0a40,Arizona State University,United States,Tempe,1,1,3,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:583e34971c9eeb5b,Artificial Intelligence in Medicine (Canada),,,1,1,1,0,0,0,,,,retained_by_reference,active author–institution mapping,,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:c739468458199e8c,Barisal Information Technology College,Bangladesh,Barisal,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:042deeccb5521315,Bay Institute,,,1,1,3,0,0,0,,,,retained_by_reference,active author–institution mapping,,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:f336b3005794930b,Beihang University,China,Beijing,4,4,9,5,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:985443a2d7239406,Beijing Academy of Artificial Intelligence,China,Beijing,3,3,3,4,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:9cd15ab643d7131f,Beijing Institute of Graphic Communication,China,Beijing,1,1,1,3,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:bf6195b78f6dc951,Beijing Jiaotong University,China,Beijing,8,8,15,17,1,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:924e1e0e9723b423,Beijing Normal University,China,Beijing,3,3,4,4,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:1502cb7c96ae3095,Beijing University of Posts and Telecommunications,China,Beijing,8,8,33,10,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:f060d61d546153f2,Beijing University of Technology,China,Beijing,2,2,3,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:2792f975d7b5565e,Binjiang Institute of Artificial Intelligence,China,Hangzhou,1,1,2,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:ffd387a3478eb9e9,"Birla Institute of Technology, Mesra",,,1,1,1,0,0,0,,,,retained_by_reference,active author–institution mapping,,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:e822c28c6d58a829,"BITS Pilani, Goa",India,Vasco da Gama,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:99ef70abd8f55fae,"BITS Pilani, Hyderabad",India,Hyderabad,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:2c846bda509d7d12,Boston University,United States,Boston,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:c5235efb76365de2,Carnegie Mellon University,United States,Pittsburgh,3,3,4,3,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:060062d7bc15b07c,"Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",Japan,Sendai,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:15e8da2735014d49,Central University of Finance and Economics,China,Beijing,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:f841aa8a7a0d29aa,Centre for Research and Technology Hellas (CERTH),Greece,Thessaloniki,4,4,5,8,1,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:29645bb566fcd576,French National Centre for Scientific Research,France,Paris,2,2,3,5,2,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:6bdc62fb06ac696f,Changsha University of Science and Technology,,,1,1,4,0,0,0,,,,retained_by_reference,active author–institution mapping,,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:7aae859eefe8edd1,Chang'an University,China,Xi’an,1,1,1,1,1,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:5757493192522b63,China Electronics Technology Group Corporation,China,Beijing,1,1,2,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:0be9d444a6c88894,"China Telecom Cloud Technology Co., Ltd.",,,1,1,2,0,0,0,,,,retained_by_reference,active author–institution mapping,,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:e67012d79bb3f603,China University of Mining and Technology,China,Xuzhou,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:3afb6cc453e0a8d9,Chinese Academy of Sciences,China,Beijing,0,0,0,1,0,4,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:3f9391add8daa620,Chinese People's Armed Police Force Engineering University,,,1,1,5,0,0,0,,,,retained_by_reference,active author–institution mapping,,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:ff4b6fb0e7e3f155,Chinese University of Hong Kong,,,0,0,0,0,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:488418437bfc9b2c,Chittagong University of Engineering and Technology,Bangladesh,Raozan,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:7e10613327a4e264,Chongqing University of Posts and Telecommunications,China,Chongqing,3,3,11,7,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:aea376936c88135b,CISPA Helmholtz Center for Information Security,Germany,Saarbrücken,5,5,11,5,1,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:ec71dc4340659fd9,City University of Hong Kong,China,Hong Kong,6,6,9,10,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:24e78a56f93457a5,City University of London,United Kingdom,London,1,1,1,1,1,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:769b711ed2fee7c0,City University of Macau,,,1,1,1,3,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:fa6adc95226df542,Clemson University,United States,Clemson,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
institution:721b1fe645c5b099,CNIT,Italy,Florence,1,1,1,1,0,0,,,,retained_by_reference,"reviewed alias, audit, replacement, or curated review reference",,false,false,orphan-cleanup:a2735ffb0dbbf196,2026-08-08T11:53:47+00:00
