batch,title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,notes,review_decision,review_notes
batch2,No Detector to Rule Them All,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Rich and Poor Texture Contrast: A Simple yet Effective Approach for AI-generated Image Detection,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Stealthdiffusion: Towards evading diffusion forensic detection through diffusion model,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Towards the Detection of Diffusion Model Deepfakes cite: 100+ Ruhr University Bochum,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,UniAIDet: A Unified and Universal Benchmark for AI-Generated Image Content Detection and Localization,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
top50,Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,query_failed,,,,,,,,HTTP Error 400: Bad Request,include,
batch2,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Detecting Computer-Generated Images by Using Only Real Images,2024,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Detecting Image Attribution for Text-to-Image Diffusion Models in RGB and Beyond,2024,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch5,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,query_failed,,,,,,,,OpenAlex queries failed: 'Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics': Could not fetch https://api.openalex.org/works?search=Did+You+Note+My+Palette%3F+Unveiling+Synthetic+Images+Through+Color+Statistics&sort=relevance_score%3Adesc&per-page=10: HTTP 400,,
batch2,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,2024,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
