title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,primary_url,is_retracted,notes
Fixed-Threshold Evaluation of a Hybrid CNN–ViT for AI-Generated Image Detection Across Photos and Art,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Stealthdiffusion: Towards evading diffusion forensic detection through diffusion model,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
An Adversarial Approach for Anti-Detection of AI Generated Images through Sample Generation,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Are GAN generated images easy to detect? A critical analysis of the state-of-the-art,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Towards the Detection of Diffusion Model Deepfakes cite: 100+ Ruhr University Bochum,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Rich and Poor Texture Contrast: A Simple yet Effective Approach for AI-generated Image Detection,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Bridging the Gap Between Ideal and Real-world Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
No Detector to Rule Them All,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
UniAIDet: A Unified and Universal Benchmark for AI-Generated Image Content Detection and Localization,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
DBINDS - Can Initial Noise from Diffusion Model Inversion Help Reveal AI-Generated Videos?,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
"Human vs. AI: A Novel Benchmark and a Comparative Study on the Detection of Generated Images and the Impact of Prompts. GenAIDetect, 2025",2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
FragFake: A Dataset for Fine-Grained Detection of Edited Images with Vision Language Models. 20250x0x,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Is Artificial Intelligence Generated Image Detection a Solved Problem?,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
FIDAVL: Fake Image Detection and Attribution using Vision-Language Model,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Single-Model Attribution of Generative Models Through Final-Layer Inversion,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Shadows Don't Lie and Lines Can't Bend! Generative Models don't know Projective Geometry...for now,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Your diffusion model is an implicit synthetic image detector,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Detecting Image Attribution for Text-to-Image Diffusion Models in RGB and Beyond,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Frequency Masking for Universal Deepfake Detection,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
Detecting Computer-Generated Images by Using Only Real Images,2024,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests
