paper_id,title,institution_id,canonical_name,mapping_id,authors,location_id,city,region,country,latitude,longitude,review_status,classification,support_source,reason
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",institution:068512c1b695fe0b,Max Planck Institute for Security and Privacy,,Thorsten Holz,,Bochum,,Germany,51.481651306152344,7.216479778289795,automatic_export_eligible,COMPLETE,existing_validated_automatic_location,Existing public location provenance retained; no new geocoding or independent re-review.
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",institution:6f14a665aa77ba34,Helmholtz Center for Information Security,,Sandra Höltervennhoff; Maike M. Raphael; Charlotte Schwedes; Rebecca Weil; Lea Schönherr; Sascha Fahl,,Saarbrücken,,Germany,49.23262023925781,7.009819984436035,automatic_export_eligible,COMPLETE,existing_validated_automatic_location,Existing public location provenance retained; no new geocoding or independent re-review.
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",institution:8f8dd64c6339c8ff,Ruhr University Bochum,,Jonas Ricker; Asja Fischer,,Bochum,,Germany,51.48165,7.21648,automatic_export_eligible,COMPLETE,existing_validated_automatic_location,Existing public location provenance retained; no new geocoding or independent re-review.
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",institution:ac9dc63b4bd4669a,Leibniz University Hannover,,Sandra Höltervennhoff; Sascha Fahl,,Hanover,,Germany,52.37052,9.73322,automatic_export_eligible,COMPLETE,existing_validated_automatic_location,Existing public location provenance retained; no new geocoding or independent re-review.
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",institution:aeb3cd858bb22d74,Hannover Re (Germany),,Sandra Höltervennhoff; Sascha Fahl,,Hanover,,Germany,52.39210891723633,9.803854942321777,automatic_export_eligible,COMPLETE,existing_validated_automatic_location,Existing public location provenance retained; no new geocoding or independent re-review.
curated:3da39d6e1e1f36089901,A Bias-Free Training Paradigm for More General AI-Generated Image Detection,institution:2b6e51bec93e86c1,Google DeepMind,mapping:fab541f76a7c6d75985c,Ben Usman; Avneesh Sud,location:24bd5393789c0267b980,Cambridge,Massachusetts,United States,42.3629,-71.087,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
curated:3da39d6e1e1f36089901,A Bias-Free Training Paradigm for More General AI-Generated Image Detection,institution:d046d2c57bb3a863,University of Naples Federico II,mapping:c2e51f8cca3f3a7f984f,Fabrizio Guillaro; Giada Zingarini; Davide Cozzolino; Luisa Verdoliva,location:d046d2c57bb3a863a89a,Naples,Campania,Italy,40.8463,14.2572,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
curated:cb237bfcbc395a031757,A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,institution:bec45b93a867958c,Lamar University,mapping:3ac937fe727eb34f0b2c,Anjuman Ara; Md Sajadul Alam; Kamrujjaman; Afia Farjana Mifa,location:bec45b93a867958cc8fb,Beaumont,Texas,United States,30.0388947,-94.0758929,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
,A Closer Look at Fourier Spectrum Discrepancies for CNN-Generated Images Detection,institution:6dd3ce9e0d5fd1ab,Singapore University of Technology and Design,,Keshigeyan Chandrasegaran; Ngoc-Trung Tran; Ngai‐Man Cheung,,Singapore,,Singapore,1.28967,103.85007,automatic_export_eligible,COMPLETE,existing_validated_automatic_location,Existing public location provenance retained; no new geocoding or independent re-review.
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,institution:e808c43481f24251,Novosibirsk State Technical University,mapping:fb5e95f3211371df62b1,Egor Antonyants; Anna Aletdinova; Alexander Leontiev; Vitalii Zaozernov,location:0a0d27aa74b6df9808a3,Novosibirsk,Novosibirsk Oblast,Russia,54.988,82.904,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,institution:304707b21fcfbd4d,University of Massachusetts Amherst,mapping:cf0bf9ff1ccca13a4ff0,Robin Kim,location:304707b21fcfbd4d1653,Amherst,Massachusetts,United States,42.3868,-72.5301,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,institution:3103fb7db9011c4c,LG AI Research,mapping:9509e2f0d9db58520d19,Sungik Choi; Jaehoon Lee; Stanley Jungkyu Choi; Moontae Lee,location:6266ec24d28970a28769,Seoul,Seoul,South Korea,37.5623,126.8348,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,institution:e80b94c605da24ce,Sungkyunkwan University,mapping:e104ea8aaeb727d7fb9f,Hankook Lee,location:e80b94c605da24cea15f,Suwon,Gyeonggi-do,South Korea,37.2939,126.9757,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
curated:53154d830e337fce1fad,A Deepfake Image Detection Method Based on a Multi-Graph Attention Network,institution:2f4b9adadf7f5004,Chongqing University of Science and Technology,mapping:6b3e23f978997d60bf1d,Guorong Chen; Chongling Du; Yu Yuan; Hong Hu; Hongjun Duan; Huazheng Zhu,location:1362d7d5e0f891194374,Chongqing,Chongqing,China,29.6019,106.3037,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
,A GAN-based Approach to Detect AI-Generated Images,institution:85dd03b724084b02,University of Baltimore,,Weifeng Xu,,Baltimore,,United States,39.29038,-76.61219,automatic_export_eligible,COMPLETE,existing_validated_automatic_location,Existing public location provenance retained; no new geocoding or independent re-review.
,A GAN-based Approach to Detect AI-Generated Images,institution:86acee6f855e6b06,Bowie State University,,Galamo Monkam; Jie Yan,,Bowie,,United States,38.94278,-76.73028,automatic_export_eligible,COMPLETE,existing_validated_automatic_location,Existing public location provenance retained; no new geocoding or independent re-review.
,A Guided-Based Approach for Deepfake Detection: RGB-Depth Integration via Features Fusion,institution:977430a4473aa4b0,Sapienza University of Rome,,Giorgio Leporoni; Luca Maiano; Lorenzo Papa; Irene Amerini,,Rome,,Italy,41.89193,12.51133,automatic_export_eligible,COMPLETE,existing_validated_automatic_location,Existing public location provenance retained; no new geocoding or independent re-review.
curated:4f53748fb43c13e3fc32,A Hybrid CLIP-Diffusion Architecture for Transparent Deepfake Detection and Explainability Evaluation,institution:9a7735d85c857b40,Federal Office for Information Security,mapping:8d3fa7d98587fd34883d,Dominik Alveen; Anna Wilhelm,location:fa2e568dc3e3ece64f6f,Saarbrücken,Saarland,Germany,49.25811,7.04365,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
curated:4f53748fb43c13e3fc32,A Hybrid CLIP-Diffusion Architecture for Transparent Deepfake Detection and Explainability Evaluation,institution:ac2070f8a298bac2,Fraunhofer IOSB,mapping:065db4c4c6efa576d90e,Andreas Specker; Manjunatha Veerappa; Thomas Golda; Nadia Burkart,location:bff7bf588b07f29b5fbb,Karlsruhe,Baden-Württemberg,Germany,49.01464,8.42599,confirmed,COMPLETE,curated_confirmed_location,"Source-backed affiliation, canonical institution identity, and selected location are represented by the exported mapping lineage."
