title,year,expected_task,source_doc,section,in_openalex_candidate_papers,in_candidate_map,in_public_preview,in_public_preview_paper_list,covered_as_map_marker,map_record_count,missing_affiliation,missing_coordinates,missing_stage,coverage_status,recommended_action,best_openalex_title_match,best_openalex_title_score,best_public_preview_title_match,best_public_preview_title_score,best_public_preview_paper_title_match,best_public_preview_paper_title_score,notes
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,detection_and_source_attribution,Z_Update_SIA.docx,Identification | Literature summary,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,Evaluating Data Attribution for Text-to-Image Models,0.748,,0.000,,0.000,"source_suffix=WACV, 2025"
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=arXiv, 20250404"
FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images. 20250708,2025,source_attribution,Z_Update_SIA.docx,Verification,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,source_suffix=arXiv
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,
Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=ICLR, 2025"
Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=CVPR, 2025"
Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=NeurIPS, 2025"
AI-generated image detection algorithm based on classical-quantum hybrid neural network,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=Science China, 2026"
"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=ICLR, 2026"
Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=TPAMI, 2026"
Transferable Dual-Domain Feature Importance Attack against AI-Generated Image Detector,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=SPL, 2026"
General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=WACV, 2026"
Training-free Detection of Text-to-video Generations via Over-coherence,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=WACV, 2026"
The SAFE Image Authenticity Challenge: Detecting and Localizing Partial and Fully Synthetic Manipulations,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=WACV workshop, 2026"
Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=WACV workshops, 2026"
"Prompt-Engineered Detection of AI-Generated Images. New Trends in Intelligent Software Methodologies, Tools and Techniques, 2026",2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,
Localizing Perceptual Artifacts in Synthetic Images for Image Quality Assessment via Deep-Learning-Based Anomaly Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=Electronics, 2026"
Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=Electronics, 2026"
"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,
FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection. MMM 2026,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,
Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=Neurocomputing, 2026"
Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,2026,detection,Z_Update_SID_SIA_2026.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=Computer Vision Winter Workshop, 2026"
