institution_id,canonical_name,aliases_considered,previous_type,proposed_type,applied_rule,evidence,affected_unique_paper_count
institution:91aeee1163fdce71,A*STAR,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,2
institution:b85a1a866c0c7fe8,Aarhus University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:7a0d6a63667ac750,Adobe Research,[],company,company,preserve_confirmed_company,previous_type=company,1
institution:6c7dc4ecc36c32ba,"Agency for Science, Technology and Research",[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:e81a0314e783d8a4,"Agency for Science, Technology and Research (A*STAR)","[""Agency for Science, Technology and Research (A*STAR)"", ""Agency for Science, Technology and Research""]",research_unit,research_unit,preserve_research_unit,previous_type=research_unit,0
institution:b145c3f748543038,AI Foundation and Algorithm Lab,[],laboratory,research_unit,legacy_laboratory,previous_type=laboratory,1
institution:6faf58b52bec4e39,Alibaba Inc,"[""Taobao & Tmall Group of Alibaba""]",company,company,preserve_confirmed_company,previous_type=company,2
institution:930e5c2880e11cb3,Alipurduar Government Engineering and Management College,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:cbc62794911ff31b,Amazon,"[""Amazon GenAI""]",company,company,preserve_confirmed_company,previous_type=company,0
institution:8ab1276f56c9f894,Amazon AI,[],company,company,preserve_confirmed_company,previous_type=company,1
institution:75d38d0aaffc30fe,Amazon GenAI,[],company,company,preserve_confirmed_company,previous_type=company,1
institution:284bfcf10a3b1ebf,Amazon Prime Video,[],company,company,preserve_confirmed_company,previous_type=company,1
institution:b7f49dab7bfe22c4,American International University-Bangladesh,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:16ee891260af74c0,Anhui University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:6f15f620028933fb,Anqing Normal University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:5a28a1a99a417ba5,Ant Group,[],research_unit,company,clear_commercial_entity,canonical_name=Ant Group,4
institution:ac7aeed6b85a0a40,Arizona State University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:583e34971c9eeb5b,Artificial Intelligence in Medicine (Canada),[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:647c89e2c8a671f8,Association Clinique et Thérapeutique Infantile du Val de Marne,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,0
institution:c739468458199e8c,Barisal Information Technology College,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:042deeccb5521315,Bay Institute,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:f336b3005794930b,Beihang University,[],university,university,preserve_confirmed_university,previous_type=university,3
institution:985443a2d7239406,Beijing Academy of Artificial Intelligence,[],institute,research_unit,legacy_institute,previous_type=institute,3
institution:9cd15ab643d7131f,Beijing Institute of Graphic Communication,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:bf6195b78f6dc951,Beijing Jiaotong University,"[""Beijing Jiaotong University""]",university,university,preserve_confirmed_university,previous_type=university,3
institution:924e1e0e9723b423,Beijing Normal University,[],university,university,preserve_confirmed_university,previous_type=university,3
institution:1502cb7c96ae3095,Beijing University of Posts and Telecommunications,[],university,university,preserve_confirmed_university,previous_type=university,7
institution:f060d61d546153f2,Beijing University of Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:2792f975d7b5565e,Binjiang Institute of Artificial Intelligence,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:ffd387a3478eb9e9,"Birla Institute of Technology, Mesra",[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:e822c28c6d58a829,"BITS Pilani, Goa",[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:99ef70abd8f55fae,"BITS Pilani, Hyderabad",[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:2c846bda509d7d12,Boston University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:c5235efb76365de2,Carnegie Mellon University,[],university,university,preserve_confirmed_university,previous_type=university,3
institution:060062d7bc15b07c,"Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",[],institute,university,complete_word_university,"canonical_name=Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",1
institution:15e8da2735014d49,Central University of Finance and Economics,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:f841aa8a7a0d29aa,Centre for Research and Technology Hellas (CERTH),"[""Information Technologies Institute""]",institute,research_unit,legacy_institute,previous_type=institute,1
institution:29645bb566fcd576,Centre National de la Recherche Scientifique,"[""CNRS""]",institute,research_unit,legacy_institute,previous_type=institute,2
institution:48be4a3c2949fee3,Changsha University,[],university,university,preserve_confirmed_university,previous_type=university,0
institution:6bdc62fb06ac696f,Changsha University of Science and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:7aae859eefe8edd1,Chang’an University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:7ecedd9572b7f6ba,China Academy of Information and Communications Technology,[],institute,research_unit,legacy_institute,previous_type=institute,0
institution:5757493192522b63,China Electronics Technology Group Corporation,[],research_unit,company,clear_commercial_entity,canonical_name=China Electronics Technology Group Corporation,1
institution:2f4cdd3b31b9a5db,China Telecom,[],research_unit,company,clear_commercial_entity,canonical_name=China Telecom,0
institution:0be9d444a6c88894,"China Telecom Cloud Technology Co., Ltd.",[],research_unit,company,clear_commercial_entity,"canonical_name=China Telecom Cloud Technology Co., Ltd.",1
institution:e67012d79bb3f603,China University of Mining and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:3afb6cc453e0a8d9,Chinese Academy of Sciences,[],institute,research_unit,legacy_institute,previous_type=institute,0
institution:3f9391add8daa620,Chinese People's Armed Police Force Engineering University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:ff4b6fb0e7e3f155,Chinese University of Hong Kong,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:488418437bfc9b2c,Chittagong University of Engineering and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:7e10613327a4e264,Chongqing University of Posts and Telecommunications,[],university,university,preserve_confirmed_university,previous_type=university,3
institution:aea376936c88135b,CISPA Helmholtz Center for Information Security,"[""CISPA Helmholtz Center for Information Security""]",institute,research_unit,legacy_institute,previous_type=institute,4
institution:ec71dc4340659fd9,City University of Hong Kong,[],university,university,preserve_confirmed_university,previous_type=university,5
institution:cedf27014e59d7d9,"City University of Hong Kong, Shenzhen Research Institute",[],institute,university,complete_word_university,"canonical_name=City University of Hong Kong, Shenzhen Research Institute",0
institution:24e78a56f93457a5,City University of London,"[""City, University of London""]",university,university,preserve_confirmed_university,previous_type=university,1
institution:769b711ed2fee7c0,City University of Macau,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:fa6adc95226df542,Clemson University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:721b1fe645c5b099,CNIT,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:e6405787e8a9312c,CNRS,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:3da00d58d4c97192,Commonwealth Scientific and Industrial Research Organisation,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:6a318a8411b5cf74,Complutense University of Madrid,"[""Universidad Complutense de Madrid"", ""马德里康普顿斯大学""]",university,university,preserve_confirmed_university,previous_type=university,0
institution:3d7a55d07b650cfa,Czech Technical University in Prague,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:753a256f592cb1fe,Data Assurance and Communication Security,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,0
institution:3be1ce40ea53f6d2,Data61,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:e0fc2ffb269489e7,Drexel University,"[""Drexel University""]",university,university,preserve_confirmed_university,previous_type=university,5
institution:a8d8c5fe60be3e65,East China Normal University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:82b627d49a985ef1,East China University of Science and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:a2c9ccf9659160de,Electronics and Telecommunications Research Institute (ETRI),[],institute,research_unit,legacy_institute,previous_type=institute,0
institution:73bb0fe265f6e090,Friedrich-Alexander-Universität Erlangen-Nürnberg,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:baa1df7c4adddbda,Fudan University,"[""Fudan University""]",university,university,preserve_confirmed_university,previous_type=university,8
institution:c3227ed71ef6fcd8,Fujian University of Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:0da909b4402f8657,Fujitsu Limited,[],research_unit,company,clear_commercial_entity,canonical_name=Fujitsu Limited,1
institution:dbb4589b8e2f8264,Florida International University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:90cbfdc3d90fe8a0,Fujitsu Research of Europe,[],research_unit,company,clear_commercial_entity,canonical_name=Fujitsu Research of Europe,2
institution:6beb2f6c52d3f30c,Gachon University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:39839f8732e7433b,George Mason University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:ab37cf6fbc2c38dd,GIPSA-Lab,[],laboratory,research_unit,legacy_laboratory,previous_type=laboratory,1
institution:35e36dc1a5213fa3,Google Research,[],company,company,preserve_confirmed_company,previous_type=company,1
institution:a76d3c97c5824bc9,Grenoble INP,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:8fe72087521e285a,Guangdong University of Technology,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:a1e1ec8b780e67c8,Guizhou Normal University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:2b9a45614734dda3,Hand and Upper Limb Clinic,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:91e76fe32279c58d,Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:3e2d6c20e9d268da,Hanyang University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:fe438b1c7662476f,Harbin Institute of Technology,[],institute,research_unit,legacy_institute,previous_type=institute,3
institution:6c5bb70e9f4b77ba,"Harbin Institute of Technology, Shenzhen",[],institute,research_unit,legacy_institute,previous_type=institute,2
institution:329f39cda413f721,Ho Chi Minh City University of Science,"[""University of Science, VNU-HCMC""]",university,university,preserve_confirmed_university,previous_type=university,1
