title,year,affiliation_row_count,institution_count,coordinate_row_count,institutions,locations,coordinate_pairs,source_files,diagnosis,recommended_action
Detecting AI-Generated Images via Diffusion Snap-Back Reconstruction: A Forensic Approach,2026,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Methods and trends in detecting AI-generated images: A comprehensive review,2026,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
A Novel Framework for Deepfake Image Detection Using Deep Learning Approach,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
"A Review on Deepfake Image Detection Approaches, Techniques and Methods",2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
A robust ensemble model for Deepfake detection of GAN-generated images on social media,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Comparative Analysis of Custom CNN Architecture and MobileNet for Deepfake Image Detection,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Deepfake Image Detection Using Convolutional Neural Network,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Deepfake Image Detection Using Light-Weight Attention Integrated MobileNetV3 Model,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Deepfake Image Detection with Transfer Learning Models,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
DeepGuardNet: A Novel CNN Architecture for DeepFake Image Detection,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Detecting AI-Generated Images Using a Hybrid ResNet-SE Attention Model,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Detecting AI-Generated Images Using Facial Similarity and Feature Extraction for Digital Security,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Detecting AI-Generated Images Using Vision Transformers: A Robust Approach for Safeguarding Visual Media Integrity,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Harnessing The Power Of AI To Detect AI Generated Images,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Hierarchical Feature Fusion and Enhanced Attention Mechanism for Robust GAN-Generated Image Detection,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
InvisMark: Invisible and Robust Watermarking for AI-generated Image Provenance,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
MSAFNet: multi-scale self-adaptive feature fusion network for AI-generated image detection,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
