title,year,openalex_url,doi,best_match_title,best_match_year,similarity,publication_venue,publication_type,primary_url,preliminary_task,preliminary_subtask,import_status,notes
Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,https://openalex.org/W7155245437,,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,1.000,ArXiv.org,journal,https://arxiv.org/abs/2604.16879,detection,ai_generated_image_detection,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,https://openalex.org/W7133363592,,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,1.000,ArXiv.org,journal,http://arxiv.org/abs/2603.01878,detection,medical_synthetic_image_detection,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,https://openalex.org/W7135092069,https://doi.org/10.48550/arxiv.2603.10598,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,1.000,arXiv (Cornell University),preprint,https://doi.org/10.48550/arxiv.2603.10598,detection,ai_generated_image_detection,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,https://openalex.org/W7117078863,,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,1.000,ArXiv.org,journal,http://arxiv.org/abs/2512.17730,ai_generated_image_detection,deepfake_image_detection,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,https://openalex.org/W4414979736,https://doi.org/10.48550/arxiv.2510.05891,$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,1.000,ArXiv.org,preprint,http://arxiv.org/abs/2510.05891,ai_generated_image_detection,ai_generated_image_detection,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,https://openalex.org/W4417529984,https://doi.org/10.48550/arxiv.2512.16300,Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,1.000,ArXiv.org,preprint,http://arxiv.org/abs/2512.16300,ai_generated_image_detection,ai_generated_image_detection,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,https://openalex.org/W4417056138,https://doi.org/10.48550/arxiv.2503.24267,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,1.000,arXiv (Cornell University),preprint,http://arxiv.org/abs/2503.24267,ai_generated_image_detection,ai_generated_image_detection,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,https://openalex.org/W4414789480,https://doi.org/10.48550/arxiv.2509.20890,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,1.000,ArXiv.org,preprint,http://arxiv.org/abs/2509.20890,detection,ai_generated_image_detection,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,https://openalex.org/W4414577086,https://doi.org/10.48550/arxiv.2503.08148,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,1.000,ArXiv.org,preprint,http://arxiv.org/abs/2503.08148,source_attribution,source_attribution,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,https://openalex.org/W4415935817,https://doi.org/10.48550/arxiv.2511.00181,From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,1.000,arXiv (Cornell University),preprint,http://arxiv.org/abs/2511.00181,ai_generated_image_detection,ai_generated_image_detection,ready,Prepared from missing_affiliation_rows blocker report using the existing OpenAlex work ID; affiliation import only.
