candidate_id,title,original_policy_cluster,exact_original_unresolved_question,primary_source,decisive_evidence,evidence_resolution_outcome,narrowed_scope_rationale,identity_reconciliation_outcome,added,paper_id,doi,arxiv_id,openalex_id,forensic_task,image_scope,research_type,verified_affiliations,unresolved_metadata,marker_count,final_review_status,next_action
audit:07f15e7e8a78398a,Riemannian-Geometric Fingerprints of Generative Models,ATTRIBUTION,"Does the evaluated Riemannian fingerprint infer a generator/source from encountered generated images using naturally occurring traces, rather than only authenticating a model service or its parameters?",https://openaccess.thecvf.com/content/ICCV2025/html/Song_Riemannian-Geometric_Fingerprints_of_Generative_Models_ICCV_2025_paper.html,"Sections 3.1, 3.3, and 4.2/Table 3 define artifacts as deviations in generated samples, predict the source generator from an observed image, and evaluate attribution across four image datasets and 27 model architectures. No watermark, embedded signature, service call, or generator parameters are required.",EVIDENCE_CONFIRMS_SCOPE,Passive source-model attribution from naturally occurring image traces is in scope.,MISSING_ADD,yes,curated:807b1bfdfd16bf98be30,10.1109/ICCV51701.2025.01063,2506.22802,W4416507446,source_attribution,fully_generated,method;analysis_study,University of Southern California [Hae Jin Song; Laurent Itti],None,1,reviewed,Integrated into the authoritative successor corpus.
audit:0b72dded38f87a65,A Rich Knowledge Space for Scalable Deepfake Detection,FACE,Does the stated AIGC benchmark independently evaluate broader fully generated or generatively edited images beyond the 3.6-million facial-image/deepfake collection?,https://proceedings.iclr.cc/paper_files/paper/2026/file/9c0efc0d84c263972af72bf70a2de533-Paper-Conference.pdf,Section 5.2.2 and Table 4 independently evaluate General Synthetic Image Detection beyond facial manipulation: a linear probe trained on Stable Diffusion 1.4 versus ImageNet is tested on eight GenImage generators and reaches 88.50% mean accuracy.,EVIDENCE_CONFIRMS_SCOPE,The separately measured general AIGC detector is broader than the face-focused MMI-DD pretraining corpus.,MISSING_ADD,yes,curated:5305dab76cb75ae5887e,,,,detection,fully_generated;deepfake,method;dataset;benchmark,Sungkyunkwan University [Inho Jung; Hyeongjun Choi; Binh M. Le; Hohyun Na; Simon S. Woo],"No DOI, arXiv ID, or OpenAlex ID was established.",1,reviewed,Integrated into the authoritative successor corpus.
audit:0dc47031ed0bccc5,DINOv3 Beats Specialized Detectors: A Simple Foundation Model Baseline for Image Forensics,IMAGE,"Do the CAT-Net/MVSS-Net evaluation protocols contain a substantive independently evaluated generative-edit or fully generated-image subset, rather than classical tampering only?",https://arxiv.org/html/2604.16083,"Section 4.1 identifies the CAT-Net/MVSS-Net evaluation sets as CASIA splicing/copy-move, Columbia splicing, NIST16 composite manipulation, Coverage copy-move, and the tampered-image subset of IMD2020. Tables 1–2 contain no independently evaluated generative-edit or fully generated subset.",EVIDENCE_EXCLUDES_SCOPE,The evaluated protocols are classical manipulation only; generative-model motivation does not establish an in-scope experiment.,,no,,10.48550/arXiv.2604.16083,2604.16083,W7154960552,,,,,None; the evidence-layer scope exclusion is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:202541800aaec592,Conditional uncertainty-aware political deepfake detection with stochastic Convolutional Neural Networks,FACE,"Does the political-deepfake uncertainty study evaluate a broader passive synthetic-image detector, or only face/identity/video deepfakes? The saved publisher summary does not identify its data or evaluation unit.",https://jhss.scholasticahq.com/article/156299-conditional-uncertainty-aware-political-deepfake-detection-with-stochastic-convolutional-neural-networks.pdf,"Sections 3.1–3.5 define an image-level OpenFake subset with 2,000 authentic photographs and 2,000 AI-generated images from multiple generators, filtered for political actors, institutions, events, and discourse, with generator-disjoint out-of-distribution evaluation.",EVIDENCE_CONFIRMS_SCOPE,"This is a passive real-versus-synthetic still-image detector in a specialized political domain, not a face- or video-only system.",MISSING_ADD,yes,curated:64195610a6d2c2448275,10.64336/001c.156299,2602.10343,W7127885743,detection,fully_generated,method;analysis_study,Colegiul Național “Mihai Eminescu” Satu Mare [Rafael-Petruţ Gardoş],Coordinates pending for: Colegiul Național “Mihai Eminescu” Satu Mare.,0,reviewed,Integrated into the authoritative successor corpus.
audit:46984fabc086b053,FreDA: Training-Free Test-Time Adaptation for Deepfake Detection via Non-parametric Cache Retrieval,FACE,Does FreDA adapt passive general AI-generated-image detectors beyond pure face/video deepfake detection? The truncated abstract does not identify the target datasets.,https://doi.org/10.1007/978-3-032-37274-1_4,"Section 5.1 states that all evaluation uses FaceForensics++ in-domain and Celeb-DF-v1 plus DFDCP cross-dataset; Sections 5.2–5.4 retain those facial-deepfake datasets, and Section 4.2 defines retrieval over authentic and manipulated faces.",EVIDENCE_EXCLUDES_SCOPE,The contribution is pure face-deepfake adaptation with no broader synthetic-image benchmark.,,no,,10.1007/978-3-032-37274-1_4,,W7211888972,,,,,None; the evidence-layer scope exclusion is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:6880617d9c9040d4,Generating Attribution Reports for Manipulated Facial Images: A Dataset and Baseline,IMAGE,"Does Generating Attribution Reports evaluate a broader synthetic-image forensic contribution beyond facial manipulation, and what source is attributed? Only an ACL bibliographic citation is saved.",https://aclanthology.org/2026.acl-long.1405.pdf,"Section 2/Table 1 uses only CelebAMask-HQ and FFHQ faces for face swap, facial-attribute editing, and facial-component inpainting; Appendix G filters SynthScars to facial manipulations. The report attributes visible facial regions and artifact descriptions, not a source generator.",EVIDENCE_EXCLUDES_SCOPE,"Every substantive evaluation is facial manipulation, and “attribution” is an explanation report rather than passive source/model attribution.",,no,,10.18653/v1/2026.acl-long.1405,2412.19685,W4405903586,,,,,None; the evidence-layer scope exclusion is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:854cc239481946ba,Detecting violent deepfakes: dataset and a compact attention network with multi-scale supervision,FACE,"Does the violent-deepfake dataset test general generated scenes/images or only face/identity manipulation, and is its image-forensics component independently evaluated?",https://doi.org/10.1007/s00138-026-01836-7,"The abstract and experiments introduce DVID with 17,442 Stable Diffusion violent-scene images and 17,253 real images, report 98% accuracy and 97.8% average precision, and independently test cross-model/color robustness on DiffusionForensics.",EVIDENCE_CONFIRMS_SCOPE,The paper detects fully generated still-image scenes and is not restricted to face or identity manipulation.,MISSING_ADD,yes,curated:e5a9ed970200c293678e,10.1007/s00138-026-01836-7,,W7162851466,detection,fully_generated,method;dataset;benchmark,Indian Institute of Technology Patna [Surbhi Raj; Jimson Mathew; Arijit Mondal],"IIT Patna affiliation is verified, but its registry location lacks confirmed coordinates.",0,reviewed,Integrated into the authoritative successor corpus.
audit:cf16307ced603a1d,Abductive Corroboration of Probabilistic AI Models for Forensic Synthetic Media Detection,VERIFY,"Is there a separable, independently evaluated passive synthetic-image forensic method or passive-detector analysis that remains valid without SynthID or any watermark recovery? Identify the watermark-free results.",https://arxiv.org/html/2607.05434,"Section III defines three passive image classifiers applied independently to 4,000 images. Table III reports their standalone results, and Table VIII reports watermark-free corroboration: two-classifier agreement lowers false-positive rate from 20.7% to 1.7%, while three-classifier agreement yields 0% observed false positives. SynthID is confined to a separate 400-image experiment.",EVIDENCE_CONFIRMS_SCOPE,The passive detector analysis and corroboration remain valid without watermark recovery.,MISSING_ADD,yes,curated:dc0280c881d08395cfac,10.48550/arXiv.2607.05434,2607.05434,W7167855108,detection,fully_generated,method;analysis_study,The Alan Turing Institute [Junade Ali],Coordinates pending for: The Alan Turing Institute.,0,reviewed,Integrated into the authoritative successor corpus.
audit:ea0d7f9972aa1b1c,SPARK-IL: Spectral Retrieval-Augmented RAG for Knowledge-Driven Deepfake Detection via Incremental Learning,IMAGE,"Does SPARK-IL evaluate broader passive AI-generated-image detection beyond face/video deepfakes, and which generator datasets establish that component?",https://doi.org/10.1007/978-3-032-31927-2_7,"The abstract and Section 4/Table 1 evaluate UniversalFakeDetect across 19 models: ProGAN, CycleGAN, BigGAN, StyleGAN, GauGAN, StarGAN, low-level/perceptual manipulations, LDM, GLIDE, and DALL·E. SPARK-IL reports 94.60% mean accuracy and cross-category generalization.",EVIDENCE_CONFIRMS_SCOPE,The passive detector substantively evaluates broad GAN and diffusion imagery in addition to face-swap and manipulation subsets.,MISSING_ADD,yes,curated:d50b63ed7eabda15c19f,10.1007/978-3-032-31927-2_7,2604.03833,W7172139314,detection,fully_generated;generative_editing;deepfake,method,Polytechnic University of Hauts-de-France [Hessen Bougueffa Eutamene; Abdelmalik Taleb-Ahmed] | Institute of Applied Sciences and Intelligent Systems [Abdellah Zakaria Sellam] | University of Salento [Abdellah Zakaria Sellam] | Sorbonne University Abu Dhabi [Abdenour Hadid],Coordinates pending for: Institute of Applied Sciences and Intelligent Systems; University of Salento.,2,reviewed,Integrated into the authoritative successor corpus.
audit:f12e2be8d1320201,Deep learning for CGI and visual forgery detection: a comprehensive survey,IMAGE,"Does this CGI/visual-forgery survey substantively cover passive AI-generated-image detection, attribution or generative-edit localization, rather than mainly classical CGI/rendering or traditional manipulation?",https://doi.org/10.1007/s41060-026-01192-9,"Sections 2.3, 3.1, 6.3, and the dataset synthesis cover passive detection of GAN- and diffusion-generated images, including CIFAKE, GenImage, ArtiFact, StyleGAN, ProGAN, Stable Diffusion, Midjourney, ADM, GLIDE, and cross-generator generalization.",EVIDENCE_CONFIRMS_SCOPE,The survey substantively covers current passive AI-generated-image detection rather than only legacy CGI or classical forgery.,MISSING_ADD,yes,curated:d129c9180d4a0cff91ad,10.1007/s41060-026-01192-9,,W7166514721,detection,fully_generated,survey,Turkish National Defense University [Ahmet Korkmaz] | Bursa Technical University [Mustafa Özden],Coordinates pending for: Bursa Technical University; Turkish National Defense University.,0,reviewed,Integrated into the authoritative successor corpus.
