institution_id,canonical_name,institution_type,institution_status,parent_institution_id,public_display,created_at,updated_at,created_by
institution:91aeee1163fdce71,A*STAR,research_unit,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:b85a1a866c0c7fe8,Aarhus University,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:7a0d6a63667ac750,Adobe Research,company,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:6c7dc4ecc36c32ba,"Agency for Science, Technology and Research",research_unit,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:e81a0314e783d8a4,"Agency for Science, Technology and Research (A*STAR)",research_unit,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:b145c3f748543038,AI Foundation and Algorithm Lab,research_unit,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:6faf58b52bec4e39,Alibaba Inc,company,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:930e5c2880e11cb3,Alipurduar Government Engineering and Management College,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:cbc62794911ff31b,Amazon,company,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:8ab1276f56c9f894,Amazon AI,company,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:75d38d0aaffc30fe,Amazon GenAI,company,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:284bfcf10a3b1ebf,Amazon Prime Video,company,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:b7f49dab7bfe22c4,American International University-Bangladesh,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:16ee891260af74c0,Anhui University,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:6f15f620028933fb,Anqing Normal University,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:5a28a1a99a417ba5,Ant Group,company,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:ac7aeed6b85a0a40,Arizona State University,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:583e34971c9eeb5b,Artificial Intelligence in Medicine (Canada),research_unit,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:647c89e2c8a671f8,Association Clinique et Thérapeutique Infantile du Val de Marne,research_unit,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:c739468458199e8c,Barisal Information Technology College,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:042deeccb5521315,Bay Institute,research_unit,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:f336b3005794930b,Beihang University,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:985443a2d7239406,Beijing Academy of Artificial Intelligence,research_unit,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:9cd15ab643d7131f,Beijing Institute of Graphic Communication,university,active,,self,2026-07-13T21:50:39Z,2026-07-18T16:01:56Z,institution-model-migration
institution:bf6195b78f6dc951,Beijing Jiaotong University,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:924e1e0e9723b423,Beijing Normal University,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:1502cb7c96ae3095,Beijing University of Posts and Telecommunications,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:f060d61d546153f2,Beijing University of Technology,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:2792f975d7b5565e,Binjiang Institute of Artificial Intelligence,research_unit,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:ffd387a3478eb9e9,"Birla Institute of Technology, Mesra",university,active,,self,2026-07-13T21:50:39Z,2026-07-18T16:01:56Z,institution-model-migration
institution:e822c28c6d58a829,"BITS Pilani, Goa",university,active,,self,2026-07-13T21:50:39Z,2026-07-18T16:01:56Z,institution-model-migration
institution:99ef70abd8f55fae,"BITS Pilani, Hyderabad",university,active,,self,2026-07-13T21:50:39Z,2026-07-18T16:01:56Z,institution-model-migration
institution:2c846bda509d7d12,Boston University,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:c5235efb76365de2,Carnegie Mellon University,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:060062d7bc15b07c,"Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
institution:15e8da2735014d49,Central University of Finance and Economics,university,active,,self,2026-07-13T21:50:39Z,2026-07-13T21:50:39Z,institution-model-migration
