map_record_id,canonical_paper_identity,title,year,institution,institution_id,institution_source,latitude,longitude,in_scope,publication_type,venue_type,venue_id,venue_label,trace_result
openalex-candidate-6876f9a15b8d8b2b,openalex:https://openalex.org/w3012033723,Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,Ruhr University Bochum,institution:8f8dd64c6339c8ff,automatic_fallback,51.48165,7.21648,True,conference,conference,venue:icml:main,Conference · International Conference on Machine Learning (ICML),valid baseline-only marker absent from current partial source snapshot
openalex-candidate-12c6b08226c44733,openalex:https://openalex.org/w4385800597,Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,University of Siena,institution:65dbfd1e022f02e2,automatic_fallback,43.31821823120117,11.330639839172363,True,conference,conference,venue:ieee-cvf-conference-on-computer-vision-and-pattern-recognition:main,Conference · IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPRW),valid baseline-only marker absent from current partial source snapshot
openalex-candidate-51b82c918c7e867b,openalex:https://openalex.org/w3012472557,Detecting and Simulating Artifacts in GAN Fake Images,2019,Columbia University,institution:17bf653107a56b33,automatic_fallback,40.71427,-74.00597,True,preprint,workshop,venue:wifs:main,Workshop · IEEE International Workshop on Information Forensics and Security (WIFS),valid baseline-only marker absent from current partial source snapshot
openalex-candidate-5eab5059aba1c983,openalex:https://openalex.org/w3034577585,CNN-Generated Images Are Surprisingly Easy to Spot… for Now,2020,Berkeley College,institution:8448eafa665a5096,automatic_fallback,40.71427,-74.00597,True,conference,conference,venue:cvpr:main,Conference · IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),valid baseline-only marker absent from current partial source snapshot
openalex-candidate-8653f73a606c9570,openalex:https://openalex.org/w3034864980,Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,Heidelberg University,institution:f904c5dbc038c1df,automatic_fallback,49.40768,8.69079,True,journal,journal,venue:opus-hso-offenburg-university-of-applied-sciences:main,Journal · Opus-HSO (Offenburg University of Applied Sciences),valid baseline-only marker absent from current partial source snapshot
openalex-candidate-ced4670d6f25ee48,openalex:https://openalex.org/w2985484909,Fourier Spectrum Discrepancies in Deep Network Generated Images,2019,Texas A&M University,institution:4e140b5268efc364,automatic_fallback,30.62798,-96.33441,True,preprint,preprint,venue:arxiv:main,Preprint · arXiv,valid baseline-only marker absent from current partial source snapshot
openalex-candidate-2f748826e528c7c4,openalex:https://openalex.org/w3187526215,Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,Helmholtz Center for Information Security,institution:6f14a665aa77ba34,automatic_fallback,49.23262023925781,7.009819984436035,True,conference,conference,venue:thirtieth-international-joint-conference-on-artificial-intelligence:main,Conference · Thirtieth International Joint Conference on Artificial Intelligence,valid baseline-only marker absent from current partial source snapshot
openalex-candidate-39db27838e50b6bb,openalex:https://openalex.org/w4313189772,Detecting Generated Images by Real Images,2022,Chongqing University of Posts and Telecommunications,institution:7e10613327a4e264,automatic_fallback,29.560260772705078,106.55770874023438,True,book,book,venue:lncs:main,Book · Lecture Notes in Computer Science (LNCS),valid baseline-only marker absent from current partial source snapshot
openalex-candidate-34ad5f2c322e90c0,openalex:https://openalex.org/w3196551054,BiHPF: Bilateral High-Pass Filters for Robust Deepfake Detection,2022,Samsung (South Korea),institution:457423605fa485bc,automatic_fallback,37.566,126.9784,True,conference,conference,venue:wacv:main,Conference · IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),valid baseline-only marker absent from current partial source snapshot
openalex-candidate-68a7fb8fb05ec09c,openalex:https://openalex.org/w4386071953,Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,University of Wisconsin-Madison,institution:3e2e527953176c93,automatic_fallback,43.07305,-89.40123,True,conference,conference,venue:cvpr:main,Conference · IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),valid baseline-only marker absent from current partial source snapshot
