title,year,scope_guess,review_decision,best_match_title,best_match_year,similarity,openalex_id,openalex_url,doi,publication_venue,publication_type,is_accepted_match,notes
AI-generated image detection algorithm based on classical-quantum hybrid neural network,2026,include_broad_scope,include,Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next,2022,0.413,https://openalex.org/W4288039037,https://openalex.org/W4288039037,https://doi.org/10.1007/s10915-022-01939-z,Journal of Scientific Computing,journal,weak_match,
Light2Lie: Detecting Deepfake Images Using Physical Reflectance Law,2026,include_broad_scope,include,Light2Lie: Detecting Deepfake Images Using Physical Reflectance Laws,2026,0.992,https://openalex.org/W7160998329,https://openalex.org/W7160998329,https://doi.org/10.14722/ndss.2026.230923,,journal,yes,
"""That’s another doom I haven’t thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation. CHI, 2026",2026,include_broad_scope,include,"""That's another doom I haven't thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",2026,0.964,https://openalex.org/W4416604008,https://openalex.org/W4416604008,https://doi.org/10.1145/3772318.3791006,,journal,yes,
"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,include_broad_scope,include,Remote Sensing Object Detection in the Deep Learning Era—A Review,2024,0.405,https://openalex.org/W4390826350,https://openalex.org/W4390826350,https://doi.org/10.3390/rs16020327,Remote Sensing,journal,weak_match,
FakeReasoning: Towards Generalizable Forgery Detection and Reasoning,2026,include_broad_scope,include,Toward Generalizable Forgery Detection and Reasoning,2026,0.874,https://openalex.org/W7140634248,https://openalex.org/W7140634248,https://doi.org/10.1109/tip.2026.3673967,IEEE Transactions on Image Processing,journal,yes,
SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,include_broad_scope,include,SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,1.000,https://openalex.org/W7137976262,https://openalex.org/W7137976262,https://doi.org/10.1609/aaai.v40i8.37568,Proceedings of the AAAI Conference on Artificial Intelligence,conference,yes,
Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,2026,include_broad_scope,include,Deep Residual Learning for Image Recognition: A Survey,2022,0.362,https://openalex.org/W4295122555,https://openalex.org/W4295122555,https://doi.org/10.3390/app12188972,Applied Sciences,journal,weak_match,
Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,include_broad_scope,include,Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,1.000,https://openalex.org/W7128818896,https://openalex.org/W7128818896,https://doi.org/10.1109/tpami.2026.3664388,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,yes,
DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,include_broad_scope,include,DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,1.000,https://openalex.org/W7125581744,https://openalex.org/W7125581744,https://doi.org/10.1109/tcsvt.2026.3656696,IEEE Transactions on Circuits and Systems for Video Technology,journal,yes,
Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,include_broad_scope,include,Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,1.000,https://openalex.org/W7131898118,https://openalex.org/W7131898118,https://doi.org/10.1109/tmm.2026.3668513,IEEE Transactions on Multimedia,journal,yes,
Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,include_broad_scope,include,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,1.000,https://openalex.org/W7125828141,https://openalex.org/W7125828141,https://doi.org/10.1109/tifs.2026.3657841,IEEE Transactions on Information Forensics and Security,journal,yes,
Transferable Dual-Domain Feature Importance Attack against AI-Generated Image Detector,2026,include_broad_scope,include,"A survey of safety and trustworthiness of deep neural networks: Verification, testing, adversarial attack and defence, and interpretability",2020,0.371,https://openalex.org/W3036286896,https://openalex.org/W3036286896,https://doi.org/10.1016/j.cosrev.2020.100270,Computer Science Review,journal,weak_match,
General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,include_broad_scope,include,A Review of Generalized Zero-Shot Learning Methods,2022,0.333,https://openalex.org/W4285787895,https://openalex.org/W4285787895,https://doi.org/10.1109/tpami.2022.3191696,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,weak_match,
Training-free Detection of Text-to-video Generations via Over-coherence,2026,include_broad_scope,include,"Survey of the State of the Art in Natural Language Generation: Core tasks, applications and evaluation",2018,0.363,https://openalex.org/W2604799547,https://openalex.org/W2604799547,https://doi.org/10.1613/jair.5477,Journal of Artificial Intelligence Research,journal,weak_match,
The SAFE Image Authenticity Challenge: Detecting and Localizing Partial and Fully Synthetic Manipulations,2026,include_broad_scope,include,Cybersecurity challenges in vehicular communications,2019,0.436,https://openalex.org/W2992860123,https://openalex.org/W2992860123,https://doi.org/10.1016/j.vehcom.2019.100214,Vehicular Communications,journal,weak_match,
Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,2026,include_broad_scope,include,Electroencephalography Signal Processing: A Comprehensive Review and Analysis of Methods and Techniques,2023,0.424,https://openalex.org/W4384557778,https://openalex.org/W4384557778,https://doi.org/10.3390/s23146434,Sensors,journal,weak_match,
CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,include_broad_scope,include,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,1.000,https://openalex.org/W7133363592,https://openalex.org/W7133363592,,ArXiv.org,journal,yes,
"Prompt-Engineered Detection of AI-Generated Images. New Trends in Intelligent Software Methodologies, Tools and Techniques, 2026",2026,include_broad_scope,include,The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective,2023,0.409,https://openalex.org/W4386711999,https://openalex.org/W4386711999,https://doi.org/10.1007/s11846-023-00696-z,Review of Managerial Science,journal,weak_match,
Localizing Perceptual Artifacts in Synthetic Images for Image Quality Assessment via Deep-Learning-Based Anomaly Detection,2026,include_broad_scope,include,Applications of artificial intelligence and deep learning in molecular imaging and radiotherapy,2020,0.442,https://openalex.org/W3088719758,https://openalex.org/W3088719758,https://doi.org/10.1186/s41824-020-00086-8,European Journal of Hybrid Imaging,journal,weak_match,
Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,2026,include_broad_scope,include,A foundation model for generalizable disease detection from retinal images,2023,0.452,https://openalex.org/W4386697749,https://openalex.org/W4386697749,https://doi.org/10.1038/s41586-023-06555-x,Nature,journal,weak_match,
"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,include_broad_scope,include,,,,,,,,,query_failed,HTTP Error 400: Bad Request
FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection. MMM 2026,2026,include_broad_scope,include,,,,,,,,,no_match,No OpenAlex result
Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,2026,include_broad_scope,include,"A Survey on ChatGPT: AI–Generated Contents, Challenges, and Solutions",2023,0.413,https://openalex.org/W4385469325,https://openalex.org/W4385469325,https://doi.org/10.1109/ojcs.2023.3300321,IEEE Open Journal of the Computer Society,journal,weak_match,
Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2026,include_broad_scope,include,Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2025,1.000,https://openalex.org/W4417526972,https://openalex.org/W4417526972,https://doi.org/10.1016/j.neucom.2025.132482,Neurocomputing,journal,yes,
E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2026,include_broad_scope,include,E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2025,1.000,https://openalex.org/W4417166521,https://openalex.org/W4417166521,https://doi.org/10.1016/j.patrec.2025.12.001,Pattern Recognition Letters,journal,yes,
Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,2026,include_broad_scope,include,Deepfake Generation and Detection: Case Study and Challenges,2023,0.397,https://openalex.org/W4389633690,https://openalex.org/W4389633690,https://doi.org/10.1109/access.2023.3342107,IEEE Access,journal,weak_match,
