institution_name,city,country,ror_id,resolution_method,resolution_confidence,needs_review,reason,example_openalex_id,example_author_name
Federico II University Hospital,,,02jr6tp70,ror_id,high,false,resolved,https://openalex.org/W4402915983,Davide Cozzolino
Technical University of Munich,,,02kkvpp62,ror_id,high,false,resolved,https://openalex.org/W4402915983,Matthias Nießner
Sun Yat-sen University,,,0064kty71,ror_id,high,false,resolved,https://openalex.org/W4388820663,Ziyi Xi
University of Science and Technology of China,,,04c4dkn09,ror_id,high,false,resolved,https://openalex.org/W4390873235,Zhendong Wang
Microsoft Research Asia (China),,,0300m5276,ror_id,high,false,resolved,https://openalex.org/W4390873235,Jianmin Bao
Institute of Art,,,017fyx225,ror_id,high,false,resolved,https://openalex.org/W4390873235,Wengang Zhou
National Science Centre,,,03ha2q922,ror_id,high,false,resolved,https://openalex.org/W4390873235,Wengang Zhou
,,,,unresolved,low,true,no_authoritative_identifier_or_exact_cache_match;resolved_coordinates_missing,https://openalex.org/W4390873235,Hong Chen
University of Naples Federico II,,,05290cv24,ror_id,high,false,resolved,https://openalex.org/W2811414481,Francesco Marra
University of Siena,,,01tevnk56,ror_id,high,false,resolved,https://openalex.org/W4392453284,Lydia Abady
Monash University Malaysia,,,00yncr324,ror_id,high,false,resolved,https://openalex.org/W4200053273,Brandon Khoo
Monash University,,,02bfwt286,ror_id,high,false,resolved,https://openalex.org/W4200053273,Raphaël C.‐W. Phan
Beijing Jiaotong University,,,01yj56c84,ror_id,high,false,resolved,https://openalex.org/W4402753859,Huan Liu
Baidu (China),,,03vs3wt56,ror_id,high,false,resolved,https://openalex.org/W4402753859,Zichang Tan
Information Technologies Institute,,,0069akp70,ror_id,high,false,resolved,https://openalex.org/W4404002774,Christos Koutlis
Centre for Research and Technology Hellas,,,03bndpq63,ror_id,high,false,resolved,https://openalex.org/W4404002774,Christos Koutlis
Bangladesh University of Engineering and Technology,,,05a1qpv97,ror_id,high,false,resolved,https://openalex.org/W4386590429,Md Awsafur Rahman
Brandman University,,,013922990,ror_id,high,false,resolved,https://openalex.org/W4394597038,Sergey Sinitsa
Institut d'électronique de microélectronique et de nanotechnologie,,,02q4res37,ror_id,high,false,resolved,https://openalex.org/W4406160881,Mamadou Keïta
Université Polytechnique Hauts-de-France,,,02ezch769,ror_id,high,false,resolved,https://openalex.org/W4406160881,Mamadou Keïta
Khalifa University of Science and Technology,,,05hffr360,ror_id,high,false,resolved,https://openalex.org/W4406160881,Wassim Hamidouche
Universidad Politécnica de Madrid,,,03n6nwv02,ror_id,high,false,resolved,https://openalex.org/W4406160881,David Camacho
Sorbonne University Abu Dhabi,,,03e1ymy32,ror_id,high,false,resolved,https://openalex.org/W4406160881,Abdenour Hadid
University of Amsterdam,,,04dkp9463,ror_id,high,false,resolved,https://openalex.org/W4413144629,Efstratios Gavves
Ahsanullah University of Science and Technology,,,04wfbp123,ror_id,high,false,resolved,https://openalex.org/W4392209962,Md. Zahid Hossain
Southeast University,,,00cf0ab87,ror_id,high,false,resolved,https://openalex.org/W4392209962,Farhad Uz Zaman
Adobe Systems (United States),,,059tvcg64,ror_id,high,false,resolved,https://openalex.org/W4390189958,David C. Epstein
Amity University,,,02n9z0v62,ror_id,high,false,resolved,https://openalex.org/W4396886753,Achal Shankar Gupta
Nanjing University of Science and Technology,,,00xp9wg62,ror_id,high,false,resolved,https://openalex.org/W4391557868,Mingqian Lin
Victoria University of Wellington,,,0040r6f76,ror_id,high,false,resolved,https://openalex.org/W4391557868,Xiaoying Gao
Anhui University,,,05th6yx34,ror_id,high,false,resolved,https://openalex.org/W4405021796,Juncong Xu
National University of Singapore,,,01tgyzw49,ror_id,high,false,resolved,https://openalex.org/W4405021796,Han Fang
Lamar University,,,008ms5s18,ror_id,high,false,resolved,https://openalex.org/W4393021531,"Anjuman Ara, Md Sajadul Alam, Kamrujjaman & Afia Farjana Mifa"
Google (United States),,,00njsd438,ror_id,high,false,resolved,https://openalex.org/W4413145917,Ben Usman
Google DeepMind (United Kingdom),,,00971b260,ror_id,high,false,resolved,https://openalex.org/W4413145917,Ben Usman
Anhui Business College,,,02d0cgn19,ror_id,high,false,resolved,https://openalex.org/W4409032835,Hui Wang
Shanghai Jiao Tong University,,,0220qvk04,ror_id,high,false,resolved,https://openalex.org/W4409368310,Jianfu Zhang
Fakir Mohan University,,,00g0n6t22,ror_id,high,false,resolved,https://openalex.org/W4410228077,Jayanti Rout
Edinburgh Napier University,,,03zjvnn91,ror_id,high,false,resolved,https://openalex.org/W4407467920,Stuart Weir
Prince Mohammad bin Fahd University,,,03d64na34,ror_id,high,false,resolved,https://openalex.org/W4407467920,Jawad Ahmad
Beihang University,,,00wk2mp56,ror_id,high,false,resolved,https://openalex.org/W4411960917,Xuhui Liu
Zhejiang Sci-Tech University,,,03893we55,ror_id,high,false,resolved,https://openalex.org/W4411960917,Ziqian Lu
SRM Institute of Science and Technology,,,050113w36,ror_id,high,false,resolved,https://openalex.org/W4392457694,Mrs D. Suma
Chongqing University of Posts and Telecommunications,,,03dgaqz26,ror_id,high,false,resolved,https://openalex.org/W4413144713,Haifeng Zhang
Hong Kong Polytechnic University,,,0030zas98,ror_id,high,false,resolved,https://openalex.org/W4402917177,Zihang Lyu
University of Applied Health Sciences,,,019yxat94,ror_id,high,false,resolved,https://openalex.org/W4402240806,Adrian Lokner Lađević
University of Maribor,,,01d5jce07,ror_id,high,false,resolved,https://openalex.org/W4402240806,Dino Vlahek
University of Bologna,,,01111rn36,ror_id,high,false,resolved,https://openalex.org/W4416252067,Lorenzo Pellegrini
Ingegneria dei Trasporti (Italy),,,01fp7rv25,ror_id,high,false,resolved,https://openalex.org/W4416252067,Davide Cozzolino
Ingegneria dei Sistemi (Italy),,,03spsm219,ror_id,high,false,resolved,https://openalex.org/W4416252067,Marco Prati
Korea Advanced Institute of Science and Technology,,,05apxxy63,ror_id,high,false,resolved,https://openalex.org/W4409262730,Seoyeon Gye
University of Technology Sydney,,,03f0f6041,ror_id,high,false,resolved,https://openalex.org/W4415540724,Kuo Shi
Chinese Academy of Sciences,,,034t30j35,ror_id,high,false,resolved,https://openalex.org/W4400624794,Zheling Meng
Institute of Automation,,,022c3hy66,ror_id,high,false,resolved,https://openalex.org/W4400624794,Zheling Meng
University of Chinese Academy of Sciences,,,05qbk4x57,ror_id,high,false,resolved,https://openalex.org/W4400624794,Zheling Meng
Communication University of China,,,04facbs33,ror_id,high,false,resolved,https://openalex.org/W4400624794,Haonan Cheng
Shandong University,,,0207yh398,ror_id,high,false,resolved,https://openalex.org/W4412810251,Yupeng Zhang
University of Jinan,,,02mjz6f26,ror_id,high,false,resolved,https://openalex.org/W4412810251,Chengyou Wang
Intelligent Health (United Kingdom),,,0576zak10,ror_id,high,false,resolved,https://openalex.org/W4412810251,Chengyou Wang
Weihai Science and Technology Bureau,,,05mx4xx46,ror_id,high,false,resolved,https://openalex.org/W4412810251,Chengyou Wang
National Taiwan University of Science and Technology,,,00q09pe49,ror_id,high,false,resolved,https://openalex.org/W4408954780,Hau-Ching Chen
Sungkyunkwan University,,,04q78tk20,ror_id,high,false,resolved,https://openalex.org/W4411979370,Hyejoo Choi
University of Mumbai,,,032hdk172,ror_id,high,false,resolved,https://openalex.org/W4409362694,Dhruv Bhatada
Global University,,,04frhb927,ror_id,high,false,resolved,https://openalex.org/W7125513809,Sujal Kumar
Southeast University,,,04ct4d772,ror_id,high,false,resolved,https://openalex.org/W7160100074,H M Wang
Shenzhen University,,,01vy4gh70,ror_id,high,false,resolved,https://openalex.org/W7160100074,Yang Zhang
Yanshan University,,,02txfnf15,ror_id,high,false,resolved,https://openalex.org/W4386075954,Guanghua Gu
Signal Processing (United States),,,021gzyw51,ror_id,high,false,resolved,https://openalex.org/W4386075954,Guanghua Gu
Helmholtz Center for Information Security,,,02njgxr09,ror_id,high,false,resolved,https://openalex.org/W4388858946,Zeyang Sha
Salesforce (United States),,,057315g56,ror_id,high,false,resolved,https://openalex.org/W4388858946,Ning Yu
Singapore University of Technology and Design,,,05j6fvn87,ror_id,high,false,resolved,https://openalex.org/W4313048095,Keshigeyan Chandrasegaran
Singapore Institute of Technology,,,01v2c2791,ror_id,high,false,resolved,https://openalex.org/W4313048095,Alexander Binder
Unge aksjonærer,,,00tajj279,ror_id,high,false,resolved,https://openalex.org/W4313048095,Alexander Binder
University of Oslo,,,01xtthb56,ror_id,high,false,resolved,https://openalex.org/W4313048095,Alexander Binder
Tencent (China),,,00hhjss72,ror_id,high,false,resolved,https://openalex.org/W4402727598,Yunpeng Luo
University of Trento,,,05trd4x28,ror_id,high,false,resolved,https://openalex.org/W3010699567,"Saltori, Cristiano"
Naver (South Korea),,,04nzrnx83,ror_id,high,false,resolved,https://openalex.org/W4312710588,Yonghyun Jeong
University of Seoul,,,05en5nh73,ror_id,high,false,resolved,https://openalex.org/W4312710588,Youngmin Ro
Samsung (South Korea),,,04w3jy968,ror_id,high,false,resolved,https://openalex.org/W4312710588,Pyounggeon Kim
Samsung Pharm (South Korea),,,003eds368,ror_id,high,false,resolved,https://openalex.org/W4312710588,Pyounggeon Kim
Chung-Ang University,,,01r024a98,ror_id,high,false,resolved,https://openalex.org/W4312710588,Pyounggeon Kim
Indian Institute of Technology Patna,,,01ft5vz71,ror_id,high,false,resolved,https://openalex.org/W4394935852,Surbhi Raj
