parent_institution_id,child_institution_id,relationship_type,review_status,evidence_source,evidence_url,notes
institution:3da00d58d4c97192,institution:3be1ce40ea53f6d2,affiliated_institute,confirmed,CSIRO organizational identity,https://www.csiro.au/en/work-with-us/industries/technology/data61,Data61 is CSIRO's data and digital specialist arm; the relationship preserves both identities without merging them.
institution:3afb6cc453e0a8d9,institution:cee70184073782c7,affiliated_institute,confirmed,Official CAS institute directory,https://english.cas.cn/institutes/research_bodies/,Institute of Information Engineering is a confirmed CAS institute; hierarchy does not imply an alias or merge.
institution:3afb6cc453e0a8d9,institution:966ff12833f90bb0,affiliated_institute,confirmed,Official CAS institute directory,https://english.cas.cn/institutes/research_bodies/,Institute of Automation is a confirmed CAS institute; hierarchy does not imply an alias or merge.
institution:3afb6cc453e0a8d9,institution:e278f75918ccf8a7,affiliated_institute,confirmed,Official CAS institute directory,https://english.cas.cn/institutes/research_bodies/,Institute of Computing Technology is a confirmed CAS institute; hierarchy does not imply an alias or merge.
institution:3afb6cc453e0a8d9,institution:9dd7b58a09f6962c,affiliated_institute,confirmed,Official institution page,https://www.cair-cas.org.hk/,Hong Kong Institute of Science and Innovation is a confirmed CAS institute; hierarchy does not imply an alias or merge.
institution:e433baf78e80004b,institution:5d6887482c098264,affiliated_institute,confirmed,Institution Management,,Confirmed through the local admin institution manager.
institution:69309405e04976ec,institution:fe6f0cc7c1924a6a,affiliated_institute,confirmed,Institution Management,,Confirmed through the local admin institution manager.
institution:404cfa1ef241f359,institution:0094b55826d7cf3e,affiliated_institute,confirmed,authoritative-institution-audit,https://www.hku.hk/,Scientifically useful child research unit retained as a separate canonical node.
institution:9ab7959736f7be0d,institution:7c524d46ad18eab1,affiliated_institute,confirmed,authoritative-institution-audit,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Detecting_Compressed_AI-Generated_Images_via_Phase_Spectrum_Robustness_CVPR_2026_paper.pdf,Scientifically useful child research unit retained as a separate canonical node.
institution:9ab7959736f7be0d,institution:28d73eced8e30027,affiliated_institute,confirmed,authoritative-institution-audit,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Detecting_Compressed_AI-Generated_Images_via_Phase_Spectrum_Robustness_CVPR_2026_paper.pdf,Scientifically useful child research unit retained as a separate canonical node.
institution:bf6195b78f6dc951,institution:13bd816e4b457f40,affiliated_institute,confirmed,authoritative-institution-audit,https://pubmed.ncbi.nlm.nih.gov/42401174/,Scientifically useful child research unit retained as a separate canonical node.
