institution_id,country,old_canonical_name,proposed_english_name,final_canonical_name,official_english_evidence,source,confidence,aliases_before,aliases_added,review_required,applied,notes
institution:5dc3b0fc32168ce3,,Altınbaş University,,Altınbaş University,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:647c89e2c8a671f8,,Association Clinique et Thérapeutique Infantile du Val de Marne,,Association Clinique et Thérapeutique Infantile du Val de Marne,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:bb302a0231577b3c,,Haliç University,,Haliç University,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:5919d60e453e2459,,Kahramanmaraş Sütçü İmam University,,Kahramanmaraş Sütçü İmam University,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:f4c98270ae3164c6,,Karabük University,,Karabük University,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:66101d2ca048704e,,Technische Universität Berlin,,Technische Universität Berlin,,,review,,,true,false,Canonical name contains a local-language Latin-script cue.
institution:f29a43c08a37e42f,,Technische Universität Darmstadt,,Technische Universität Darmstadt,,,review,,,true,false,Canonical name contains a local-language Latin-script cue.
institution:4e4d723f7fa11734,,Universidad Politécnica de Madrid,,Universidad Politécnica de Madrid,,,review,,,true,false,Canonical name contains a local-language Latin-script cue.
institution:d4c5c00e6ef405e5,,University of Michigan–Flint,,University of Michigan–Flint,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:88b6a237229e50a1,,University of Žilina,,University of Žilina,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:eb0a1398c50d0281,,Université Paris-Est Créteil,,Université Paris-Est Créteil,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:cf2e81e79ecee1b8,,İstanbul Nişantaşı Üniversitesi,,İstanbul Nişantaşı Üniversitesi,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:7aae859eefe8edd1,China,Chang’an University,,Chang’an University,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:afc29be68ac419be,China,Xi’an Jiaotong University,,Xi’an Jiaotong University,,,review,Xi’an Jiaotong University,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:ef7c68d6edbab550,France,Université Grenoble Alpes,,Université Grenoble Alpes,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:daff50b65ce469a3,France,Université Paris Cité,,Université Paris Cité,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:678fbbc18157fd45,France,École Polytechnique,,École Polytechnique,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing.
institution:73bb0fe265f6e090,Germany,Friedrich-Alexander-Universität Erlangen-Nürnberg,,Friedrich-Alexander-Universität Erlangen-Nürnberg,,,review,,,true,false,Canonical name contains a local-language Latin-script cue.
institution:9e5e300bb52918ca,Israel,Technion – Israel Institute of Technology,,Technion – Israel Institute of Technology,,,review,,,true,false,Canonical name contains non-ASCII characters; confirm official English branding before changing. 1 mapping display name(s) differ from the target canonical name.
institution:1afce89cd4f3571f,Italy,Universitas Mercatorum,,Universitas Mercatorum,,,review,,,true,false,Canonical name contains a local-language Latin-script cue.
institution:91aeee1163fdce71,,A*STAR,,A*STAR,,,already_english,,,false,false,
institution:479e5a2ad13993e2,,APJ Abdul Kalam Technological University,,APJ Abdul Kalam Technological University,,,already_english,,,false,false,
institution:a3c0c022b00a11a5,,Adobe Systems (United States),,Adobe Systems (United States),,,already_english,,,false,false,
institution:6c7dc4ecc36c32ba,,"Agency for Science, Technology and Research",,"Agency for Science, Technology and Research",,,already_english,,,false,false,
institution:c04d9c3ee6b155d2,,Ahsanullah University of Science and Technology,,Ahsanullah University of Science and Technology,,,already_english,,,false,false,
institution:030ecebfe13ca82f,,Ain Shams University,,Ain Shams University,,,already_english,,,false,false,
institution:091dadcc6613c152,,Al-Azhar University,,Al-Azhar University,,,already_english,,,false,false,
institution:ed46151823d63d21,,Albany State University,,Albany State University,,,already_english,,,false,false,
institution:cc0b303e1e182195,,Alibaba Group (China),,Alibaba Group (China),,,already_english,,,false,false,
institution:1b35f3068bbd3352,,Aligarh Muslim University,,Aligarh Muslim University,,,already_english,,,false,false,
institution:8ab1276f56c9f894,,Amazon AI,,Amazon AI,,,already_english,,,false,false,
institution:75d38d0aaffc30fe,,Amazon GenAI,,Amazon GenAI,,,already_english,,,false,false,
institution:f7126dbda09b4f9a,,Amity University,,Amity University,,,already_english,,,false,false,
institution:aa230e9d21cefa3b,,Anhui Business College,,Anhui Business College,,,already_english,,,false,false,
institution:16ee891260af74c0,,Anhui University,,Anhui University,,,already_english,,,false,false,
institution:6f15f620028933fb,,Anqing Normal University,,Anqing Normal University,,,already_english,,,false,false,
institution:69d7dc38d11d5f80,,Aristotle University of Thessaloniki,,Aristotle University of Thessaloniki,,,already_english,,,false,false,
institution:583e34971c9eeb5b,,Artificial Intelligence in Medicine (Canada),,Artificial Intelligence in Medicine (Canada),,,already_english,,,false,false,
institution:fbe1022dfe93b657,,Asia University,,Asia University,,,already_english,,,false,false,
institution:080a1da6ac4d04fd,,Baidu (China),,Baidu (China),,,already_english,,,false,false,
institution:a273d5856c9d065c,,Bangladesh University of Engineering and Technology,,Bangladesh University of Engineering and Technology,,,already_english,,,false,false,
institution:13600b8b1a017cee,,Bar-Ilan University,,Bar-Ilan University,,,already_english,,,false,false,
institution:042deeccb5521315,,Bay Institute,,Bay Institute,,,already_english,,,false,false,
