title,year,doi,openalex_url,venue,authors,arxiv_id,arxiv_url,arxiv_year,match_status,title_similarity,author_overlap,match_reason,source,manual_review
Change Detection in Synthetic Aperture Radar Images Based on Deep Neural Networks,2015,10.1109/tnnls.2015.2435783,https://openalex.org/W2221448138,IEEE Transactions on Neural Networks and Learning Systems,Maoguo Gong; Jiaojiao Zhao; Jia Liu; Qiguang Miao; Licheng Jiao,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Change Detection in Synthetic Aperture Radar Images based on Image Fusion and Fuzzy Clustering,2011,10.1109/tip.2011.2170702,https://openalex.org/W1964069486,IEEE Transactions on Image Processing,Maoguo Gong; Zhiqiang Zhou; Jingjing Ma,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Tomato plant disease detection using transfer learning with C-GAN synthetic images,2021,10.1016/j.compag.2021.106279,https://openalex.org/W3173170759,Computers and Electronics in Agriculture,Amreen Abbas; Sweta Jain; Mahesh Gour; Swetha Vankudothu,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Raising the Bar of AI-generated Image Detection with CLIP,2024,10.1109/cvprw63382.2024.00439,https://openalex.org/W4402915983,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),Davide Cozzolino; Giovanni Poggi; Riccardo Corvi; Matthias Nießner; Luisa Verdoliva,2312.00195v2,https://arxiv.org/abs/2312.00195v2,2023,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2023 is diagnostic only.,arxiv_api,true
Performance Comparison and Visualization of AI-Generated-Image Detection Methods,2024,10.1109/access.2024.3394250,https://openalex.org/W4395661501,IEEE Access,Daeeol Park; Hyunsik Na; Daeseon Choi,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network,2023,10.1109/apsipaasc58517.2023.10317126,https://openalex.org/W4388820663,2023 Asia Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),Ziyi Xi; Wenmin Huang; Kangkang Wei; Weiqi Luo; Peijia Zheng,2306.07005v2,https://arxiv.org/abs/2306.07005v2,2023,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2023 is diagnostic only.,arxiv_api,true
Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2016,10.1109/tpami.2016.2577031,https://openalex.org/W639708223,IEEE Transactions on Pattern Analysis and Machine Intelligence,Shaoqing Ren; Kaiming He; Ross Girshick; Jian Sun,1506.01497v3,https://arxiv.org/abs/1506.01497v3,2015,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2015 is diagnostic only.,arxiv_api,true
DIRE for Diffusion-Generated Image Detection,2023,10.1109/iccv51070.2023.02051,https://openalex.org/W4390873235,2023 IEEE/CVF International Conference on Computer Vision (ICCV),Zhendong Wang; Jianmin Bao; Wengang Zhou; Weilun Wang; Hezhen Hu; Hong Chen; Houqiang Li,2303.09295v1,https://arxiv.org/abs/2303.09295v1,2023,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2023 is diagnostic only.,arxiv_api,true
Very Deep Convolutional Networks for Large-Scale Image Recognition,2014,10.48550/arxiv.1409.1556,https://openalex.org/W1686810756,arXiv (Cornell University),Karen Simonyan; Andrew Zisserman,1409.1556,https://arxiv.org/abs/1409.1556,2014,linked_to_arxiv,1.000,,Reused an existing valid arXiv identifier; publication year was preserved.,candidate_metadata,true
Image Selective Smoothing and Edge Detection by Nonlinear Diffusion. II,1992,10.1137/0729052,https://openalex.org/W2146052399,SIAM Journal on Numerical Analysis,Luis Álvarez; Pierre-Louis Lions; Jean‐Michel Morel,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
