candidate_id,title,year,venue,cluster,qualifying_synthetic_image_contribution,proposed_forensic_task,proposed_image_scope,proposed_research_type,saved_primary_evidence_url,saved_evidence,reconciliation_priority
audit:032ad7d6b71836a2,STD-FD: Spatio-Temporal Distribution Fitting Deviation for AIGC Forgery Identification,2025,International Conference on Machine Learning,IMAGE,"STD-FD analyzes reconstruction/distribution-fitting traces of diffusion-generated images for AIGC forgery detection. Temporal refers to diffusion steps, not video; no injected provenance is required.",detection,,method,https://proceedings.mlr.press/v267/lou25a.html,"With the rise of AIGC technologies, particularly diffusion models, highly realistic fake images that can deceive human visual perception has become feasible. Consequently, various forgery detection methods have emerged. However, existing methods treat the generation process of fake images as either a black-box or an auxiliary tool, offering limited insights into its underlying mechanisms. In this paper, we propose Spatio-Temporal Distribution Fitting Deviation (STD-FD) for AIGC forgery detection, which explores the generative process in detail. By decomposing and reconstructing data within generative diffusion models, initial experiments reveal temporal distribution fitting deviations during the image reconstruction process. These deviations are captured through reconstruction noise maps for each spatial semantic unit, derived via a super-resolution algorithm. Critical discriminative patterns, termed DFactors, are identified through statistical modeling of these deviations. Extensive experiments show that STD-FD effectively captures distribution patterns in AIGC-generated data, demonstrating strong robustness and generalizability while outperforming state-of-the-art (SOTA) methods on major datasets. The source code is available at this link.",HIGH
audit:07194f58b4540acc,TGIF2: extended text-guided inpainting forgery dataset and benchmark,2026,Journal on Information Security,IMAGE,"The title and saved opening explicitly identify a text-guided generative-inpainting forgery dataset and benchmark. Its central subject satisfies generative-edit forensics; abbreviated metadata is a later curation limitation, not an unresolved scope boundary.",detection,,benchmark,https://doi.org/10.1186/s13635-026-00235-9,"Generative AI has made text-guided inpainting a powerful image editing tool, but at the same time a growing challenge for media forensics. Existing benchma",HIGH
audit:2ec9b9251586d3bb,Vulnerabilities in AI-generated Image Detection: The Challenge of Adversarial Attacks,2024,arXiv,EVASION,FPBA evaluates adversarial vulnerability of passive AI-generated-image detectors across GAN/diffusion generators. No watermark-verification or face-only target is described.,detection,fully_generated,analysis_study,https://arxiv.org/abs/2407.20836,"Abstract: Recent advancements in image synthesis, particularly with the advent of GAN and Diffusion models, have amplified public concerns regarding the dissemination of disinformation. To address such concerns, numerous AI-generated Image (AIGI) Detectors have been proposed and achieved promising performance in identifying fake images. However, there still lacks a systematic understanding of the adversarial robustness of AIGI detectors. In this paper, we examine the vulnerability of state-of-the-art AIGI detectors against adversarial attack under white-box and black-box settings, which has been rarely investigated so far. To this end, we propose a new method to attack AIGI detectors. First, inspired by the obvious difference between real images and fake images in the frequency domain, we add perturbations under the frequency domain to push the image away from its original frequency distribution. Second, we explore the full posterior distribution of the surrogate model to further narrow this gap between heterogeneous AIGI detectors, e.g., transferring adversarial examples across CNNs and ViTs. This is achieved by introducing a novel post-train Bayesian strategy that turns a single surrogate into a Bayesian one, capable of simulating diverse victim models using one pre-trained surrogate, without the need for re-training. We name our method as Frequency-based Post-train Bayesian Attack, or FPBA. Through FPBA, we demonstrate that adversarial attacks pose a real threat to AIGI detectors. FPBA can deliver successful black-box attacks across various detectors, generators, defense methods, and even evade cross-generator and compressed image detection, which are crucial real-world detection scenarios. Our code is available at this https URL .",HIGH
audit:3e3ef129a9a7d54a,Towards Reliable Identification of Diffusion-based Image Manipulations,2026,Advances in Neural Information Processing Systems,IMAGE,"RADAR detects/localizes diffusion edits; BBC-PAIR evaluates manipulations from 28 diffusion models, including changes to gestures and backgrounds, beyond pure facial manipulation.",detection,,method,https://proceedings.neurips.cc/paper_files/paper/2025/hash/36721d1209a059dcb7a090dd543f34c4-Abstract-Conference.html,"Changing facial expressions, gestures, or background details may dramatically alter the meaning conveyed by an image. Notably, recent advances in diffusion models greatly improve the quality of image manipulation while also opening the door to misuse. Identifying changes made to authentic images, thus, becomes an important task, constantly challenged by new diffusion-based editing tools. To this end, we propose a novel approach for ReliAble iDentification of inpainted AReas (RADAR). RADAR builds on existing foundation models and combines features from different image modalities. It also incorporates an auxiliary contrastive loss that helps to isolate manipulated image patches. We demonstrate these techniques to significantly improve both the accuracy of our method and its generalisation to a large number of diffusion models. To support realistic evaluation, we further introduce BBC-PAIR, a new comprehensive benchmark, with images tampered by 28 diffusion models. Our experiments show that RADAR achieves excellent results, outperforming the state-of-the-art in detecting and localising image edits made by both seen and unseen diffusion models. Further information about our code, data and models, including separate licensing terms, will be publicly available at https://alex-costanzino.github.io/radar/.",HIGH
audit:5413d2706f713d11,Untraceable DeepFakes via Traceable Fingerprint Elimination,2026,International Conference on Learning Representations,EVASION,"The evaluated attack removes naturally occurring generated-image traces to evade source-generator attributors across 12 GMs and 6 AMs. DeepFakes in this abstract refers to generated-image source inference, not a face-swap-only task; no injected fingerprint is described.",detection,deepfake,analysis_study,https://proceedings.iclr.cc/paper_files/paper/2026/hash/8e8399e5e7aed601c9f135f40be26564-Abstract-Conference.html,"Recent advancements in DeepFakes attribution technologies have significantly enhanced forensic capabilities, enabling the extraction of traces left by generative models (GMs) in images, making DeepFakes traceable back to their source GMs. Meanwhile, several attacks have attempted to evade attribution models (AMs) for exploring their limitations, calling for more robust AMs. However, existing attacks fail to eliminate GMs' traces, thus can be mitigated by defensive measures. In this paper, we identify that untraceable DeepFakes can be achieved through a multiplicative attack, which can fundamentally eliminate GMs' traces. Therefore, by leveraging the structural prior from content-coupled fingerprints, we design a multiplicative attack framework that instills an explicit inductive bias into the adversarial model, guiding it to eliminate fingerprints within DeepFakes, thereby evading AMs even enhanced with defensive measures. This framework trains the adversarial model solely using real data, applicable for various GMs and agnostic to AMs. Experimental results demonstrate the outstanding attack capability and universal applicability of our method, achieving an average attack success rate (ASR) of 97.08\% against 6 advanced AMs across 12 GMs. Even in the presence of defensive mechanisms, our method maintains an ASR exceeding 72.39\%. Our work underscores the potential challenges posed by multiplicative attacks and highlights the need for more robust AMs.",HIGH
audit:5a3a0232762bb033,"PolyJuice Makes It Real: Black-Box, Universal Red Teaming for Synthetic Image Detectors",2026,Advances in Neural Information Processing Systems,EVASION,"PolyJuice red-teams passive synthetic-image detectors of text-to-image outputs and also improves them through fine-tuning. The target is an in-scope image detector, not a watermark.",detection,fully_generated,analysis_study,https://proceedings.neurips.cc/paper_files/paper/2025/hash/b9b228d28770dc2a18922de5cd49f1d9-Abstract-Conference.html,"Synthetic image detectors (SIDs) are a key defense against the risks posed by the growing realism of images from text-to-image (T2I) models. Red teaming improves SID’s effectiveness by identifying and exploiting their failure modes via misclassified synthetic images. However, existing red-teaming solutions (i) require white-box access to SIDs, which is infeasible for proprietary state-of-the-art detectors, and (ii) generate image-specific attacks through expensive online optimization. To address these limitations, we propose PolyJuice, the first black-box, image-agnostic red-teaming method for SIDs, based on an observed distribution shift in the T2I latent space between samples correctly and incorrectly classified by the SID. PolyJuice generates attacks by (i) identifying the direction of this shift through a lightweight offline process that only requires black-box access to the SID, and (ii) exploiting this direction by universally steering all generated images towards the SID’s failure modes. PolyJuice-steered T2I models are significantly more effective at deceiving SIDs (up to 84%) compared to their unsteered counterparts. We also show that the steering directions can be estimated efficiently at lower resolutions and transferred to higher resolutions using simple interpolation, reducing computational overhead. Finally, tuning SID models on PolyJuice-augmented datasets notably enhances the performance of the detectors (up to 30%).",HIGH
audit:6bf3721fdb65fc44,Detecting AI-Generated Forgeries via Iterative Manifold Deviation Amplification,2026,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,IMAGE,"IFA-Net explicitly reports IoU/F1 on four diffusion-based inpainting benchmarks and generalization to traditional manipulation. MAE prior injection is internal detector guidance, not a provenance signal embedded in released images.",detection,fully_generated,method,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Detecting_AI-Generated_Forgeries_via_Iterative_Manifold_Deviation_Amplification_CVPR_2026_paper.html,"The proliferation of highly realistic AI-generated images poses critical challenges for digital forensics, demanding precise pixel-level localization of manipulated regions. Existing methods predominantly learn discriminative patterns of specific forgeries, struggling with novel manipulations as editing techniques evolve. We propose the Iterative Forgery Amplifier Network (IFA-Net), which shifts from learning ""what is fake"" to modeling ""what is real"". Grounded in the principle that all manipulations deviate from the natural image manifold, IFA-Net leverages a frozen Masked Autoencoder (MAE) pretrained on real images as a universal realness prior. Our framework operates through a two-stage closed-loop process: an initial Dual-Stream Segmentation Network (DSSN) fuses the original image with MAE reconstruction residuals for coarse localization, then a Task-Adaptive Prior Injection (TAPI) module converts this coarse prediction into guiding prompts that steer the MAE decoder to amplify reconstruction failures in suspicious regions, enabling precise refinement. Extensive experiments on four diffusion-based inpainting benchmarks show that IFA-Net achieves an average improvement of 6.5% in IoU and 8.1% in F1-score over the second-best method, while demonstrating strong generalization to traditional manipulation types.",HIGH
audit:80dc647f134b129b,Scalable Black-Box Model Attribution for Images,2026,arXiv (Cornell University),ATTRIBUTION,RPA asks which generative model produced a given image and evaluates passive black-box source attribution on DRAGON and OpenFake. No active fingerprint injection is described.,source_attribution,fully_generated,method,https://arxiv.org/abs/2608.15652,"Abstract: The rapid proliferation of generative models raises the model attribution problem: given only an image, can we determine which model produced it? Existing methods have grown as elaborate as the generators they target, on the as- sumption that a more sophisticated model demands a more sophisticated attributor. We show it does not. RPA (Raw- Patch Attribution) attributes images in the strictest black- box setting with a lightweight CNN. Despite its simplicity, it attributes more models at higher accuracy than prior work, reaching 98.0% on 25-class DRAGON and 92.9% on 27- class OpenFake; it is data-efficient and runs at a cost inde- pendent of the number of candidate models; and it stays ro- bust to the compression, blur, and resizing images undergo in the wild. Training for closed-set attribution yields a ver- satile feature extractor: the same representation recovers model lineage without supervision, flags and groups unseen generators, and admits new models through few-shot adap- tation rather than retraining.",HIGH
audit:96a08f643278af6c,NeuroRenderedFake: A Challenging Benchmark to Detect Fake Images Generated by Advanced Neural Rendering Methods,2026,Advances in Neural Information Processing Systems,IMAGE,"NeuroRenderedFake independently evaluates image detectors across neural-rendering, generative and combined synthesis methods. This is image authenticity forensics, not rendering quality or video-only analysis.",detection,fully_generated,dataset | benchmark | analysis_study,https://proceedings.neurips.cc/paper_files/paper/2025/hash/56bdf726a96d43ee1e66172d14c63a61-Abstract-Datasets_and_Benchmarks_Track.html,"The remarkable progress in neural-network-driven visual data generation, especially with neural rendering techniques like Neural Radiance Fields and 3D Gaussian splatting, offers a powerful alternative to GANs and diffusion models. These methods can generate high-fidelity images and lifelike avatars, highlighting the need for robust detection methods. However, the lack of any large dataset containing images from neural rendering methods becomes a bottleneck for the detection of such sophisticated fake images. To address this limitation, we introduce NeuroRenderedFake, a comprehensive benchmark for evaluating emerging fake image detection methods. Our key contributions are threefold: (1) A large-scale dataset of fake images synthesized using state-of-the-art neural rendering techniques, significantly expanding the scope of fake image detection beyond generative models; (2) A cross-domain evaluation protocol designed to assess the domain gap and common artifacts between generative and neural rendering-based fake images; and (3) An in-depth spectral energy analysis that reveals how frequency domain characteristics influence the performance of fake image detectors. We train representative detectors, based on spatial, spectral, and multimodal architectures, on fake images generated by both generative and neural rendering models. We evaluate these detectors on 15 groups of fake images synthesized by cutting-edge neural rendering models, generative models, and combined methods that can exhibit artifacts from both domains. Additionally, we provide insightful findings through detailed experiments on degraded fake image detection and the impact of spectral features, aiming to advance research in this critical area.",HIGH
audit:a1d31a96ac288ab0,ImageTrust: Multi-backbone Fusion for AI-Generated Image Detection with Calibrated Uncertainty,2027,"International Conference on Complex, Intelligent, and Software Intensive Systems",IMAGE,ImageTrust explicitly proposes an AI-generated-image detection system with recompression robustness and calibrated uncertainty. The saved title and opening establish the central passive image-forensic task; detailed experiments remain future curation work.,detection,fully_generated,method,https://doi.org/10.1007/978-3-032-29430-2_19,"This paper proposes ImageTrust, a detection system which addresses some of the shortcomings usually associated with AI media detection, namely, poor performance after recompression and the missing calibrated uncertainty estimates along with predictions. ImageTrust...",NORMAL
