title,year,normalized_title,openalex_url,doi,author,author_position,institution,city,region,country,country_code,current_latitude,current_longitude,candidate_latitude,candidate_longitude,candidate_source,candidate_source_detail,candidate_confidence,coordinate_status,apply_status,risk_flags,notes
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Weidi Xie,7,Shanghai Jiao Tong University,Shanghai,Shanghai,China,CN,31.2,121.4242,31.2,121.4242,data/manual/institution_record_overrides.csv,data/manual/institution_record_overrides.csv,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 3. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Ouxiang Li,2,University of Science and Technology of China,Hefei,Anhui,China,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 2. | Multiple exact local coordinate matches exist for this institution name.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Yanbin Hao,4,University of Science and Technology of China,Hefei,Anhui,China,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 2. | Multiple exact local coordinate matches exist for this institution name.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Shilin Yan,1,Xiaohongshu Inc.,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Location left empty because the paper page only gives Xiaohongshu Inc.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Jiayin Cai,3,Xiaohongshu Inc.,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Location left empty because the paper page only gives Xiaohongshu Inc.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Xiaolong Jiang,5,Xiaohongshu Inc.,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Location left empty because the paper page only gives Xiaohongshu Inc.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Yao Hu,6,Xiaohongshu Inc.,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Location left empty because the paper page only gives Xiaohongshu Inc.
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,a single simple patch is all you need for ai generated image detection,https://openalex.org/W4391555851,10.48550/arxiv.2402.01123,Jiaxuan Chen,1,Nanjing University of Aeronautics and Astronautics,Nanjing,Jiangsu,China,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Multiple exact local coordinate matches exist for this institution name.
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,a single simple patch is all you need for ai generated image detection,https://openalex.org/W4391555851,10.48550/arxiv.2402.01123,Jieteng Yao,2,Shanghai Jiao Tong University,Shanghai,Shanghai,China,CN,31.2,121.4242,31.2,121.4242,data/manual/institution_record_overrides.csv,data/manual/institution_record_overrides.csv,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Lab kept only in raw_affiliation; affiliation marker 2. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,a single simple patch is all you need for ai generated image detection,https://openalex.org/W4391555851,10.48550/arxiv.2402.01123,Li Niu,3,Shanghai Jiao Tong University,Shanghai,Shanghai,China,CN,31.2,121.4242,31.2,121.4242,data/manual/institution_record_overrides.csv,data/manual/institution_record_overrides.csv,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Lab kept only in raw_affiliation; affiliation marker 2. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Advanced Detection of AI-Generated Images Through Vision Transformers,2024,advanced detection of ai generated images through vision transformers,https://openalex.org/W4405778887,10.1109/access.2024.3522759,Darshan Lamichhane,1,,,,,,,,,,,,unresolved,missing_affiliation_records,needs_manual_review,missing_affiliation_records,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. Structured institution missing; preserved raw affiliation text for manual resolution."
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Moyang Guo,1,Duke University,Durham,North Carolina,United States,US,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Multiple exact local coordinate matches exist for this institution name.
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Yuepeng Hu,2,Duke University,Durham,North Carolina,United States,US,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Multiple exact local coordinate matches exist for this institution name.
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Zhengyuan Jiang,3,Duke University,Durham,North Carolina,United States,US,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Multiple exact local coordinate matches exist for this institution name.
