title,year,expected_task,source_doc,section,in_openalex_candidate_papers,in_candidate_map,in_public_preview,in_public_preview_paper_list,covered_as_map_marker,map_record_count,missing_affiliation,missing_coordinates,missing_stage,coverage_status,recommended_action,best_openalex_title_match,best_openalex_title_score,best_public_preview_title_match,best_public_preview_title_score,best_public_preview_paper_title_match,best_public_preview_paper_title_score,notes
Does a GAN leave distinct model-specific fingerprints?,2021,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,source_suffix=BMVC 2021
Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery,2022,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,source_suffix=IJCNN 2022
Open Set Synthetic Image Source Attribution,2023,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,source_suffix=BMVC 2023
"Attributing and Detecting Fake Images Generated by Known GANs. SPW, 2020",2020,detection_and_source_attribution,Z_Update_SIA.docx,Verification | Literature summary,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,
Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,
"Fake-GPT: Detecting Fake Image via Large Language Model. PRCV, 2024",2024,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,
Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,
Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,
On the Effectiveness of Dataset Alignment for Fake Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=arXiv, 20241015"
Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=arXiv, 20241113"
Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,"source_suffix=arXiv, 20241128"
ImagiNet: A Multi-Content Dataset for Generalizable Synthetic Image Detection via Contrastive Learning,2024,detection,Z_Update_SID-2018-2025.docx,Dataset,no,no,no,no,no,0,no,no,missing_from_candidate_pool,missing_from_candidate_pool,manual_or_openalex_title_import_review,,0.000,,0.000,,0.000,auxiliary; dataset; source_suffix=arXiv 20240729
