institution_id,starting_canonical_name,starting_type,final_institution_id,final_canonical_name,final_type,final_status,name_decision,type_decision,evidence_status,evidence_url,notes
institution:c45f90fe3d40e0f7,Jilin Engineering Vocational College,university,institution:c45f90fe3d40e0f7,Jilin Engineering Vocational College,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:b85a1a866c0c7fe8,Aarhus University,university,institution:b85a1a866c0c7fe8,Aarhus University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:7a0d6a63667ac750,Adobe Research,company,institution:7a0d6a63667ac750,Adobe Research,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:e81a0314e783d8a4,"Agency for Science, Technology and Research",research_unit,institution:e81a0314e783d8a4,"Agency for Science, Technology and Research",research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:b145c3f748543038,AI Foundation and Algorithm Lab,research_unit,institution:b145c3f748543038,AI Foundation and Algorithm Lab,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:6faf58b52bec4e39,Alibaba Inc,company,institution:73f449eb6a3c05d3,Alibaba Group,company,merged,merged_duplicate,merged_duplicate,official_source_confirmed_duplicate,https://www.alibabagroup.com/en-US/about-alibaba,Alibaba Inc is a source variant of Alibaba Group.
institution:930e5c2880e11cb3,Alipurduar Government Engineering and Management College,university,institution:930e5c2880e11cb3,Alipurduar Government Engineering and Management College,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:cbc62794911ff31b,Amazon,company,institution:cbc62794911ff31b,Amazon,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:8ab1276f56c9f894,Amazon AI,company,institution:8ab1276f56c9f894,Amazon AI,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:284bfcf10a3b1ebf,Amazon Prime Video,company,institution:284bfcf10a3b1ebf,Amazon Prime Video,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:b7f49dab7bfe22c4,American International University-Bangladesh,university,institution:b7f49dab7bfe22c4,American International University-Bangladesh,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:16ee891260af74c0,Anhui University,university,institution:16ee891260af74c0,Anhui University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:6f15f620028933fb,Anqing Normal University,university,institution:6f15f620028933fb,Anqing Normal University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:5a28a1a99a417ba5,Ant Group,company,institution:5a28a1a99a417ba5,Ant Group,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:ac7aeed6b85a0a40,Arizona State University,university,institution:ac7aeed6b85a0a40,Arizona State University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:c739468458199e8c,Barisal Information Technology College,university,institution:c739468458199e8c,Barisal Information Technology College,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
