title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,primary_url,is_retracted,notes
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,yes,Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,1.030,https://openalex.org/W4409262697,https://doi.org/10.1109/wacv61041.2025.00850,,article,https://doi.org/10.1109/wacv61041.2025.00850,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,yes,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,1.030,https://openalex.org/W4415980694,https://doi.org/10.48550/arxiv.2504.03615,ArXiv.org,preprint,http://arxiv.org/abs/2504.03615,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images. 20250708,2025,no_match,,,,,,,,,,No OpenAlex search results for the generated title variants.
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,yes,AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,1.030,https://openalex.org/W4387994353,https://doi.org/10.48550/arxiv.2310.17419,arXiv (Cornell University),preprint,http://arxiv.org/abs/2310.17419,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,yes,Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,1.030,https://openalex.org/W4414631013,https://doi.org/10.48550/arxiv.2504.15470,ArXiv.org,preprint,http://arxiv.org/abs/2504.15470,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,query_failed,,,,,,,,,,OpenAlex queries failed: 'Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content': Could not fetch https://api.openalex.org/works?search=Where%E2%80%99s+the+liability+in+the+Generative+Era%3F+Recovery-based+Black-Box+Detection+of+AI-Generated+Content&sort=relevance_score%3Adesc&per-page=10: HTTP 400
Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,yes,Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,1.030,https://openalex.org/W4414902235,https://doi.org/10.48550/arxiv.2503.14905,ArXiv.org,preprint,http://arxiv.org/abs/2503.14905,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
AI-generated image detection algorithm based on classical-quantum hybrid neural network,2026,weak_match,Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next,2022,0.413,https://openalex.org/W4288039037,https://doi.org/10.1007/s10915-022-01939-z,Journal of Scientific Computing,article,https://doi.org/10.1007/s10915-022-01939-z,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,weak_match,A Comprehensive Review on 3D Object Detection and 6D Pose Estimation With Deep Learning,2021,0.453,https://openalex.org/W3200754113,https://doi.org/10.1109/access.2021.3114399,IEEE Access,review,https://doi.org/10.1109/access.2021.3114399,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,2026,weak_match,A foundation model for generalizable disease detection from retinal images,2023,0.473,https://openalex.org/W4386697749,https://doi.org/10.1038/s41586-023-06555-x,Nature,article,https://doi.org/10.1038/s41586-023-06555-x,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Transferable Dual-Domain Feature Importance Attack against AI-Generated Image Detector,2026,yes,Transferable Dual-Domain Feature Importance Attack Against AI-Generated Image Detector,2026,1.030,https://openalex.org/W7125951995,https://doi.org/10.1109/lsp.2026.3658434,IEEE Signal Processing Letters,article,https://doi.org/10.1109/lsp.2026.3658434,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,weak_match,Transformers in medical image analysis,2022,0.348,https://openalex.org/W4293163051,https://doi.org/10.1016/j.imed.2022.07.002,Intelligent Medicine,article,https://doi.org/10.1016/j.imed.2022.07.002,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Training-free Detection of Text-to-video Generations via Over-coherence,2026,weak_match,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",2022,0.430,https://openalex.org/W4206484811,https://doi.org/10.1109/access.2021.3140175,IEEE Access,article,https://doi.org/10.1109/access.2021.3140175,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
The SAFE Image Authenticity Challenge: Detecting and Localizing Partial and Fully Synthetic Manipulations,2026,weak_match,"Autonomous Vehicles: Sophisticated Attacks, Safety Issues, Challenges, Open Topics, Blockchain, and Future Directions",2023,0.437,https://openalex.org/W4385603076,https://doi.org/10.3390/jcp3030025,Journal of Cybersecurity and Privacy,article,https://doi.org/10.3390/jcp3030025,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,2026,weak_match,Electroencephalography Signal Processing: A Comprehensive Review and Analysis of Methods and Techniques,2023,0.424,https://openalex.org/W4384557778,https://doi.org/10.3390/s23146434,Sensors,review,https://doi.org/10.3390/s23146434,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
"Prompt-Engineered Detection of AI-Generated Images. New Trends in Intelligent Software Methodologies, Tools and Techniques, 2026",2026,weak_match,The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective,2023,0.409,https://openalex.org/W4386711999,https://doi.org/10.1007/s11846-023-00696-z,Review of Managerial Science,article,https://doi.org/10.1007/s11846-023-00696-z,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Localizing Perceptual Artifacts in Synthetic Images for Image Quality Assessment via Deep-Learning-Based Anomaly Detection,2026,weak_match,ECG-Image-Kit: a synthetic image generation toolbox to facilitate deep learning-based electrocardiogram digitization,2024,0.523,https://openalex.org/W4396760241,https://doi.org/10.1088/1361-6579/ad4954,Physiological Measurement,article,https://doi.org/10.1088/1361-6579/ad4954,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,2026,weak_match,A foundation model for generalizable disease detection from retinal images,2023,0.452,https://openalex.org/W4386697749,https://doi.org/10.1038/s41586-023-06555-x,Nature,article,https://doi.org/10.1038/s41586-023-06555-x,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,query_failed,,,,,,,,,,"OpenAlex queries failed: 'What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026': Could not fetch https://api.openalex.org/works?search=What+is+Real+Anymore%3F+A+Solution+to+Detect+Hyper+Realistic+AI-Generated+Imagery.+CCWC%2C+2026&sort=relevance_score%3Adesc&per-page=10: HTTP 400 | 'What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery CCWC': Could not fetch https://api.openalex.org/works?search=What+is+Real+Anymore%3F+A+Solution+to+Detect+Hyper+Realistic+AI-Generated+Imagery+CCWC&sort=relevance_score%3Adesc&per-page=10: HTTP 400"
FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection. MMM 2026,2026,no_match,,,,,,,,,,No OpenAlex search results for the generated title variants.
Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,2026,weak_match,Privacy-preserving large language models for structured medical information retrieval,2024,0.517,https://openalex.org/W4402713323,https://doi.org/10.1038/s41746-024-01233-2,npj Digital Medicine,article,https://doi.org/10.1038/s41746-024-01233-2,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,2026,weak_match,Exposing Vulnerabilities of Deepfake Detection Systems with Robust Attacks,2021,0.482,https://openalex.org/W3164267381,https://doi.org/10.1145/3464307,Digital Threats Research and Practice,article,https://doi.org/10.1145/3464307,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,yes,"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,1.030,https://openalex.org/W7164742316,https://doi.org/10.1016/j.fsisyn.2026.100704,Forensic Science International Synergy,article,https://doi.org/10.1016/j.fsisyn.2026.100704,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
