title,year,recommended_action,manual_search_status,found_doi,found_arxiv_id,found_openalex_url,notes
Scalable fine-grained generated image classification based on deep metric learning,2019,manual_or_openalex_title_import_review,todo,,,,
Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,manual_or_openalex_title_import_review,todo,,,,
Does a GAN leave distinct model-specific fingerprints?,2021,manual_or_openalex_title_import_review,todo,,,,
On attribution of deepfakes,2021,manual_or_openalex_title_import_review,todo,,,,
Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery,2022,manual_or_openalex_title_import_review,todo,,,,
Progressive Open Space Expansion for Open-Set Model Attribution,2023,manual_or_openalex_title_import_review,todo,,,,
Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,manual_or_openalex_title_import_review,todo,,,,
Open Set Synthetic Image Source Attribution,2023,manual_or_openalex_title_import_review,todo,,,,
ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,manual_or_openalex_title_import_review,todo,,,,
Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,manual_or_openalex_title_import_review,todo,,,,
Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,manual_or_openalex_title_import_review,todo,,,,
Model Synthesis for Zero-Shot Model Attribution,2025,manual_or_openalex_title_import_review,todo,,,,
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,manual_or_openalex_title_import_review,todo,,,,
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,manual_or_openalex_title_import_review,todo,,,,
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,manual_or_openalex_title_import_review,todo,,,,
FIDAVL: Fake Image Detection and Attribution using Vision-Language Model,2024,manual_or_openalex_title_import_review,todo,,,,
ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,manual_or_openalex_title_import_review,todo,,,,
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,manual_or_openalex_title_import_review,todo,,,,
How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,manual_or_openalex_title_import_review,todo,,,,
Single-Model Attribution of Generative Models Through Final-Layer Inversion,2024,manual_or_openalex_title_import_review,todo,,,,
"Attributing and Detecting Fake Images Generated by Known GANs. SPW, 2020",2020,manual_or_openalex_title_import_review,todo,,,,
Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,2024,manual_or_openalex_title_import_review,todo,,,,
FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images. 20250708,2025,manual_or_openalex_title_import_review,todo,,,,
Detecting and Simulating Artifacts in GAN Fake Images,2019,manual_or_openalex_title_import_review,todo,,,,
CNN-generated images are surprisingly easy to spot...for now,2020,manual_or_openalex_title_import_review,todo,,,,
Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,manual_or_openalex_title_import_review,todo,,,,
Fourier Spectrum Discrepancies in Deep Network Generated Images,2020,manual_or_openalex_title_import_review,todo,,,,
Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,manual_or_openalex_title_import_review,todo,,,,
Detecting Generated Images by Real Images,2022,manual_or_openalex_title_import_review,todo,,,,
BiHPF: bilateral high pass filters for robust deepfake detection,2022,manual_or_openalex_title_import_review,todo,,,,
Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,manual_or_openalex_title_import_review,todo,,,,
Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,2023,manual_or_openalex_title_import_review,todo,,,,
Exposing fake images generated by text-to-image diffusion models,2023,manual_or_openalex_title_import_review,todo,,,,
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,manual_or_openalex_title_import_review,todo,,,,
Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,manual_or_openalex_title_import_review,todo,,,,
Detecting Generated Images by Real Images Only,2023,manual_or_openalex_title_import_review,todo,,,,
"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,manual_or_openalex_title_import_review,todo,,,,
Shadows Don't Lie and Lines Can't Bend! Generative Models don't know Projective Geometry...for now,2024,manual_or_openalex_title_import_review,todo,,,,
FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,manual_or_openalex_title_import_review,todo,,,,
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,manual_or_openalex_title_import_review,todo,,,,
MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,manual_or_openalex_title_import_review,todo,,,,
Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,manual_or_openalex_title_import_review,todo,,,,
Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,manual_or_openalex_title_import_review,todo,,,,
DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,2024,manual_or_openalex_title_import_review,todo,,,,
Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,manual_or_openalex_title_import_review,todo,,,,
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2024,manual_or_openalex_title_import_review,todo,,,,
Your diffusion model is an implicit synthetic image detector,2024,manual_or_openalex_title_import_review,todo,,,,
ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,2024,manual_or_openalex_title_import_review,todo,,,,
Detecting Image Attribution for Text-to-Image Diffusion Models in RGB and Beyond,2024,manual_or_openalex_title_import_review,todo,,,,
D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,manual_or_openalex_title_import_review,todo,,,,
CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,manual_or_openalex_title_import_review,todo,,,,
Frequency Masking for Universal Deepfake Detection,2024,manual_or_openalex_title_import_review,todo,,,,
On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,manual_or_openalex_title_import_review,todo,,,,
Detecting Computer-Generated Images by Using Only Real Images,2024,manual_or_openalex_title_import_review,todo,,,,
Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,manual_or_openalex_title_import_review,todo,,,,
Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,manual_or_openalex_title_import_review,todo,,,,
Unsupervised Generative Fake Image Detector,2024,manual_or_openalex_title_import_review,todo,,,,
CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2024,manual_or_openalex_title_import_review,todo,,,,
MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,manual_or_openalex_title_import_review,todo,,,,
MDTL-NET: Computer-generated image detection based on multi-scale deep texture learning,2024,manual_or_openalex_title_import_review,todo,,,,
Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,manual_or_openalex_title_import_review,todo,,,,
Enhancing the Generalization of Synthetic Image Detection Models through the Exploration of Features in Deep Detection Models,2024,manual_or_openalex_title_import_review,todo,,,,
"Fake-GPT: Detecting Fake Image via Large Language Model. PRCV, 2024",2024,manual_or_openalex_title_import_review,todo,,,,
A guided-based approach for deepfake detection: RGB-depth integration via features fusion,2024,manual_or_openalex_title_import_review,todo,,,,
Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,2024,manual_or_openalex_title_import_review,todo,,,,
"Detecting Artificial Intelligence-Generated images via deep trace representations and interactive feature fusion Image Fusion, 2024",2024,manual_or_openalex_title_import_review,todo,,,,
Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,manual_or_openalex_title_import_review,todo,,,,
Deepfake Detection without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,2024,manual_or_openalex_title_import_review,todo,,,,
Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,2024,manual_or_openalex_title_import_review,todo,,,,
Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,2024,manual_or_openalex_title_import_review,todo,,,,
Text Modality Oriented Image Feature Extraction for Detecting Diffusion-based DeepFake,2024,manual_or_openalex_title_import_review,todo,,,,
Real-Time Deepfake Detection in the Real-World,2024,manual_or_openalex_title_import_review,todo,,,,
