candidate_id,title,outcome,paper_id,doi,arxiv_id,openalex_url,publication_type,year,venue,bibliography_status,taxonomy_status,affiliation_status,review_status,authors,version_relationship,primary_evidence,code_url,verified_affiliations,unresolved_affiliations,unassigned_authors,marker_count,tasks,image_scopes,research_types
audit:d2f5890b11ab48bf,DeCLIP: Decoding CLIP Representations for Deepfake Localization,MISSING_ADD,curated:f7adf12bdae80860a18f,10.1109/wacv61041.2025.00025,2409.08849,https://openalex.org/W4409263233,conference,2025,WACV,reviewed,reviewed,reviewed,needs_check,Stefan Smeu; Elisabeta Oneata; Dan Oneata,2024 arXiv 2409.08849 and WACV 2025 are the same work; use final WACV metadata.,https://openaccess.thecvf.com/content/WACV2025/html/Smeu_DeCLIP_Decoding_CLIP_Representations_for_Deepfake_Localization_WACV_2025_paper.html | https://openaccess.thecvf.com/content/WACV2025/papers/Smeu_DeCLIP_Decoding_CLIP_Representations_for_Deepfake_Localization_WACV_2025_paper.pdf,https://github.com/bit-ml/DeCLIP,"[{""institution"": ""Bitdefender"", ""institution_id"": ""institution:5099f96889f598c5"", ""authors"": [""Stefan Smeu"", ""Elisabeta Oneata""], ""raw_affiliation"": ""Bitdefender"", ""status"": ""active""}, {""institution"": ""University Politehnica of Bucharest"", ""institution_id"": ""institution:a6c16c22f070d803"", ""authors"": [""Dan Oneata""], ""raw_affiliation"": ""POLITEHNICA Bucharest"", ""status"": ""active""}]","[""No confirmed institutional location reused for Bitdefender; no city-center coordinate assigned."", ""No confirmed institutional location reused for University Politehnica of Bucharest; no city-center coordinate assigned.""]",,0,localization,generative_editing;deepfake,method
audit:76f06867c0e6b17e,Detective SAM: Adaptive AI-Image Forgery Localization,MISSING_ADD,curated:9a208cddb21ddfe2317a,,,,conference,2026,ICLR,reviewed,reviewed,needs_review,needs_check,Gert Lek; Nicolas Van Schaik; Chaoyi Zhu; Pin-Yu Chen; Robert Birke; Lydia Y. Chen,The ICML 2025 DIG-BUGS workshop precursor has five authors; the ICLR 2026 expanded paper adds Nicolas Van Schaik and AutoEditForge. Neither title is in the pre-task corpus; create only the final work. Do not infer a DOI/arXiv/OpenAlex ID from unrelated search results.,https://proceedings.iclr.cc/paper_files/paper/2026/hash/262dd62fd1bbb30d6a6b4d578f5e65ff-Abstract-Conference.html | https://proceedings.iclr.cc/paper_files/paper/2026/file/262dd62fd1bbb30d6a6b4d578f5e65ff-Paper-Conference.pdf,,"[{""institution"": ""University of Neuchâtel"", ""institution_id"": ""institution:a56f008e53c416d8"", ""authors"": [""Gert Lek"", ""Lydia Y. Chen""], ""raw_affiliation"": ""University of Neuchâtel"", ""status"": ""active""}, {""institution"": ""Delft University of Technology"", ""institution_id"": ""institution:0c35d84c6b0c0dfb"", ""authors"": [""Nicolas Van Schaik"", ""Chaoyi Zhu"", ""Lydia Y. Chen""], ""raw_affiliation"": ""Delft University of Technology"", ""status"": ""active""}, {""institution"": ""University of Turin"", ""institution_id"": ""institution:95c76cd34c2276d0"", ""authors"": [""Robert Birke""], ""raw_affiliation"": ""University of Turin"", ""status"": ""active""}]","[""No confirmed institutional location reused for University of Neuchâtel; no city-center coordinate assigned."", ""No confirmed institutional location reused for Delft University of Technology; no city-center coordinate assigned."", ""Canonical institution/site identity pending for IBM Research; primary author positions [4] retained without an inferred registry match."", ""No confirmed institutional location reused for University of Turin; no city-center coordinate assigned.""]",,0,localization,generative_editing,method;dataset
audit:eff7c9e8b0961396,Efficient Zero-Shot AI-Generated Image Detection,MISSING_ADD,curated:a71d70ddfa7227272ffb,,2603.21619,https://openalex.org/W7140172717,preprint,2026,arXiv,reviewed,reviewed,reviewed,needs_check,Ryosuke Sonoda; Ramya Srinivasan,One primary work; no distinct earlier publication established.,https://doi.org/10.48550/arxiv.2603.21619 | https://arxiv.org/pdf/2603.21619,,"[{""institution"": ""Fujitsu Limited"", ""institution_id"": ""institution:0da909b4402f8657"", ""authors"": [""Ryosuke Sonoda""], ""raw_affiliation"": ""Fujitsu Ltd., Japan"", ""status"": ""active""}, {""institution"": ""Fujitsu Research of America"", ""institution_id"": ""institution:19fd8d03529feb4d"", ""authors"": [""Ramya Srinivasan""], ""raw_affiliation"": ""Fujitsu Research of America, Inc., USA"", ""status"": ""active""}]","[""No confirmed institutional location reused for Fujitsu Research of America; no city-center coordinate assigned.""]",,1,detection,fully_generated,method
audit:708c69744d1ea0ed,Enabling Your Forensic Detector Know How Well It Performs on Distorted Samples,MISSING_ADD,curated:4dc0918500a96fe26b23,,,,conference,2026,ICLR,reviewed,reviewed,reviewed,needs_check,Bin Li; Haoyu Li; Haodong Li; Jiaming Zhong; Changsheng Chen; Jiangqun Ni; Bo Cao,Primary PDF explicitly includes seventh author Bo Cao; the audit metadata omitted this author. Final ICLR paper controls.,https://proceedings.iclr.cc/paper_files/paper/2026/hash/482847908fd916b5b6b9e82525c773ad-Abstract-Conference.html | https://proceedings.iclr.cc/paper_files/paper/2026/file/482847908fd916b5b6b9e82525c773ad-Paper-Conference.pdf,,"[{""institution"": ""Shenzhen University"", ""institution_id"": ""institution:ad9c8964d01f80d8"", ""authors"": [""Bin Li"", ""Haoyu Li"", ""Haodong Li"", ""Jiaming Zhong""], ""raw_affiliation"": ""Guangdong Provincial Key Laboratory of Intelligent Information Processing and Shenzhen Key Laboratory of Media Security, Shenzhen University"", ""status"": ""active""}, {""institution"": ""Shenzhen MSU-BIT University"", ""institution_id"": ""institution:11d4e5b507bbbada"", ""authors"": [""Changsheng Chen""], ""raw_affiliation"": ""Faculty of Engineering, Shenzhen MSU-BIT University"", ""status"": ""active""}, {""institution"": ""Sun Yat-sen University"", ""institution_id"": ""institution:5c85faa51cc57a24"", ""authors"": [""Jiangqun Ni""], ""raw_affiliation"": ""SUN YAT-SEN University"", ""status"": ""active""}, {""institution"": ""Smart City Research Institute of China Electronics Technology Group Corporation"", ""institution_id"": ""institution:2a8d9acc5b8879a9"", ""authors"": [""Bo Cao""], ""raw_affiliation"": ""The Smart City Research Institute of China Electronics Technology Group Corporation"", ""status"": ""active""}]","[""No confirmed institutional location reused for Smart City Research Institute of China Electronics Technology Group Corporation; no city-center coordinate assigned.""]",,3,detection,fully_generated,method
audit:8a11b03cd7f7267b,Exploring the Collaborative Advantage of Low-level Information on Generalizable AI-Generated Image Detection,MISSING_ADD,curated:aeef1407856fae4547e6,,2504.00463,,preprint,2025,arXiv,reviewed,reviewed,reviewed,reviewed,Ziyin Zhou; Ke Sun; Zhongxi Chen; Xianming Lin; Yunpeng Luo; Ke Yan; Shouhong Ding; Xiaoshuai Sun,One primary work; no distinct earlier publication established.,https://arxiv.org/abs/2504.00463 | https://arxiv.org/pdf/2504.00463,,"[{""institution"": ""Xiamen University"", ""institution_id"": ""institution:929ddef9540ec1e7"", ""authors"": [""Ziyin Zhou"", ""Ke Sun"", ""Zhongxi Chen"", ""Xianming Lin"", ""Xiaoshuai Sun""], ""raw_affiliation"": ""Key Laboratory of Multimedia Trusted Perception and Efficient Computing, Ministry of Education of China, Xiamen University"", ""status"": ""active""}, {""institution"": ""Tencent Youtu Lab"", ""institution_id"": ""institution:3e78e883c14f8bb8"", ""authors"": [""Yunpeng Luo"", ""Ke Yan"", ""Shouhong Ding""], ""raw_affiliation"": ""Tencent YouTu Lab"", ""status"": ""active""}]",[],,2,detection,fully_generated,method
audit:08beb6425ead6689,Forensic Analysis of Synthetically Generated Western Blot Images,MISSING_ADD,curated:d9ecbce63bbd80b54180,10.1109/access.2022.3179116,2112.08739,https://openalex.org/W4285176942,journal,2022,IEEE Access,reviewed,reviewed,reviewed,reviewed,Sara Mandelli; Davide Cozzolino; Edoardo Daniele Cannas; João Phillipe Cardenuto; Daniel Moreira; Paolo Bestagini; Walter Scheirer; Anderson Rocha; Luisa Verdoliva; Stefano Tubaro; Edward J. Delp,2021 arXiv is the preprint of the 2022 IEEE Access paper. Distinct from the existing 2024 Explainable Artifacts for Synthetic Western Blot Source Attribution. PDF corrects Sara Mandelli and expands middle names.,https://arxiv.org/abs/2112.08739 | https://arxiv.org/pdf/2112.08739,,"[{""institution"": ""Politecnico di Milano"", ""institution_id"": ""institution:1ee9da20656fd88b"", ""authors"": [""Sara Mandelli"", ""Edoardo Daniele Cannas"", ""Paolo Bestagini"", ""Stefano Tubaro""], ""raw_affiliation"": ""Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, 20133 Milan, Italy"", ""status"": ""active""}, {""institution"": ""University of Naples Federico II"", ""institution_id"": ""institution:d046d2c57bb3a863"", ""authors"": [""Davide Cozzolino"", ""Luisa Verdoliva""], ""raw_affiliation"": ""Dipartimento di Ingegneria Elettrica e Tecnologie dell’Informazione (Cozzolino); Dipartimento di Ingegneria Industriale (Verdoliva), University Federico II of Naples, 80125 Naples, Italy"", ""status"": ""active""}, {""institution"": ""University of Notre Dame"", ""institution_id"": ""institution:6e3493399ce76a7d"", ""authors"": [""Daniel Moreira"", ""Walter Scheirer""], ""raw_affiliation"": ""Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN 46556, USA"", ""status"": ""active""}, {""institution"": ""University of Campinas"", ""institution_id"": ""institution:f4a883f8d9615a43"", ""authors"": [""João Phillipe Cardenuto"", ""Anderson Rocha""], ""raw_affiliation"": ""Artificial Intelligence Lab, RECOD.ai, Institute of Computing, University of Campinas, Campinas 13083-970, Brazil"", ""status"": ""active""}, {""institution"": ""Purdue University"", ""institution_id"": ""institution:90b589325857dff0"", ""authors"": [""Edward J. Delp""], ""raw_affiliation"": ""School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN 47907, USA"", ""status"": ""active""}]",[],,5,detection,fully_generated,method;dataset;analysis_study
audit:98e7bf0da8264d5f,ForenX: Towards Explainable AI-Generated Image Detection with Multimodal Large Language Models,MISSING_ADD,curated:39550f4a3a14a255684a,,2508.01402,https://openalex.org/W4417098972,preprint,2025,arXiv,reviewed,reviewed,reviewed,reviewed,Chuangchuang Tan; Jinglu Wang; Xiang Ming; Renshuai Tao; Yunchao Wei; Yao Zhao; Yan Lu,"Tan et al. ForenX/ForgReason is distinct from Ji et al. similarly worded explainable detection and grounded-reasoning papers; authors, arXiv and methods differ.",https://arxiv.org/abs/2508.01402 | https://arxiv.org/pdf/2508.01402,,"[{""institution"": ""Beijing Jiaotong University"", ""institution_id"": ""institution:bf6195b78f6dc951"", ""authors"": [""Chuangchuang Tan"", ""Renshuai Tao"", ""Yunchao Wei"", ""Yao Zhao""], ""raw_affiliation"": ""Beijing Jiaotong University"", ""status"": ""active""}, {""institution"": ""Microsoft Research Asia"", ""institution_id"": ""institution:7b971ad17fd639eb"", ""authors"": [""Chuangchuang Tan"", ""Jinglu Wang"", ""Xiang Ming"", ""Yan Lu""], ""raw_affiliation"": ""Microsoft Research Asia"", ""status"": ""active""}]",[],,2,detection,fully_generated,method;dataset
audit:7f06c42f18ac0ce3,Fractal Characterization of Low-Correlation Signals in AI-Generated Image Detection,MISSING_ADD,curated:eb04aa0a684bdc34b406,,2604.17268,,preprint,2026,arXiv,reviewed,reviewed,needs_review,needs_check,Wenwei Xie; Jie Yin; Lu Ma; Xuansong Zhang; Wenjing Zhang,One primary work; no distinct earlier publication established.,https://arxiv.org/abs/2604.17268 | https://arxiv.org/pdf/2604.17268,,"[{""institution"": ""Jiangsu Police Institute"", ""institution_id"": ""institution:62a53b60ce61884a"", ""authors"": [""Jie Yin""], ""raw_affiliation"": ""Jiangsu Police Institute, Nanjing 210031, Jiangsu, China"", ""status"": ""active""}]","[""Exact corporate research sites/legal entities and campus coordinates are not established by postal city alone; preserve paper affiliation strings and leave locations pending."", ""Canonical institution/site identity pending for Trend Micro Incorporated; primary author positions [1] retained without an inferred registry match."", ""No confirmed institutional location reused for Jiangsu Police Institute; no city-center coordinate assigned."", ""Canonical institution/site identity pending for BASF Incorporated; primary author positions [3] retained without an inferred registry match."", ""Canonical institution/site identity pending for BMW Incorporated; primary author positions [4] retained without an inferred registry match."", ""Canonical institution/site identity pending for Geely Automobile Research Institute; primary author positions [5] retained without an inferred registry match.""]",,0,detection,fully_generated,method;analysis_study
audit:745a864cbd6a6efc,FUSE: Unifying Spectral and Semantic Cues for Robust AI-Generated Image Detection,MISSING_ADD,curated:48d8ffca3a1741cf11d3,10.1109/iccit68739.2025.11491327,2512.21695,https://openalex.org/W7117539155,conference,2025,ICCIT,reviewed,reviewed,reviewed,needs_check,Md. Zahid Hossain; Most. Sharmin Sultana Samu; Md. Kamrozzaman Bhuiyan; Farhad Uz Zaman; Md. Rakibul Islam,IEEE-formatted accepted manuscript explicitly names ICCIT 2025. Crossref confirms the final DOI/title/authors; DOI resolves to IEEE document 11491327 but returns empty HTTP 202. Do not merge the Bangladesh affiliation with the existing Chinese Southeast University.,https://doi.org/10.48550/arxiv.2512.21695 | https://arxiv.org/pdf/2512.21695,,"[{""institution"": ""Ahsanullah University of Science and Technology"", ""institution_id"": ""institution:c04d9c3ee6b155d2"", ""authors"": [""Md. Zahid Hossain"", ""Md. Rakibul Islam""], ""raw_affiliation"": ""Department of CSE, Ahsanullah University of Science and Technology, Dhaka-1208, Bangladesh"", ""status"": ""active""}, {""institution"": ""BRAC University"", ""institution_id"": ""institution:93b0d6dd6666e2d1"", ""authors"": [""Most. Sharmin Sultana Samu""], ""raw_affiliation"": ""Department of CSE, BRAC University, Dhaka-1212, Bangladesh"", ""status"": ""active""}, {""institution"": ""Enosis Solutions"", ""institution_id"": ""institution:e068377b0d654b7d"", ""authors"": [""Md. Kamrozzaman Bhuiyan""], ""raw_affiliation"": ""Enosis Solutions, Bangladesh"", ""status"": ""active""}, {""institution"": ""Southeast University (Bangladesh)"", ""institution_id"": ""institution:16af91b38bb67588"", ""authors"": [""Farhad Uz Zaman""], ""raw_affiliation"": ""Department of CSE, Southeast University, Dhaka-1208, Bangladesh"", ""status"": ""active""}]","[""No confirmed institutional location reused for Ahsanullah University of Science and Technology; no city-center coordinate assigned."", ""No confirmed institutional location reused for BRAC University; no city-center coordinate assigned."", ""No confirmed institutional location reused for Enosis Solutions; no city-center coordinate assigned."", ""No confirmed institutional location reused for Southeast University (Bangladesh); no city-center coordinate assigned.""]",,0,detection,fully_generated,method
audit:be26f9e744e3f708,Interpretable and Reliable Detection of AI-Generated Images via Grounded Reasoning in MLLMs,MISSING_ADD,curated:4e85e48ae9823f177aac,,2506.07045,https://openalex.org/W4417126528,preprint,2025,arXiv,reviewed,reviewed,reviewed,reviewed,Yikun Ji; Hong Yan; Jun Lan; Huijia Zhu; Weiqiang Wang; Qi Fan; Liqing Zhang; Jianfu Zhang,One primary work; no distinct earlier publication established.,https://arxiv.org/abs/2506.07045 | https://arxiv.org/pdf/2506.07045,,"[{""institution"": ""Shanghai Jiao Tong University"", ""institution_id"": ""institution:fccd5d0ac9cc52f9"", ""authors"": [""Yikun Ji"", ""Qi Fan"", ""Liqing Zhang"", ""Jianfu Zhang""], ""raw_affiliation"": ""Shanghai Jiao Tong University"", ""status"": ""active""}, {""institution"": ""Ant Group"", ""institution_id"": ""institution:5a28a1a99a417ba5"", ""authors"": [""Hong Yan"", ""Jun Lan"", ""Huijia Zhu"", ""Weiqiang Wang""], ""raw_affiliation"": ""Ant Group"", ""status"": ""active""}]",[],,2,detection;localization,fully_generated,method;dataset
audit:d7a0be175acdedc4,NTIRE 2026 Challenge on Robust AI-Generated Image Detection in the Wild,MISSING_ADD,curated:834f0ca01f478a33b278,,2604.11487,https://openalex.org/W7154376718,conference,2026,CVPR Workshops,reviewed,reviewed,needs_review,needs_check,Aleksandr Gushchin; Khaled Abud; Ekaterina Shumitskaya; Artem Filippov; Georgii Bychkov; Sergey Lavrushkin; Mikhail Erofeev; Anastasia Antsiferova; Changsheng Chen; Shunquan Tan; Radu Timofte; Dmitry Vatolin; Chuanbiao Song; Zijian Yu; Hao Tan; Jun Lan; Zhiqiang Yang; Yongwei Tang; Zhiqiang Wu; Jia Wen Seow; Hong Vin Koay; Haodong Ren; Feng Xu; Shuai Chen; Ruiyang Xia; Qi Zhang; Yaowen Xu; Zhaofan Zou; Hao Sun; Dagong Lu; Mufeng Yao; Xinlei Xu; Fei Wu; Fengjun Guo; Cong Luo; Hardik Sharma; Aashish Negi; Prateek Shaily; Jayant Kumar; Sachin Chaudhary; Akshay Dudhane; Praful Hambarde; Amit Shukla; Zhilin Tu; Fengpeng Li; Jiamin Zhang; Jianwei Fei; Kemou Li; Haiwei Wu; Bilel Benjdira; Anas M. Ali; Wadii Boulila; Chenfan Qu; Junchi Li,"Final CVPR workshop report is one work with the arXiv version, distinct from the separate face-deepfake challenge. Preserve 54 authors and section-7 superscripts rather than assigning every team affiliation to every author.",https://openaccess.thecvf.com/content/CVPR2026W/NTIRE/html/Gushchin_NTIRE_2026_Challenge_on_Robust_AI-Generated_Image_Detection_in_the_CVPRW_2026_paper.html | https://openaccess.thecvf.com/content/CVPR2026W/NTIRE/papers/Gushchin_NTIRE_2026_Challenge_on_Robust_AI-Generated_Image_Detection_in_the_CVPRW_2026_paper.pdf,,"[{""institution"": ""MSU Institute for Artificial Intelligence"", ""institution_id"": ""institution:ecd3e660c7882e0a"", ""authors"": [""Aleksandr Gushchin"", ""Khaled Abud"", ""Ekaterina Shumitskaya"", ""Georgii Bychkov"", ""Sergey Lavrushkin"", ""Anastasia Antsiferova"", ""Dmitry Vatolin""], ""raw_affiliation"": ""MSU Institute for Artificial Intelligence"", ""status"": ""active""}, {""institution"": ""Lomonosov Moscow State University"", ""institution_id"": ""institution:45763a6cc222c9e2"", ""authors"": [""Artem Filippov""], ""raw_affiliation"": ""Lomonosov Moscow State University"", ""status"": ""active""}, {""institution"": ""Shenzhen MSU-BIT University"", ""institution_id"": ""institution:11d4e5b507bbbada"", ""authors"": [""Changsheng Chen"", ""Shunquan Tan""], ""raw_affiliation"": ""Shenzhen MSU-BIT University"", ""status"": ""active""}, {""institution"": ""University of Würzburg"", ""institution_id"": ""institution:4c4124a8ec5504e3"", ""authors"": [""Radu Timofte""], ""raw_affiliation"": ""University of Würzburg"", ""status"": ""active""}, {""institution"": ""Ant Group"", ""institution_id"": ""institution:5a28a1a99a417ba5"", ""authors"": [""Chuanbiao Song"", ""Zijian Yu"", ""Hao Tan"", ""Jun Lan""], ""raw_affiliation"": ""Ant Group, China"", ""status"": ""active""}, {""institution"": ""Ant International"", ""institution_id"": ""institution:950b16918ed04f02"", ""authors"": [""Zhiqiang Yang"", ""Yongwei Tang"", ""Zhiqiang Wu"", ""Jia Wen Seow"", ""Hong Vin Koay"", ""Haodong Ren"", ""Feng Xu"", ""Shuai Chen""], ""raw_affiliation"": ""Ant International, Singapore"", ""status"": ""active""}, {""institution"": ""IntSig Information Co. Ltd"", ""institution_id"": ""institution:4be06805ebaa0400"", ""authors"": [""Dagong Lu"", ""Mufeng Yao"", ""Xinlei Xu"", ""Fei Wu"", ""Fengjun Guo""], ""raw_affiliation"": ""IntSig Information Co. Ltd, Shanghai, China"", ""status"": ""active""}, {""institution"": ""Shanghai Jiao Tong University"", ""institution_id"": ""institution:fccd5d0ac9cc52f9"", ""authors"": [""Fei Wu""], ""raw_affiliation"": ""Shanghai Jiao Tong University, Shanghai, China"", ""status"": ""active""}, {""institution"": ""Indian Institute of Technology Mandi"", ""institution_id"": ""institution:0c014e2f36e84d1b"", ""authors"": [""Hardik Sharma"", ""Aashish Negi"", ""Prateek Shaily"", ""Jayant Kumar"", ""Sachin Chaudhary"", ""Akshay Dudhane"", ""Praful Hambarde"", ""Amit Shukla""], ""raw_affiliation"": ""IIT Mandi, Reagvis Labs, Mandi, India"", ""status"": ""active""}, {""institution"": ""University of Electronic Science and Technology of China"", ""institution_id"": ""institution:5fc8d686887fa82a"", ""authors"": [""Zhilin Tu"", ""Fengpeng Li"", ""Jiamin Zhang"", ""Jianwei Fei"", ""Kemou Li"", ""Haiwei Wu""], ""raw_affiliation"": ""University of Electronic Science and Technology of China, China"", ""status"": ""active""}, {""institution"": ""Prince Sultan University"", ""institution_id"": ""institution:bf1f64410eb36483"", ""authors"": [""Bilel Benjdira"", ""Anas M. Ali"", ""Wadii Boulila""], ""raw_affiliation"": ""Prince Sultan University, Robotics and Internet-of-Things Laboratory, Riyadh, Saudi Arabia"", ""status"": ""active""}, {""institution"": ""South China University of Technology"", ""institution_id"": ""institution:3e9b289ae248f660"", ""authors"": [""Chenfan Qu""], ""raw_affiliation"": ""South China University of Technology, Guangzhou, China"", ""status"": ""active""}, {""institution"": ""Zhejiang University"", ""institution_id"": ""institution:e433baf78e80004b"", ""authors"": [""Junchi Li""], ""raw_affiliation"": ""Zhejiang University, Hangzhou, China"", ""status"": ""active""}]","[""Mikhail Erofeev is explicitly an independent researcher; no institutional relationship is assigned."", ""Cong Luo has no institutional affiliation in section 7.6; leave unresolved."", ""Authors 25-29 are labelled TeleAI-TeleGuard, China; the team-to-canonical-institution relationship is unresolved and not inferred from email addresses."", ""No confirmed institutional location reused for MSU Institute for Artificial Intelligence; no city-center coordinate assigned."", ""No confirmed institutional location reused for Lomonosov Moscow State University; no city-center coordinate assigned."", ""No confirmed institutional location reused for University of Würzburg; no city-center coordinate assigned."", ""No confirmed institutional location reused for Ant International; no city-center coordinate assigned."", ""No confirmed institutional location reused for IntSig Information Co. Ltd; no city-center coordinate assigned."", ""No confirmed institutional location reused for Prince Sultan University; no city-center coordinate assigned.""]",Mikhail Erofeev; Ruiyang Xia; Qi Zhang; Yaowen Xu; Zhaofan Zou; Hao Sun; Cong Luo,7,detection,fully_generated,dataset;benchmark
