paper_id,title,doi,previous_overall,corrected_overall,overall_changed,trigger_scope,global_reason,local_reasons,curation_status,review_status,needs_review,venue_review_required,affiliation_review_state,mapping_statuses,field_specific_overrides,unresolved_public_fields
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",10.1145/3772318.3791006,Needs review,Verified,true,local,review_status=reviewed,affiliation_review_state=unreviewed | affiliation.preliminary=true,corrected_by_admin,reviewed,false,false,unreviewed,,"{""affiliations"": {""status"": ""Needs review""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",affiliations
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,10.1109/edm69524.2026.11632103,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:b5094e3d407c63ed6f41,A Difference-in-Difference Approach to Detecting AI-Generated Images,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active|needs_review,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:4f53748fb43c13e3fc32,A Hybrid CLIP-Diffusion Architecture for Transparent Deepfake Detection and Explainability Evaluation,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:f3e1319a5e27319578cd,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,10.3390/engproc2026123032,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
arxiv:2604.16879,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,,Curated,Source metadata,true,local,no authoritative paper-level review or curation status,affiliation_review_state=curated,,,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Source metadata""}}",
curated:d1195175f50833c90a64,ADRD: Detecting Diffusion-Generated Images via Adversarial Perturbation Induced Reconstruction Discrepancy,10.1371/journal.pone.0350655,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active|excluded,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:17c17b87dfcd355ab1ba,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images from Scratch,10.1109/tifs.2026.3657841,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:27b6ffdee837c7f997f5,AEDR: Training-Free AI-Generated Image Attribution via Autoencoder Double-Reconstruction,10.1609/aaai.v40i12.37930,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:b4cb4110cc81eb9be1d7,AEGIS: A Holistic Benchmark for Evaluating Forensic Analysis of AI-Generated Academic Images,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""arXiv"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:77504e19116765d4b160,AgentFoX: LLM-Driven Agentic Multi-Expert Fusion with Explainability for AI-Generated Image Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""arXiv"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:cdbafbabadfbb462102a,Aggregating Diverse Cue Experts for AI-Generated Image Detection,10.1609/aaai.v40i11.37890,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""OpenAlex"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:211ea83fa8d41c8ec810,AI-Generated Image Detection Algorithm Based on Classical-Quantum Hybrid Neural Network,10.1007/s11432-024-4475-4,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:b08c8cdd637cf7f65d18,AI-Generated Image Detection Based on the Most Suspicious Patch,10.1007/978-981-92-1947-6_34,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:98bed92571e23d5df139,AI-Generated Image Detection: Challenges and Recent Advances,10.1007/978-3-032-11782-3_6,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:1a8e996ef9ce73efc0ef,AI-Generated Image Homology Detection,10.1007/978-981-92-2856-0_1,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active|excluded,"{""affiliations"": {""status"": ""Curated""}}",
curated:2b5013b99aa5e4de2621,All Patches Are Not Equal: Focusing on a Single Exposed Patch for AI-Generated Image Detection,10.1016/j.ipm.2026.105058,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active|excluded,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
