mapping_id,paper_id,title,year,doi,openalex_url,institution,institution_id,location_id,institution_authors,author_order,affiliation_order,raw_affiliation,openalex_institution_id,institution_city,institution_country,institution_latitude,institution_longitude,provenance_source,mapping_status,created_at,updated_at
mapping:23fa580d08b3cc08c4ab,curated:f3e1319a5e27319578cd,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,2026,10.3390/engproc2026123032,https://openalex.org/W7128592463,Complutense University of Madrid,institution:6a318a8411b5cf74,,Staycy Guevara; Ana Lucila Sandoval Orozco; Luis Javier García Villalba,,1,"Group of Analysis, Security and Systems (GASS), Department of Software Engineering and Artificial Intelligence (DISIA), Faculty of Computer Science and Engineering, Office 431,Universidad Complutense de Madrid (UCM), Calle Profesor José García Santesmases, 9, Ciudad Universitaria, 28040 Madrid, Spain",,,,,,manually_confirmed,active,2026-06-29T19:26:03Z,2026-07-17T22:10:51Z
mapping:eba5383cba0b393f06de,curated:3110ea827546b2fd78ff,"Your AI-Generated Image Detector Can Secretly Achieve SOTA Accuracy, If Calibrated",2026,10.1609/aaai.v40i14.38146,https://openalex.org/W7138134961,"Agency for Science, Technology and Research",institution:e81a0314e783d8a4,,Muli Yang; Gabriel James Goenawan; Huaiyuan Qin; Fen Fang; Ying Sun; Joo-Hwee Lim; Hongyuan Zhu,,1,,,,,,,,active,2026-06-29T19:45:40Z,2026-08-24T16:41:48Z
mapping:33734b91f46a48599ed7,curated:3110ea827546b2fd78ff,"Your AI-Generated Image Detector Can Secretly Achieve SOTA Accuracy, If Calibrated",2026,10.1609/aaai.v40i14.38146,https://openalex.org/W7138134961,Xidian University,institution:43ae05e86afd56bd,,Chenghao Xu; Yanhua Yang,,2,,,,,,,,active,2026-06-29T19:46:26Z,2026-06-29T19:46:26Z
mapping:634be31d6873f43f0e86,curated:66ea5be66b23f7db046a,人工智能生成图像检测技术综述,2026,10.11834/jig.250053,https://openalex.org/W7124700339,Fudan University,institution:baa1df7c4adddbda,,Meiling Li; Zhenxing Qian; Xinpeng Zhang,,1,"College of Computer Science and Artificial Intelligence, Fudan University Shanghai",,,,,,,active,2026-06-29T19:53:03Z,2026-06-29T22:12:23Z
mapping:701e78fa5e24e30b0aca,curated:c6bfe8f5199d1d8beb29,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,10.1109/iccvw69036.2025.00165,https://openalex.org/W7131078162,University at Buffalo,institution:612630c2527bff83,,Yu Cai; Siwei Lyu,,1,,,,,,,,active,2026-06-29T19:55:56Z,2026-06-29T19:58:22Z
mapping:7ca5a7c70f6c50177dab,curated:c6bfe8f5199d1d8beb29,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,10.1109/iccvw69036.2025.00165,https://openalex.org/W7131078162,"Institute of Information Engineering, Chinese Academy of Sciences",institution:cee70184073782c7,,Jiahe Tian; Xiaomeng Fu; Jiao Dai; Jizhong Han,,2,"Institute of Information Engineering, Chinese Academy of Sciences, China",,,,,,,active,2026-06-29T19:57:31Z,2026-07-01T06:41:24Z
mapping:2aeb918d86fd8f55bcba,curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,2025,10.1007/978-3-031-92648-8_22,https://openalex.org/W4410889859,University of Florence,institution:42fcf4ae44e1a706,,Dario Cioni; Lorenzo Seidenari,,1,University of Florence,,,,,,,active,2026-06-29T20:01:17Z,2026-06-29T20:01:17Z
mapping:a5cf4389134b2a358b83,curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,2025,10.1007/978-3-031-92648-8_22,https://openalex.org/W4410889859,"City, University of London",institution:24e78a56f93457a5,,Christos Tzelepis,,2,"City, University of London",,,,,,,active,2026-06-29T20:03:21Z,2026-06-29T20:05:06Z
mapping:434afb8aaa4ee64e222b,curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,2025,10.1007/978-3-031-92648-8_22,https://openalex.org/W4410889859,Queen Mary University of London,institution:c5eade35ea50a856,,Dario Cioni; Ioannis Patras,,3,"Queen Mary, University of London",,,,,,,active,2026-06-29T20:04:10Z,2026-06-29T20:05:33Z
mapping:2bd5d375d6e0769c233c,curated:1332f5c35b9ac943f349,FLODA: Harnessing Vision-Language Models for Deepfake Assessment,2025,10.1109/icce63647.2025.10929816,https://openalex.org/W4408861326,"Yonsei University, International Campus",institution:6e61f1cad147c313,,Seunghyeon Park,,1,"School of Integrated Technology, Yonsei University, Incheon, Republic of Korea",,,,,,,active,2026-06-29T20:07:46Z,2026-06-29T20:14:14Z
mapping:23045e7ff749c6ee30b5,curated:1332f5c35b9ac943f349,FLODA: Harnessing Vision-Language Models for Deepfake Assessment,2025,10.1109/icce63647.2025.10929816,https://openalex.org/W4408861326,Hanyang University,institution:3e2d6c20e9d268da,,Youngho Bae,,2,"Department of Data Science, Hanyang University, Seoul, Republic of Korea",,,,,,,active,2026-06-29T20:08:24Z,2026-06-29T20:08:24Z
mapping:824da221d6a0922bfb18,curated:1332f5c35b9ac943f349,FLODA: Harnessing Vision-Language Models for Deepfake Assessment,2025,10.1109/icce63647.2025.10929816,https://openalex.org/W4408861326,"Yonsei University, Sinchon Campus",institution:42992b97b8e05dd4,,Gunhui Han,,3,"Department of Mechanical Engineering, Yonsei University, Seoul, Republic of Korea",,,,,,,active,2026-06-29T20:09:04Z,2026-06-29T20:14:38Z
mapping:b6eb27a2e93b7c15058d,curated:1332f5c35b9ac943f349,FLODA: Harnessing Vision-Language Models for Deepfake Assessment,2025,10.1109/icce63647.2025.10929816,https://openalex.org/W4408861326,University of Toronto,institution:6a892bbe4ee57122,,Alexander W. Olson,,4,"Centre for Analytics and Artificial Intelligence Engineering, University of Toronto, Toronto, Canada",,,,,,,active,2026-06-29T20:09:29Z,2026-06-29T20:09:29Z
mapping:b67ea7c34b2dfa2718aa,curated:0849228c52c5759845c2,FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images,2025,10.48550/arxiv.2507.02995,https://openalex.org/W4415162360,"University of California, Berkeley",institution:be74dcf5d0cb77ea,,Guang Yang,,1,,,,,,,,active,2026-06-29T20:20:58Z,2026-06-29T20:20:58Z
mapping:1bbec24fe0713dd3659e,curated:47b576be1ed7e2a6bfed,"Fully AI-Generated Image Detection: Definition, Recent Advances and Challenges",2025,10.48550/arxiv.2502.19716,https://openalex.org/W4416149370,Zhejiang University,institution:e433baf78e80004b,,Qijie Xu; Can Wang; Jiawei Chen,,1,"State Key Laboratory of Blockchain and Data Security, Zhejiang University, Hangzhou, China",,,,,,,active,2026-06-29T20:22:34Z,2026-06-29T20:22:34Z
mapping:f0e2f2168269097e8170,curated:47b576be1ed7e2a6bfed,"Fully AI-Generated Image Detection: Definition, Recent Advances and Challenges",2025,10.48550/arxiv.2502.19716,https://openalex.org/W4416149370,Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security,institution:91e76fe32279c58d,,Qijie Xu; Can Wang; Jiawei Chen,,2,"Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security, Hangzhou, China",,,,,,,active,2026-06-29T20:23:05Z,2026-06-29T20:23:05Z
mapping:6605eb8d4eabbe32a5ad,curated:47b576be1ed7e2a6bfed,"Fully AI-Generated Image Detection: Definition, Recent Advances and Challenges",2025,10.48550/arxiv.2502.19716,https://openalex.org/W4416149370,University at Buffalo,institution:612630c2527bff83,,Siwei Lyu; Defang Chen,,3,"Institute for Artificial Intelligence and Data Science, University at Buffalo, State University of New York, Buffalo, USA",,,,,,,active,2026-06-29T20:23:36Z,2026-06-29T20:23:36Z
