title,year,normalized_title,openalex_url,doi,author,author_position,raw_affiliation,institution,city,region,country,country_code,latitude,longitude,institution_source,confidence,needs_manual_review,notes
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Tianyun Yang,1,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Juan Cao,2,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,"Sheng, Qiang",3,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Lei Li,4,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Jiaqi Ji,5,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Xirong Li,6,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Learning to disentangle gan fingerprint for fake image attribution,2021,learning to disentangle gan fingerprint for fake image attribution,https://openalex.org/W3169220064,10.48550/arxiv.2106.08749,Sheng Tang,7,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Chen Chen,1,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Lingjuan Lyu,2,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Shiqing Ma,3,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Zhenting Wang,4,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Yi Zeng,5,,,,,,,,,,unresolved,yes,Local candidate metadata supplies paper/author identity but no affiliation or institution evidence; needs_check.
