title,year,openalex_url,doi,best_match_title,best_match_year,similarity,publication_venue,publication_type,primary_url,preliminary_task,preliminary_subtask,import_status,notes
"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,https://openalex.org/W7131430408,https://doi.org/10.1109/ccwc67433.2026.11393845,What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery,2026,0.970,,article,https://doi.org/10.1109/ccwc67433.2026.11393845,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2025,https://openalex.org/W4387994353,https://doi.org/10.48550/arxiv.2310.17419,AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,1.000,arXiv (Cornell University),preprint,http://arxiv.org/abs/2310.17419,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
Are GAN generated images easy to detect? A critical analysis of the state-of-the-art,2025,https://openalex.org/W3149674875,https://doi.org/10.1109/icme51207.2021.9428429,Are GAN Generated Images Easy to Detect? A Critical Analysis of the State-Of-The-Art,2021,1.000,,preprint,https://doi.org/10.1109/icme51207.2021.9428429,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
"Art or Artifact? Segmenting AI-Generated Images for Deeper Detection. WDC, 2025",2025,https://openalex.org/W4411979039,https://doi.org/10.1145/3709022.3736544,Art or Artifact? Segmenting AI-Generated Images for Deeper Detection,2025,0.967,,article,https://doi.org/10.1145/3709022.3736544,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,https://openalex.org/W4411378016,https://doi.org/10.1145/3733102.3733138,Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,1.030,,article,https://doi.org/10.1145/3733102.3733138,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,https://openalex.org/W4413155783,https://doi.org/10.1109/cvpr52734.2025.00772,Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,1.030,,article,https://doi.org/10.1109/cvpr52734.2025.00772,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,https://openalex.org/W4409917780,https://doi.org/10.1109/wacvw65960.2025.00087,Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,1.030,,article,https://doi.org/10.1109/wacvw65960.2025.00087,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2025,https://openalex.org/W4410888267,https://doi.org/10.1007/978-3-031-92648-8_24,Evolution of Detection Performance Throughout the Online Lifespan of Synthetic Images,2025,1.030,Lecture notes in computer science,book-chapter,https://doi.org/10.1007/978-3-031-92648-8_24,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
Fixed-Threshold Evaluation of a Hybrid CNN–ViT for AI-Generated Image Detection Across Photos and Art,2025,https://openalex.org/W7117537373,https://doi.org/10.48550/arxiv.2512.21512,Fixed-Threshold Evaluation of a Hybrid CNN-ViT for AI-Generated Image Detection Across Photos and Art,2025,1.030,arXiv (Cornell University),preprint,https://doi.org/10.48550/arxiv.2512.21512,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,https://openalex.org/W4416610205,https://doi.org/10.48550/arxiv.2505.23192,Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2505.23192,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,https://openalex.org/W4417093490,https://doi.org/10.48550/arxiv.2505.11003,ForensicHub: A Unified Benchmark &amp; Codebase for All-Domain Fake Image Detection and Localization,2025,1.009,ArXiv.org,preprint,http://arxiv.org/abs/2505.11003,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,https://openalex.org/W4414970554,https://doi.org/10.48550/arxiv.2510.03840,Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2510.03840,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
