candidate_id,canonical_title,year,venue,doi,arxiv_id,openalex_id,primary_evidence_url,primary_policy_cluster,previous_provisional_outcome,policy_outcome,primary_exclusion_reason,approved_policy_ids,mechanism_assessment,policy_rationale,evidence_review_question,manual_review,independent_passive_exception_verified,evidence_basis,scope_evidence,original_audit_status
audit:01b05b2bc014eb90,PlugMark: A Plug-in Zero-Watermarking Framework for Diffusion Models,2025,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,,https://openaccess.thecvf.com/content/ICCV2025/html/Chen_PlugMark_A_Plug-in_Zero-Watermarking_Framework_for_Diffusion_Models_ICCV_2025_paper.html,PROTECT,LIKELY_EXCLUDE,POLICY_EXCLUDE,PROTECTION_GOVERNANCE,P1;P5,PROTECTION_ONLY,"The central target is model/content ownership, prevention or governance, rather than passive synthetic-image Detection, Source Attribution or Localization.",,false,false,saved primary abstract/summary and original inventory; no new literature search,"Diffusion models have significantly advanced the field of image synthesis, making the protection of their intellectual property (IP) a critical concern. Existing IP protection methods primarily focus on embedding watermarks into generated images by altering the structure of the diffusion process. However, these approaches inevitably compromise the quality of the generated images and are particularly vulnerable to fine-tuning attacks, especially for open-source models such as Stable Diffusion (SD). In this paper, we propose PlugMark, a novel plug-in zero-watermarking framework for diffusion models. The core idea of PlugMark is based on two observations: a classifier can be uniquely characterized by its decision boundaries, and a diffusion model can be uniquely represented by the knowledge acquired from training data.Building on this foundation, we introduce a diffusion knowledge extractor that can be plugged into a diffusion model to extract its knowledge and output a classification result. PlugMark subsequently generates boundary representations based on this classification result, serving as a zero-distortion watermark that uniquely represents the decision boundaries and, by extension, the knowledge of the diffusion model. Since only the extractor requires training, the performance of the original diffusion model remains unaffected.Extensive experimental results demonstrate that PlugMark can robustly extract high-confidence zero-watermarks from both the original model and its post-processed versions while effectively distinguishing them from non-post-processed diffusion models.",CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
audit:032ad7d6b71836a2,STD-FD: Spatio-Temporal Distribution Fitting Deviation for AIGC Forgery Identification,2025,International Conference on Machine Learning,,,,https://proceedings.mlr.press/v267/lou25a.html,IMAGE,LIKELY_INCLUDE,POLICY_INCLUDE,,P3;P7;P8,PASSIVE,"STD-FD analyzes reconstruction/distribution-fitting traces of diffusion-generated images for AIGC forgery detection. Temporal refers to diffusion steps, not video; no injected provenance is required.",,false,false,saved primary abstract/summary and original inventory; no new literature search,"With the rise of AIGC technologies, particularly diffusion models, highly realistic fake images that can deceive human visual perception has become feasible. Consequently, various forgery detection methods have emerged. However, existing methods treat the generation process of fake images as either a black-box or an auxiliary tool, offering limited insights into its underlying mechanisms. In this paper, we propose Spatio-Temporal Distribution Fitting Deviation (STD-FD) for AIGC forgery detection, which explores the generative process in detail. By decomposing and reconstructing data within generative diffusion models, initial experiments reveal temporal distribution fitting deviations during the image reconstruction process. These deviations are captured through reconstruction noise maps for each spatial semantic unit, derived via a super-resolution algorithm. Critical discriminative patterns, termed DFactors, are identified through statistical modeling of these deviations. Extensive experiments show that STD-FD effectively captures distribution patterns in AIGC-generated data, demonstrating strong robustness and generalizability while outperforming state-of-the-art (SOTA) methods on major datasets. The source code is available at this link.",CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
audit:03989fcdc1f35433,"Position: Data Authenticity, Consent, & Provenance for AI are all broken: what will it take to fix them?",2024,International Conference on Machine Learning,,,,https://proceedings.mlr.press/v235/longpre24b.html,PROTECT,LIKELY_EXCLUDE,POLICY_EXCLUDE,PROTECTION_GOVERNANCE,P1;P5,PROTECTION_ONLY,"The central target is model/content ownership, prevention or governance, rather than passive synthetic-image Detection, Source Attribution or Localization.",,false,false,saved primary abstract/summary and original inventory; no new literature search,"New capabilities in foundation models are owed in large part to massive, widely-sourced, and under-documented training data collections. Existing practices in data collection have led to challenges in tracing authenticity, verifying consent, preserving privacy, addressing representation and bias, respecting copyright, and overall developing ethical and trustworthy foundation models. In response, regulation is emphasizing the need for training data transparency to understand foundation models’ limitations. Based on a large-scale analysis of the foundation model training data landscape and existing solutions, we identify the missing infrastructure to facilitate responsible foundation model development practices. We examine the current shortcomings of common tools for tracing data authenticity, consent, and documentation, and outline how policymakers, developers, and data creators can facilitate responsible foundation model development by adopting universal data provenance standards.",CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
audit:043066940501b9cf,Watermark-based Attribution of AI-Generated Content,2026,International Conference on Learning Representations,,,,https://proceedings.iclr.cc/paper_files/paper/2026/hash/ad77a15531fbccefa8be5e434b4b7908-Abstract-Conference.html,EMBED,LIKELY_EXCLUDE,POLICY_EXCLUDE,WATERMARK_ACTIVE_PROVENANCE,P1,PROVENANCE_DEPENDENT,"The primary contribution constructs, recovers, authenticates or attacks a deliberate provenance/watermark mechanism. Under approved Policy A, detection/robustness metrics do not qualify it; no separable independently evaluated passive method is established.",,false,false,saved primary abstract/summary and original inventory; no new literature search,"Several companies have deployed watermark-based detection to identify AI-generated content. However, attribution--the ability to trace back to the user of a generative AI (GenAI) service who created the given AI-generated content--remains largely unexplored despite its growing importance. In this work, we aim to bridge this gap by conducting the first systematic study on watermark-based, user-level attribution of AI-generated content. Our key idea is to assign a unique watermark to each user of the GenAI service and embed this watermark into the AI-generated content created by that user. Attribution is then performed by identifying the user whose watermark best matches the one extracted from the given content. This approach, however, faces a key challenge: How should watermarks be selected for users to maximize attribution performance? To address the challenge, we first theoretically derive lower bounds on detection and attribution performance through rigorous probabilistic analysis for any given set of user watermarks. Then, we select watermarks for users to maximize these lower bounds, thereby optimizing detection and attribution performance. Our theoretical and empirical results show that watermark-based attribution inherits both the accuracy and (non-)robustness properties of the underlying watermark. Specifically, attribution remains highly accurate when the watermarked AI-generated content is either not post-processed or subjected to common post-processing such as JPEG compression, as well as black-box adversarial post-processing with limited query budgets.",CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
audit:047b19fc2f05aeb1,GROW: Watermark Generation with Progressive Guidance for Diffusion Models,2026,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Luo_GROW_Watermark_Generation_with_Progressive_Guidance_for_Diffusion_Models_CVPR_2026_paper.html,EMBED,LIKELY_EXCLUDE,POLICY_EXCLUDE,WATERMARK_ACTIVE_PROVENANCE,P1,PROVENANCE_DEPENDENT,"The primary contribution constructs, recovers, authenticates or attacks a deliberate provenance/watermark mechanism. Under approved Policy A, detection/robustness metrics do not qualify it; no separable independently evaluated passive method is established.",,false,false,saved primary abstract/summary and original inventory; no new literature search,"Digital watermarking is a cornerstone for copyright protection. With the rapid advancement of generative models like diffusion models, in-generation and training-free watermarking techniques have garnered more attention for their endogeneity and convenience. These methods typically embed a watermark into the initial noise, where watermark extraction relies on Denoising Diffusion Implicit Models (DDIM) inversion. However, the computationally intensive extraction process severely hinders their path toward practical deployment. To overcome this critical bottleneck, we propose GROW, a novel training-free paradigm that reframes watermarking from a one-shot ""embedding"" to a progressive ""growth"". By progressively guiding using frequency-domain gradients, GROW naturally weaves the watermark into the image, which enables inversion-free extraction. Comprehensive experiments on multiple datasets show that GROW not only achieves superior robustness and imperceptibility but also offers a detection speed nearly 100x faster than inversion-based techniques. The code will be made publicly available.",CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
audit:07194f58b4540acc,TGIF2: extended text-guided inpainting forgery dataset and benchmark,2026,Journal on Information Security,10.1186/s13635-026-00235-9,,w7148177806 | w7153215624,https://doi.org/10.1186/s13635-026-00235-9,IMAGE,PAPER_SPECIFIC_REVIEW,POLICY_INCLUDE,,P3;P7;P8,PASSIVE,"The title and saved opening explicitly identify a text-guided generative-inpainting forgery dataset and benchmark. Its central subject satisfies generative-edit forensics; abbreviated metadata is a later curation limitation, not an unresolved scope boundary.",,false,false,saved primary abstract/summary and original inventory; no new literature search,"Generative AI has made text-guided inpainting a powerful image editing tool, but at the same time a growing challenge for media forensics. Existing benchma",CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
audit:0799f182cbe4cfc0,Texture Shape and Order Matter: A New Transformer Design for Sequential DeepFake Detection,2025,Proceedings of the Winter Conference on Applications of Computer Vision,,,,https://openaccess.thecvf.com/content/WACV2025/html/Li_Texture_Shape_and_Order_Matter_A_New_Transformer_Design_for_WACV_2025_paper.html,FACE,USER_POLICY_DECISION_REQUIRED,POLICY_EXCLUDE,PURE_DEEPFAKE_FACE_ONLY,P2,FACE_FORENSICS,"The saved contribution is face/deepfake forensics, without an established substantive broader synthetic-image component. Image/frame operation, GAN/diffusion face synthesis, generalization or explanation do not override the approved pure-deepfake exclusion.",,false,false,saved primary abstract/summary and original inventory; no new literature search,Sequential DeepFake detection is an emerging task that predicts the manipulation sequence in order. Existing methods typically formulate it as an image-to-sequence problem employing conventional Transformer architectures. However these methods lack dedicated design and consequently result in limited performance. As such this paper describes a new Transformer design called TSOM by exploring three perspectives: Texture Shape and Order of Manipulations. Our method features four major improvements: we describe a new texture-aware branch that effectively captures subtle manipulation traces with a Diversiform Pixel Difference Attention module. Then we introduce a Multi-source Cross-attention module to seek deep correlations among spatial and sequential features enabling effective modeling of complex manipulation traces. To further enhance the cross-attention we describe a Shape-guided Gaussian mapping strategy providing initial priors of the manipulation shape. Finally observing that the subsequent manipulation in a sequence may influence traces left in the preceding one we intriguingly invert the prediction order from forward to backward leading to notable gains as expected. Extensive experimental results demonstrate that our method outperforms others by a large margin highlighting the superiority of our method.,CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
audit:07f15e7e8a78398a,Riemannian-Geometric Fingerprints of Generative Models,2025,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,,https://openaccess.thecvf.com/content/ICCV2025/html/Song_Riemannian-Geometric_Fingerprints_of_Generative_Models_ICCV_2025_paper.html,ATTRIBUTION,PAPER_SPECIFIC_REVIEW,PAPER_SPECIFIC_EVIDENCE_REQUIRED,,P5;P2,UNVERIFIED,"Saved evidence does not establish the required substantive generative-image component; this is an evidence gap under the approved rule, not an unresolved user policy.","Does the evaluated Riemannian fingerprint infer a generator/source from encountered generated images using naturally occurring traces, rather than only authenticating a model service or its parameters?",true,false,saved primary abstract/summary and original inventory; no new literature search,"Recent breakthroughs and rapid integration of generative models (GMs) have sparked interest in the problem of model attribution and their fingerprints. For instance, service providers need reliable methods of authenticating their models to protect their IP, while users and law enforcement seek to verify the source of generated content for accountability and trust. In addition, a growing threat of model collapse is arising, as more model-generated data are being fed back into sources (e.g., YouTube) that are often harvested for training (""regurgitative training""), heightening the need to differentiate synthetic from human data. Yet, a gap still exists in understanding generative models' fingerprints, we believe, stemming from the lack of a formal framework that can define, represent, and analyze the fingerprints in a principled way. To address this gap, we take a geometric approach and propose a new definition of artifact and fingerprint of generative models using Riemannian geometry, which allows us to leverage the rich theory of differential geometry. Our new definition generalizes previous work (Song et al, 2024) to non-Euclidean manifolds by learning Riemannian metrics from data and replacing the Euclidean distances and nearest-neighbor search with geodesic distances and kNN-based Riemannian center of mass. We apply our theory to a new gradient-based algorithm for computing the fingerprints in practice. Results show that it is more effective in distinguishing a large array of generative models, spanning across 4 different datasets in 2 different resolutions (64x64, 256x256), 27 model architectures, and 2 modalities (Vision, Vision-Language). Using our proposed definition can significantly improve the performance on model attribution, as well as a generalization to unseen datasets, model types, and modalities, suggesting its efficacy in practice.",CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
audit:0847e682e96c182c,Tutor-Student Reinforcement Learning: A Dynamic Curriculum for Robust Deepfake Detection,2026,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,https://openaccess.thecvf.com/content/CVPR2026/html/Lei_Tutor-Student_Reinforcement_Learning_A_Dynamic_Curriculum_for_Robust_Deepfake_Detection_CVPR_2026_paper.html,FACE,USER_POLICY_DECISION_REQUIRED,POLICY_EXCLUDE,PURE_DEEPFAKE_FACE_ONLY,P2,FACE_FORENSICS,"The saved contribution is face/deepfake forensics, without an established substantive broader synthetic-image component. Image/frame operation, GAN/diffusion face synthesis, generalization or explanation do not override the approved pure-deepfake exclusion.",,false,false,saved primary abstract/summary and original inventory; no new literature search,"Standard supervised training for deepfake detection treats all samples with uniform importance, which can be suboptimal for learning robust and generalizable features. In this work, we propose a novel Tutor-Student Reinforcement Learning (TSRL) framework to dynamically optimize the training curriculum. Our method models the training process as a Markov Decision Process where a ""Tutor"" agent learns to guide a ""Student"" (the deepfake detector). The Tutor, implemented as a Proximal Policy Optimization (PPO) agent, observes a rich state representation for each training sample, encapsulating not only its visual features but also its historical learning dynamics, such as EMA loss and forgetting counts. Based on this state, the Tutor takes an action by assigning a continuous weight (0-1) to the sample's loss, thereby dynamically re-weighting the training batch. The Tutor is rewarded based on the Student's immediate performance change, specifically rewarding transitions from incorrect to correct predictions. This strategy encourages the Tutor to learn a curriculum that prioritizes high-value samples, such as hard-but-learnable examples, leading to a more efficient and effective training process. We demonstrate that this adaptive curriculum improves the Student's generalization capabilities against unseen manipulation techniques compared to traditional training methods. Code is available at https://github.com/wannac1/TSRL",CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
audit:09d9a70b11aa1641,AuthGuard: Generalizable Deepfake Detection via Language Guidance,2026,Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision,,,,https://openaccess.thecvf.com/content/WACV2026/html/Shen_AuthGuard_Generalizable_Deepfake_Detection_via_Language_Guidance_WACV_2026_paper.html,FACE,USER_POLICY_DECISION_REQUIRED,POLICY_EXCLUDE,PURE_DEEPFAKE_FACE_ONLY,P2,FACE_FORENSICS,"The saved contribution is face/deepfake forensics, without an established substantive broader synthetic-image component. Image/frame operation, GAN/diffusion face synthesis, generalization or explanation do not override the approved pure-deepfake exclusion.",,false,false,saved primary abstract/summary and original inventory; no new literature search,"Existing deepfake detection techniques struggle to keep-up with the ever-evolving novel, unseen forgeries methods. This limitation stems from their reliance on statistical artifacts learned during training, which are often tied to specific generation processes that may not be representative of samples from new, unseen deepfake generation methods encountered at test time. We propose that incorporating language guidance can improve deepfake detection generalization by integrating human-like commonsense reasoning -- such as recognizing logical inconsistencies and perceptual anomalies -- alongside statistical cues. To achieve this, we train an expert deepfake vision encoder by combining discriminative classification with image-text contrastive learning, where the text is generated by generalist MLLMs using few-shot prompting. This allows the encoder to extract both language-describable, commonsense deepfake artifacts and statistical forgery artifacts from pixel-level distributions. To further enhance robustness, we integrate data uncertainty learning into vision-language contrastive learning, mitigating noise in image-text supervision. Our expert vision encoder seamlessly interfaces with an LLM, further enabling more generalized and interpretable deepfake detection while also boosting accuracy. The resulting framework, AuthGuard, achieves state-of-the-art deepfake detection accuracy in both in-distribution and out-of-distribution settings, achieving AUC gains of 6.15% on the DFDC dataset and 16.68% on the DF40 dataset. Additionally, AuthGuard significantly enhances deepfake reasoning, improving performance by 24.69% on the DDVQA dataset.",CANDIDATE_ADD_NEEDS_SCOPE_REVIEW
