paper_id,title,field,authoritative_source,canonical_normalization_rule,expected_public_representation,blank_allowed,intentional_display_transformation,source_value,admin_value,public_papers_value,public_map_values,classification,pipeline_layer,details
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",paper_id,data/curated/papers.csv + normalized exporter overlays,trim; exact stable ID,paper_id when locally curated; external identity otherwise,true,not reconstructed for display,curated:75cbd31c9946c7eb7977,curated:75cbd31c9946c7eb7977,curated:75cbd31c9946c7eb7977,"[""curated:75cbd31c9946c7eb7977""]",CONSISTENT,,
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",title,data/curated/papers.csv + normalized exporter overlays,Unicode NFKC; collapse whitespace,canonical title string,false,typographic markup only,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation","""that's another doom i haven't thought about"": a user study on ai labels as a safeguard against image-based misinformation","""that's another doom i haven't thought about"": a user study on ai labels as a safeguard against image-based misinformation","[""\""that's another doom i haven't thought about\"": a user study on ai labels as a safeguard against image-based misinformation""]",DISPLAY_ONLY,public→frontend/CSV,typographic markup only
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",authors,data/curated/papers.csv + normalized exporter overlays,ordered Unicode-normalized names,ordered author objects/names,false,joined with punctuation and affiliation superscripts,Sandra Höltervennhoff; Jonas Ricker; Maike M. Raphael; Charlotte Schwedes; Rebecca Weil; Asja Fischer; Thorsten Holz; Lea Schönherr; Sascha Fahl,"[""sandra höltervennhoff"",""jonas ricker"",""maike m. raphael"",""charlotte schwedes"",""rebecca weil"",""asja fischer"",""thorsten holz"",""lea schönherr"",""sascha fahl""]","[""sandra höltervennhoff"",""jonas ricker"",""maike m. raphael"",""charlotte schwedes"",""rebecca weil"",""asja fischer"",""thorsten holz"",""lea schönherr"",""sascha fahl""]","[""[\""sandra höltervennhoff\"",\""jonas ricker\"",\""maike m. raphael\"",\""charlotte schwedes\"",\""rebecca weil\"",\""asja fischer\"",\""thorsten holz\"",\""lea schönherr\"",\""sascha fahl\""]""]",DISPLAY_ONLY,public→frontend/CSV,joined with punctuation and affiliation superscripts
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",publication_year,data/curated/papers.csv + normalized exporter overlays,integer year,publication_year and year agree,false,decimal year label,2026,2026,2026,"[""2026""]",DISPLAY_ONLY,public→frontend/CSV,decimal year label
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",publication_date,data/curated/papers.csv + normalized exporter overlays,ISO date string,publication_date,true,display may omit missing date,,2026-04-13,2026-04-13,"[""2026-04-13""]",DISPLAY_ONLY,public→frontend/CSV,display may omit missing date
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",venue,data/curated/papers.csv + normalized exporter overlays,canonical venue name; blank for books,venue_name/venue,true,venue_label may add acronym/track,CHI Conference on Human Factors in Computing Systems,chi conference on human factors in computing systems,chi conference on human factors in computing systems,"[""chi conference on human factors in computing systems""]",DISPLAY_ONLY,public→frontend/CSV,venue_label may add acronym/track
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",publication_type,data/curated/papers.csv + normalized exporter overlays,conference|journal|preprint|book,publication_type,false,title-cased label,conference,conference,conference,"[""conference""]",CONSISTENT,,
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",doi,data/curated/papers.csv + normalized exporter overlays,canonical lowercase DOI without URL prefix,doi,true,link is rendered as https://doi.org/<doi>,https://doi.org/10.1145/3772318.3791006,10.1145/3772318.3791006,10.1145/3772318.3791006,"[""10.1145/3772318.3791006""]",DISPLAY_ONLY,public→frontend/CSV,link is rendered as https://doi.org/<doi>
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",arxiv_id,data/curated/papers.csv + normalized exporter overlays,base arXiv ID without URL/version suffix,arxiv_id,true,link is rendered as https://arxiv.org/abs/<id>,2505.22845,2505.22845,2505.22845,"[""2505.22845""]",DISPLAY_ONLY,public→frontend/CSV,link is rendered as https://arxiv.org/abs/<id>
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",task,data/curated/papers.csv + normalized exporter overlays,canonical task enum,task,false,human-readable label,detection,detection,detection,"[""detection""]",DISPLAY_ONLY,public→frontend/CSV,human-readable label
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",paper_categories,data/curated/papers.csv + normalized exporter overlays,ordered canonical category enum,paper_categories,true,human-readable badges,"[""analysis""]","[""analysis""]","[""analysis""]","[""[\""analysis\""]""]",DISPLAY_ONLY,public→frontend/CSV,human-readable badges
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",source_database,data/curated/papers.csv + normalized exporter overlays,case-insensitive source label,source_database,true,not used to replace factual metadata,openalex,openalex,openalex,"[""openalex""]",DISPLAY_ONLY,public→frontend/CSV,not used to replace factual metadata
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",metadata_source,data/curated/papers.csv + normalized exporter overlays,case-insensitive public source label,metadata_source,true,may be summarized as public provenance,openalex,openalex,openalex,"[""openalex""]",DISPLAY_ONLY,public→frontend/CSV,may be summarized as public provenance
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",review_status,data/curated/papers.csv + normalized exporter overlays,scope-aware public status mapping,review_status,true,normalized only for metadata status,reviewed,reviewed,reviewed,"[""reviewed""]",DISPLAY_ONLY,public→frontend/CSV,normalized only for metadata status
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",curation_status,data/curated/papers.csv + normalized exporter overlays,scope-aware public status mapping,curation_status,true,normalized only for metadata status,confirmed,confirmed,corrected_by_admin,"[""corrected_by_admin""]",DISPLAY_ONLY,public→frontend/CSV,normalized only for metadata status
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",affiliations,active curated mappings or source fallback when unreviewed,"ordered institution IDs, names, and attributed authors",author_institution_affiliations/affiliations,true,institution names and locations are formatted only,,"[[""institution:ac9dc63b4bd4669a"",""leibniz university hannover"",[""sandra höltervennhoff"",""sascha fahl""]],[""institution:aea376936c88135b"",""cispa helmholtz center for information security"",[""sandra höltervennhoff"",""maike m. raphael"",""charlotte schwedes"",""rebecca weil"",""lea schönherr"",""sascha fahl""]],[""institution:aeb3cd858bb22d74"",""hannover re (germany)"",[""sandra höltervennhoff"",""sascha fahl""]],[""institution:8f8dd64c6339c8ff"",""ruhr university bochum"",[""jonas ricker"",""asja fischer""]],[""institution:068512c1b695fe0b"",""max planck institute for security and privacy"",[""thorsten holz""]]]","[[""institution:ac9dc63b4bd4669a"",""leibniz university hannover"",[""sandra höltervennhoff"",""sascha fahl""]],[""institution:aea376936c88135b"",""cispa helmholtz center for information security"",[""sandra höltervennhoff"",""maike m. raphael"",""charlotte schwedes"",""rebecca weil"",""lea schönherr"",""sascha fahl""]],[""institution:aeb3cd858bb22d74"",""hannover re (germany)"",[""sandra höltervennhoff"",""sascha fahl""]],[""institution:8f8dd64c6339c8ff"",""ruhr university bochum"",[""jonas ricker"",""asja fischer""]],[""institution:068512c1b695fe0b"",""max planck institute for security and privacy"",[""thorsten holz""]]]","[""[[\""institution:ac9dc63b4bd4669a\"",\""leibniz university hannover\"",[\""sandra höltervennhoff\"",\""sascha fahl\""]],[\""institution:aea376936c88135b\"",\""cispa helmholtz center for information security\"",[\""sandra höltervennhoff\"",\""maike m. raphael\"",\""charlotte schwedes\"",\""rebecca weil\"",\""lea schönherr\"",\""sascha fahl\""]],[\""institution:aeb3cd858bb22d74\"",\""hannover re (germany)\"",[\""sandra höltervennhoff\"",\""sascha fahl\""]],[\""institution:8f8dd64c6339c8ff\"",\""ruhr university bochum\"",[\""jonas ricker\"",\""asja fischer\""]],[\""institution:068512c1b695fe0b\"",\""max planck institute for security and privacy\"",[\""thorsten holz\""]]]""]",CONSISTENT,,
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",author_institution_attribution,active paper–institution mappings,ordered author to institution-ID assignments,author_institution_indices,true,superscript indices are derived from exported ordering,,"[[""asja fischer"",[""institution:8f8dd64c6339c8ff""]],[""charlotte schwedes"",[""institution:aea376936c88135b""]],[""jonas ricker"",[""institution:8f8dd64c6339c8ff""]],[""lea schönherr"",[""institution:aea376936c88135b""]],[""maike m. raphael"",[""institution:aea376936c88135b""]],[""rebecca weil"",[""institution:aea376936c88135b""]],[""sandra höltervennhoff"",[""institution:ac9dc63b4bd4669a"",""institution:aea376936c88135b"",""institution:aeb3cd858bb22d74""]],[""sascha fahl"",[""institution:ac9dc63b4bd4669a"",""institution:aea376936c88135b"",""institution:aeb3cd858bb22d74""]],[""thorsten holz"",[""institution:068512c1b695fe0b""]]]","[[""asja fischer"",[""institution:8f8dd64c6339c8ff""]],[""charlotte schwedes"",[""institution:aea376936c88135b""]],[""jonas ricker"",[""institution:8f8dd64c6339c8ff""]],[""lea schönherr"",[""institution:aea376936c88135b""]],[""maike m. raphael"",[""institution:aea376936c88135b""]],[""rebecca weil"",[""institution:aea376936c88135b""]],[""sandra höltervennhoff"",[""institution:ac9dc63b4bd4669a"",""institution:aea376936c88135b"",""institution:aeb3cd858bb22d74""]],[""sascha fahl"",[""institution:ac9dc63b4bd4669a"",""institution:aea376936c88135b"",""institution:aeb3cd858bb22d74""]],[""thorsten holz"",[""institution:068512c1b695fe0b""]]]","[""[[\""asja fischer\"",[\""institution:8f8dd64c6339c8ff\""]],[\""charlotte schwedes\"",[\""institution:aea376936c88135b\""]],[\""jonas ricker\"",[\""institution:8f8dd64c6339c8ff\""]],[\""lea schönherr\"",[\""institution:aea376936c88135b\""]],[\""maike m. raphael\"",[\""institution:aea376936c88135b\""]],[\""rebecca weil\"",[\""institution:aea376936c88135b\""]],[\""sandra höltervennhoff\"",[\""institution:ac9dc63b4bd4669a\"",\""institution:aea376936c88135b\"",\""institution:aeb3cd858bb22d74\""]],[\""sascha fahl\"",[\""institution:ac9dc63b4bd4669a\"",\""institution:aea376936c88135b\"",\""institution:aeb3cd858bb22d74\""]],[\""thorsten holz\"",[\""institution:068512c1b695fe0b\""]]]""]",DISPLAY_ONLY,public→frontend/CSV,superscript indices are derived from exported ordering
curated:75cbd31c9946c7eb7977,"""That's Another Doom I Haven't Thought About"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",location_ids,confirmed institution locations for map-eligible relationships,ordered unique location IDs,map location_id; paper summaries intentionally omit IDs,true,location labels are display transformations,,[],[],[],MISSING_OPTIONAL,confirmed locations→map/frontend,No map-eligible location ID is available.
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,paper_id,data/curated/papers.csv + normalized exporter overlays,trim; exact stable ID,paper_id when locally curated; external identity otherwise,true,not reconstructed for display,curated:2e30b7cfd7b0c6f427f1,curated:2e30b7cfd7b0c6f427f1,curated:2e30b7cfd7b0c6f427f1,"[""curated:2e30b7cfd7b0c6f427f1""]",CONSISTENT,,
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,title,data/curated/papers.csv + normalized exporter overlays,Unicode NFKC; collapse whitespace,canonical title string,false,typographic markup only,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,a comparative study of classification methods for real and ai-generated images with frequency feature analysis,a comparative study of classification methods for real and ai-generated images with frequency feature analysis,"[""a comparative study of classification methods for real and ai-generated images with frequency feature analysis""]",DISPLAY_ONLY,public→frontend/CSV,typographic markup only
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,authors,data/curated/papers.csv + normalized exporter overlays,ordered Unicode-normalized names,ordered author objects/names,false,joined with punctuation and affiliation superscripts,Egor Antonyants; Anna Aletdinova; Alexander Leontiev; Vitalii Zaozernov,"[""egor antonyants"",""anna aletdinova"",""alexander leontiev"",""vitalii zaozernov""]","[""egor antonyants"",""anna aletdinova"",""alexander leontiev"",""vitalii zaozernov""]","[""[\""egor antonyants\"",\""anna aletdinova\"",\""alexander leontiev\"",\""vitalii zaozernov\""]""]",DISPLAY_ONLY,public→frontend/CSV,joined with punctuation and affiliation superscripts
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,publication_year,data/curated/papers.csv + normalized exporter overlays,integer year,publication_year and year agree,false,decimal year label,2026,2026,2026,"[""2026""]",DISPLAY_ONLY,public→frontend/CSV,decimal year label
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,publication_date,data/curated/papers.csv + normalized exporter overlays,ISO date string,publication_date,true,display may omit missing date,,,,[],MISSING_OPTIONAL,authoritative/public,Optional metadata is not available; no value was inferred.
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,venue,data/curated/papers.csv + normalized exporter overlays,canonical venue name; blank for books,venue_name/venue,true,venue_label may add acronym/track,International Conference of Young Professionals in Electron Devices and Materials,international conference of young professionals in electron devices and materials,international conference of young professionals in electron devices and materials,"[""international conference of young professionals in electron devices and materials""]",DISPLAY_ONLY,public→frontend/CSV,venue_label may add acronym/track
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,publication_type,data/curated/papers.csv + normalized exporter overlays,conference|journal|preprint|book,publication_type,false,title-cased label,conference,conference,conference,"[""conference""]",CONSISTENT,,
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,doi,data/curated/papers.csv + normalized exporter overlays,canonical lowercase DOI without URL prefix,doi,true,link is rendered as https://doi.org/<doi>,10.1109/edm69524.2026.11632103,10.1109/edm69524.2026.11632103,10.1109/edm69524.2026.11632103,"[""10.1109/edm69524.2026.11632103""]",DISPLAY_ONLY,public→frontend/CSV,link is rendered as https://doi.org/<doi>
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,arxiv_id,data/curated/papers.csv + normalized exporter overlays,base arXiv ID without URL/version suffix,arxiv_id,true,link is rendered as https://arxiv.org/abs/<id>,,,,[],MISSING_OPTIONAL,authoritative/public,Optional metadata is not available; no value was inferred.
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,task,data/curated/papers.csv + normalized exporter overlays,canonical task enum,task,false,human-readable label,detection,detection,detection,"[""detection""]",DISPLAY_ONLY,public→frontend/CSV,human-readable label
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,paper_categories,data/curated/papers.csv + normalized exporter overlays,ordered canonical category enum,paper_categories,true,human-readable badges,"[""analysis""]","[""analysis""]","[""analysis""]","[""[\""analysis\""]""]",DISPLAY_ONLY,public→frontend/CSV,human-readable badges
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,source_database,data/curated/papers.csv + normalized exporter overlays,case-insensitive source label,source_database,true,not used to replace factual metadata,openalex,openalex,openalex,"[""curated""]",DISPLAY_ONLY,public→frontend/CSV,not used to replace factual metadata
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,metadata_source,data/curated/papers.csv + normalized exporter overlays,case-insensitive public source label,metadata_source,true,may be summarized as public provenance,openalex,openalex,openalex,"[""openalex""]",DISPLAY_ONLY,public→frontend/CSV,may be summarized as public provenance
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,review_status,data/curated/papers.csv + normalized exporter overlays,scope-aware public status mapping,review_status,true,normalized only for metadata status,reviewed,reviewed,reviewed,[],DISPLAY_ONLY,public→frontend/CSV,normalized only for metadata status
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,curation_status,data/curated/papers.csv + normalized exporter overlays,scope-aware public status mapping,curation_status,true,normalized only for metadata status,confirmed,confirmed,confirmed,"[""confirmed""]",DISPLAY_ONLY,public→frontend/CSV,normalized only for metadata status
