title,year,recommended_action,manual_search_status,found_doi,found_arxiv_id,found_openalex_url,notes,scope_guess,scope_reason,review_decision,review_notes
AI-generated image detection algorithm based on classical-quantum hybrid neural network,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Light2Lie: Detecting Deepfake Images Using Physical Reflectance Law,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
"""That’s another doom I haven’t thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation. CHI, 2026",2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=image_authenticity_or_misinformation,include,Included under broad paper-level coverage; institution/location can be repaired later.
"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
FakeReasoning: Towards Generalizable Forgery Detection and Reasoning,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=detector_robustness_or_attack,include,Included under broad paper-level coverage; institution/location can be repaired later.
Transferable Dual-Domain Feature Importance Attack against AI-Generated Image Detector,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=detector_robustness_or_attack,include,Included under broad paper-level coverage; institution/location can be repaired later.
General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Training-free Detection of Text-to-video Generations via Over-coherence,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=generated_video_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
The SAFE Image Authenticity Challenge: Detecting and Localizing Partial and Fully Synthetic Manipulations,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_localization,include,Included under broad paper-level coverage; institution/location can be repaired later.
Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=medical_synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=medical_synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
"Prompt-Engineered Detection of AI-Generated Images. New Trends in Intelligent Software Methodologies, Tools and Techniques, 2026",2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Localizing Perceptual Artifacts in Synthetic Images for Image Quality Assessment via Deep-Learning-Based Anomaly Detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_localization,include,Included under broad paper-level coverage; institution/location can be repaired later.
Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection. MMM 2026,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=generated_video_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford’s Law and Topological Analysis with Machine Learning Ensembles,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Model Synthesis for Zero-Shot Model Attribution,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=source_attribution,include,Included under broad paper-level coverage; institution/location can be repaired later.
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=source_attribution,include,Included under broad paper-level coverage; institution/location can be repaired later.
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=source_attribution,include,Included under broad paper-level coverage; institution/location can be repaired later.
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=source_attribution,include,Included under broad paper-level coverage; institution/location can be repaired later.
