legacy_review_id,paper_identity,paper_id,canonical_title,year,doi,primary_url,legacy_scope_category,current_tasks,current_image_scopes,diagnostic_basis,confidence,review_rationale,current_abstract,source_record_sha256,diagnostic_only,corpus_action
legacy-scope:7ca66997ac008fed,curated:3ea88dc6c3224d22d416,curated:3ea88dc6c3224d22d416,IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,10.3390/s26041172,https://doi.org/10.3390/s26041172,LEGACY_SCOPE_REVIEW_CLASSICAL,detection,traditional_manipulation,taxonomy_and_evaluation_evidence,high as a review candidate,Current taxonomy is classical-only; saved evaluation concerns conventional CASIA/copy-move forensics without a demonstrated generative-image component.,"first_pagesettingsOrder Article Reprints Open AccessArticle IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection by Nimra Nasir 1,Syeda Sitara Waseem 1ORCID,Muhammad Bilal 2,*ORCID andSyed Rizwan Hassan 3,*ORCID 1 Department of Computer Science & IT, The Govt. Sadiq College Women University, Bahawalpur 63100, Pakistan 2 School of Engineering, Nanfang College Guangzhou, Guangzhou 510970, China 3 Department of Computer Engineering, Gachon University, Seongnam-si 13120, Republic of Korea * Authors to whom correspondence should be addressed. Sensors 2026, 26(4), 1172; https://doi.org/10.3390/s26041172 Submission received: 22 December 2025 / Revised: 26 January 2026 / Accepted: 7 February 2026 / Published: 11 February 2026 (This article belongs to the Special Issue Secure and Resilient Solutions for CCTV, Small Sensor and IoT Device Security) Downloadkeyboard_arrow_down Browse Figures Versions Notes Abstract With ongoing growth in the implementation of CCTV networks, miniature sensors, and IoT devices, the quality of captured images in terms of authenticity has become a major security issue. Through advanced editing tools and generative models, the capability now exists to perform highly advanced forgeries that fail both human perception and traditional algorithms, and especially in terms of sensor-generated content. State-of-the-art algorithms typically use a single-cue characteristic in their models to stabilize performance, including local noise statistics or structural disruption patterns, making them susceptible to varied forms of manipulation. As a solution to this issue, we have developed MultiFusion, a new forgery detection framework which combines complementary forensic cues in images: SRM-based noise residuals, hierarchical texture features based on EfficientNet-B0, and global structural relationships from a vision transformer. A special DnCNN denoising preprocessing layer represses sensor noise and maintains fine traces of tampering. To achieve better interpretability, we combine Grad-cam images of the convolutional flow and transformer attention maps to create on-unit interpretable heatmaps, the areas of which identify regions of manipulation. Experimental verification on the CASIA 2.0 standard shows high detection accuracy (96.69) and good generalization. Via normalized denoising, multimodal feature fusion, and explainable AI, our framework takes CCTV, sensor forensics, and IoT image authentication to the next level.",4a91285f2d2b0fbc8de5d6ae78eace569dc8cccf89b1efc54463b2c2861465a9,true,NONE
legacy-scope:60f4053725c90d51,doi:10.3390/jimaging7030059,,Copy-Move Forgery Detection (CMFD) Using Deep Learning for Image and Video Forensics,2021,10.3390/jimaging7030059,https://doi.org/10.3390/jimaging7030059,LEGACY_SCOPE_REVIEW_CLASSICAL,detection,traditional_manipulation,taxonomy_and_evaluation_evidence,high as a review candidate,Current taxonomy is classical-only; saved evaluation concerns conventional CASIA/copy-move forensics without a demonstrated generative-image component.,"With the exponential growth of high-quality fake images in social networks and media, it is necessary to develop recognition algorithms for this type of content. One of the most common types of image and video editing consists of duplicating areas of the image, known as the copy-move technique. Traditional image processing approaches manually look for patterns related to the duplicated content, limiting their use in mass data classification. In contrast, approaches based on deep learning have shown better performance and promising results, but they present generalization problems with a high dependence on training data and the need for appropriate selection of hyperparameters. To overcome this, we propose two approaches that use deep learning, a model by a custom architecture and a model by transfer learning. In each case, the impact of the depth of the network is analyzed in terms of precision (P), recall (R) and F1 score. Additionally, the problem of generalization is addressed with images from eight different open access datasets. Finally, the models are compared in terms of evaluation metrics, and training and inference times. The model by transfer learning of VGG-16 achieves metrics about 10% higher than the model by a custom architecture, however, it requires approximately twice as much inference time as the latter.",2fc97c891bc512952454472d7bff805968766f757b12bb17ace39b57cb34339f,true,NONE
legacy-scope:ca0df7d97a4cb873,curated:074bb9a77ee85d50090c,curated:074bb9a77ee85d50090c,Aperture: A Patch-Aware Framework for Joint Forgery Detection and Localization,2025,10.1007/s44336-025-00027-8,https://doi.org/10.1007/s44336-025-00027-8,LEGACY_SCOPE_REVIEW_DEEPFAKE,detection;localization,deepfake,deepfake_only_taxonomy_scope_unverified,low; diagnostic only,"Current taxonomy records deepfake as the sole image scope, but the saved abstract is absent or does not settle a broader generative-image component. This is a possible legacy mismatch, not a finding of pure-face scope.","Abstract The proliferation of advanced generative models presents a significant threat to the authenticity of digital visual content, creating an urgent demand for robust forgery detection technologies. A primary challenge lies in developing a unified and generalizable framework that can not only classify an image as authentic or forged but also precisely localize the manipulated regions, all while maintaining computational efficiency and adapting to unseen manipulation techniques. To address these challenges, we introduce Aperture, a lightweight and effective framework for joint deepfake detection and localization. Our framework integrates a novel patch-aware classifier that fuses local and global features to enhance classification robustness. For localization, a segmentation module guided by conditional queries is employed to generate fine-grained masks of tampered regions. Crucially, we propose a pseudo-label-guided test-time adaptation mechanism, which leverages the classifier’s patch-level predictions to dynamically supervise the segmentation head. This allows the model to improve its robustness against out-of-distribution data encountered during testing.",fd8fb304c369923a542e7d2a03667441200935dd86b59928c3af60738c521886,true,NONE
legacy-scope:725f1087b6eb89da,curated:27627323cfb3f8a48640,curated:27627323cfb3f8a48640,Revisiting Deepfake Detection: BCNet for Robust Generalization Beyond Semantic Dependence,2026,,https://github.com/zwhyyyy/BCNet,LEGACY_SCOPE_REVIEW_DEEPFAKE,detection,deepfake,deepfake_only_taxonomy_scope_unverified,low; diagnostic only,"Current taxonomy records deepfake as the sole image scope, but the saved abstract is absent or does not settle a broader generative-image component. This is a possible legacy mismatch, not a finding of pure-face scope.",,c0ac5efbed6786592f4531c33c16199fba90f4d9a7bc0414a25c16f04a6d94c6,true,NONE
legacy-scope:0374bc2985bb3fe1,curated:3bb1fe2e65312512ed32,curated:3bb1fe2e65312512ed32,Pixels Don't Lie (but Your Detector Might): Bootstrapping MLLM-as-a-Judge for Trustworthy Deepfake Detection and Reasoning Supervision,2026,,https://openaccess.thecvf.com/content/CVPR2026/papers/Kuckreja_Pixels_Dont_Lie_But_Your_Detector_Might_Bootstrapping_MLLM-as-a-Judge_for_CVPR_2026_paper.pdf,LEGACY_SCOPE_REVIEW_DEEPFAKE,detection,deepfake,deepfake_only_taxonomy_scope_unverified,low; diagnostic only,"Current taxonomy records deepfake as the sole image scope, but the saved abstract is absent or does not settle a broader generative-image component. This is a possible legacy mismatch, not a finding of pure-face scope.","Deepfake detection models often generate natural-language explanations, yet their reasoning is frequently ungrounded in visual evidence, limiting reliability. Existing evaluations measure classification accuracy but overlook reasoning fidelity. We propose DeepfakeJudge, a framework for scalable reasoning supervision and evaluation, that integrates an out-of-distribution benchmark containing recent generative and editing forgeries, a human-annotated subset with visual reasoning labels, and a suite of evaluation models, that specialize in evaluating reasoning rationales without the need for explicit ground truth reasoning rationales. The Judge is optimized through a bootstrapped generator-evaluator process that scales human feedback into structured reasoning supervision and supports both pointwise and pairwise evaluation. On the proposed meta-evaluation benchmark, our reasoning-bootstrapped model achieves an accuracy of 96.2\%, outperforming \texttt{30x} larger baselines. The reasoning judge attains very high correlation with human ratings and 98.9\% percent pairwise agreement on the human-annotated meta-evaluation subset. These results establish reasoning fidelity as a quantifiable dimension of deepfake detection and demonstrate scalable supervision for interpretable deepfake reasoning. Our user study shows that participants preferred the reasonings generated by our framework 70\% of the time, in terms of faithfulness, groundedness, and usefulness, compared to those produced by other models and datasets. All of our datasets, models, and codebase are \href{https://github.com/KjAeRsTuIsK/DeepfakeJudge}{open-sourced}.",957e7a9b075d3709fc97f766af3cd1e155637cfc6a0fb5e4b3df07301b0fcf5a,true,NONE
legacy-scope:e6b4da3440dfa49b,curated:40db3b79c5d83b80e5a4,curated:40db3b79c5d83b80e5a4,Fake-GPT: Detecting Fake Image via Large Language Model,2024,10.1007/978-981-97-8685-5_9,https://doi.org/10.1007/978-981-97-8685-5_9,LEGACY_SCOPE_REVIEW_DEEPFAKE,detection,deepfake,deepfake_only_taxonomy_scope_unverified,low; diagnostic only,"Current taxonomy records deepfake as the sole image scope, but the saved abstract is absent or does not settle a broader generative-image component. This is a possible legacy mismatch, not a finding of pure-face scope.","With the development of Artificial Intelligence Generated Content (AIGC), fake image detection has become increasingly challenging. Also leveraging the advanced capabilities of large language models (LLMs) in sequence prediction, we propose a novel perspective on fake image detection by fine-tuning pure LLMs. We introduce Fake-GPT, a LLM with 7 billion parameters which can differentiate between real and fake images. Unlike conventional image processing models, our approach directly process RGB pixel values without relying on any position embedding and visual-language feature alignment, thereby reducing model complexity and processing steps. Our research demonstrates the effective application of LLMs in detecting fake images, thereby expanding their application in non-textual domains. Extensive experiments conducted on various deepfake datasets show that Fake-GPT achieves competitive results compared with conventional image processing models, underscoring its potential as a new paradigm in the realm of image authentication.",fc3c6b8822f2c2ed10371f1fa2c13b95be941bcb4442171e1a186fceb73fa617,true,NONE
legacy-scope:fd887ba0010a8c9e,curated:4363b7a97f75f90ad22c,curated:4363b7a97f75f90ad22c,A Swin Transformer and CLIP-Based Framework for Generalized DeepFake Detection,2025,10.1007/978-981-95-6825-3_10,https://doi.org/10.1007/978-981-95-6825-3_10,LEGACY_SCOPE_REVIEW_DEEPFAKE,detection,deepfake,deepfake_only_taxonomy_scope_unverified,low; diagnostic only,"Current taxonomy records deepfake as the sole image scope, but the saved abstract is absent or does not settle a broader generative-image component. This is a possible legacy mismatch, not a finding of pure-face scope.",,b0c45f58a6010561235d7eb240483640322fc2a0309189a219937312c7c84f96,true,NONE
legacy-scope:a101f4a38ccc4854,curated:4b5ef3aeb56177a90939,curated:4b5ef3aeb56177a90939,On Attribution of Deepfakes,2020,10.48550/arxiv.2008.09194,https://openalex.org/W3134567460,LEGACY_SCOPE_REVIEW_DEEPFAKE,source_attribution,deepfake,deepfake_only_taxonomy_scope_unverified,low; diagnostic only,"Current taxonomy records deepfake as the sole image scope, but the saved abstract is absent or does not settle a broader generative-image component. This is a possible legacy mismatch, not a finding of pure-face scope.",,bef48c4ad76ff9a0e9b62b2c1d2d1ef952bdc710477efdd53601010682c9aedb,true,NONE
legacy-scope:7a53f01643e8b3be,curated:52edb9369ffaae37bd81,curated:52edb9369ffaae37bd81,Dual-Tree Complex Wavelet Driven Hierarchical Spatial-Frequency Fusion Learning for Robust Deepfake Detection,2026,10.1109/tdsc.2026.3712721,https://doi.org/10.1109/tdsc.2026.3712721,LEGACY_SCOPE_REVIEW_DEEPFAKE,detection,fully_generated;deepfake,face_or_video_evaluation_evidence,high as a review candidate,"Saved title/abstract identifies facial, identity-manipulation or video-deepfake evaluation. Verify any substantive broader synthetic-image component before a future scope decision.","Deepfake detection aims to identify synthetic visual content generated by artificial models. With the improvement of generative models, high-fidelity forgeries largely weaken the explicit traces on which traditional methods rely, leaving only potential implicit clues such as subtle frequency-domain artifacts, creating an urgent need to mine robust discriminative features from either fundamental signal patterns or high-level semantic representations. Specifically, we observe that concentrating on the collaborative frequency information from different hierarchies can enhance model robustness. We propose a Hierarchical Spatial-Frequency Fusion (HSFF) module that couples multi scale feature extraction with frequency attention to capture multi-range forgery traces, and adaptively weights frequency domain features across scales to highlight cross-scale anomalies caused by forgeries. While HSFF enhances sensitivity to spatial frequency inconsistencies, it does not explicitly model directional forgery patterns. To complement this, we further introduce a Collaborative Multi-Subband Enhancement (CMSE) mechanism that integrates Dual-Tree Complex Wavelet Transform (DTCWT) with pre-trained visual features, explicitly modeling interactions among six directional subbands and supplying the directional selectivity that HSFF lacks, together forming a joint spatial frequency-direction representation that significantly improves robustness against multi-directional forgeries. The superiority of our approach is verified by extensive comparative experiments and ablation studies on multiple benchmark datasets against numerous state-of-the-art methods. In particular, our method achieves 97.2% and 89.1% cross-dataset AUROC on the challenging Celeb-DFv2 and DFDC respectively.",9452e220558c25a961ae3434d14f237a954d2ffe2144d17d68696be94d789f5e,true,NONE
legacy-scope:b9a4d61d09a4aa17,curated:551ca154b757ec651c0e,curated:551ca154b757ec651c0e,Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,10.24963/ijcai.2021/349,https://doi.org/10.24963/ijcai.2021/349,LEGACY_SCOPE_REVIEW_DEEPFAKE,detection,deepfake,deepfake_only_taxonomy_scope_unverified,low; diagnostic only,"Current taxonomy records deepfake as the sole image scope, but the saved abstract is absent or does not settle a broader generative-image component. This is a possible legacy mismatch, not a finding of pure-face scope.",,a85ab166a349f2098b88770dabc1a6cb8e8f5412f1c681cccdea7c054fd2d36b,true,NONE
