batch,title,year,openalex_url,doi,best_match_title,best_match_year,similarity,publication_venue,publication_type,primary_url,preliminary_task,preliminary_subtask,import_status,notes
top50,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,https://openalex.org/W7155245437,,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,1.000,ArXiv.org,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,https://openalex.org/W7125828141,https://doi.org/10.1109/tifs.2026.3657841,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,1.000,IEEE Transactions on Information Forensics and Security,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,https://openalex.org/W7133363592,,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,1.000,ArXiv.org,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,https://openalex.org/W7125581744,https://doi.org/10.1109/tcsvt.2026.3656696,DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,1.000,IEEE Transactions on Circuits and Systems for Video Technology,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2026,https://openalex.org/W4417166521,https://doi.org/10.1016/j.patrec.2025.12.001,E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2025,1.000,Pattern Recognition Letters,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,FakeReasoning: Towards Generalizable Forgery Detection and Reasoning,2026,https://openalex.org/W7140634248,https://doi.org/10.1109/tip.2026.3673967,Toward Generalizable Forgery Detection and Reasoning,2026,0.874,IEEE Transactions on Image Processing,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford’s Law and Topological Analysis with Machine Learning Ensembles,2026,https://openalex.org/W7164298589,https://doi.org/10.1109/qpain69676.2026.11546484,Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford's Law and Topological Analysis with Machine Learning Ensembles,2026,1.000,,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2026,https://openalex.org/W4417526972,https://doi.org/10.1016/j.neucom.2025.132482,Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2025,1.000,Neurocomputing,article,,,,ready,Broad scope import candidate; institution repair can happen later.
final_uncovered_forced,"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,https://openalex.org/W7164742316,https://doi.org/10.1016/j.fsisyn.2026.100704,"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,1.030,Forensic Science International Synergy,article,https://doi.org/10.1016/j.fsisyn.2026.100704,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
top50,IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,https://openalex.org/W7128586659,https://doi.org/10.3390/s26041172,IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,1.000,Sensors,article,,,,ready,Broad scope import candidate; institution repair can happen later.
