candidate_id,title,year,venue,cluster,exact_unresolved_question,evidence_already_available,exact_additional_evidence_needed,likely_outcome_if_confirmed,likely_outcome_if_not_confirmed,evidence_review_priority,saved_primary_evidence_url
audit:07f15e7e8a78398a,Riemannian-Geometric Fingerprints of Generative Models,2025,Proceedings of the IEEE/CVF International Conference on Computer Vision,ATTRIBUTION,"Does the evaluated Riemannian fingerprint infer a generator/source from encountered generated images using naturally occurring traces, rather than only authenticating a model service or its parameters?","Recent breakthroughs and rapid integration of generative models (GMs) have sparked interest in the problem of model attribution and their fingerprints. For instance, service providers need reliable methods of authenticating their models to protect their IP, while users and law enforcement seek to verify the source of generated content for accountability and trust. In addition, a growing threat of model collapse is arising, as more model-generated data are being fed back into sources (e.g., YouTube) that are often harvested for training (""regurgitative training""), heightening the need to differentiate synthetic from human data. Yet, a gap still exists in understanding generative models' fingerprints, we believe, stemming from the lack of a formal framework that can define, represent, and analyze the fingerprints in a principled way. To address this gap, we take a geometric approach and propose a new definition of artifact and fingerprint of generative models using Riemannian geometry, which allows us to leverage the rich theory of differential geometry. Our new definition generalizes previous work (Song et al, 2024) to non-Euclidean manifolds by learning Riemannian metrics from data and replacing the Euclidean distances and nearest-neighbor search with geodesic distances and kNN-based Riemannian center of mass. We apply our theory to a new gradient-based algorithm for computing the fingerprints in practice. Results show that it is more effective in distinguishing a large array of generative models, spanning across 4 different datasets in 2 different resolutions (64x64, 256x256), 27 model architectures, and 2 modalities (Vision, Vision-Language). Using our proposed definition can significantly improve the performance on model attribution, as well as a generalization to unseen datasets, model types, and modalities, suggesting its efficacy in practice.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does the evaluated Riemannian fingerprint infer a generator/source from encountered generated images using naturally occurring traces, rather than only authenticating a model service or its parameters?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / WATERMARK_ACTIVE_PROVENANCE or PURE_DEEPFAKE_FACE_ONLY, as the source shows",HIGH,https://openaccess.thecvf.com/content/ICCV2025/html/Song_Riemannian-Geometric_Fingerprints_of_Generative_Models_ICCV_2025_paper.html
audit:0b72dded38f87a65,A Rich Knowledge Space for Scalable Deepfake Detection,2026,International Conference on Learning Representations,FACE,Does the stated AIGC benchmark independently evaluate broader fully generated or generatively edited images beyond the 3.6-million facial-image/deepfake collection?,"The proliferation of realistic deepfakes has driven the development of numerous benchmark datasets to support detection research. Despite their increasing volume and diversity, no prior effort has systematically consolidated these resources into a unified framework for large-scale model training, nor has there been a massively pre-trained model tailored to deepfake detection. In this work, we introduce Multi-modal Multi-type Integrated Deepfake Dataset (MMI-DD), a large-scale resource containing 3.6 million facial images, the largest collection to date. It unifies diverse benchmarks with uniform preprocessing, and further provides fine-grained annotations across four deepfake types, as well as VLM-generated descriptions capturing both facial and environmental attributes for each image. By leveraging this comprehensive multi-modal dataset, we construct a foundational deepfake knowledge space that empowers our model to discern a broad spectrum of synthetic media. Our method, $SD^2$ (Scalable Deepfake Detection), refines CLIP for deepfake detection, optimizing image-text classification with rich, type-specific labels. We enhance this with intermediate visual features capturing low-level cues and text label separation loss for stability. We further leverage VLM-generated descriptions and contrastive learning to expand the scope of forgery knowledge, reducing overfitting and enhancing generalization. Extensive experiments on challenging deepfake datasets and AIGC benchmark demonstrate the effectiveness, scalability, and real-world applicability of our approach.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does the stated AIGC benchmark independently evaluate broader fully generated or generatively edited images beyond the 3.6-million facial-image/deepfake collection?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation",POLICY_EXCLUDE / PURE_DEEPFAKE_FACE_ONLY,HIGH,https://proceedings.iclr.cc/paper_files/paper/2026/hash/9c0efc0d84c263972af72bf70a2de533-Abstract-Conference.html
audit:0dc47031ed0bccc5,DINOv3 Beats Specialized Detectors: A Simple Foundation Model Baseline for Image Forensics,2026,arXiv (Cornell University),IMAGE,"Do the CAT-Net/MVSS-Net evaluation protocols contain a substantive independently evaluated generative-edit or fully generated-image subset, rather than classical tampering only?","Abstract: With the rapid advancement of deep generative models, realistic fake images have become increasingly accessible, yet existing localization methods rely on complex designs and still struggle to generalize across manipulation types and imaging conditions. We present a simple but strong baseline based on DINOv3 with LoRA adaptation and a lightweight convolutional decoder. Under the CAT-Net protocol, our best model improves average pixel-level F1 by 17.0 points over the previous state of the art on four standard benchmarks using only 9.1\,M trainable parameters on top of a frozen ViT-L backbone, and even our smallest variant surpasses all prior specialized methods. LoRA consistently outperforms full fine-tuning across all backbone scales. Under the data-scarce MVSS-Net protocol, LoRA reaches an average F1 of 0.774 versus 0.530 for the strongest prior method, while full fine-tuning becomes highly unstable, suggesting that pre-trained representations encode forensic information that is better preserved than overwritten. The baseline also exhibits strong robustness to Gaussian noise, JPEG re-compression, and Gaussian blur. We hope this work can serve as a reliable baseline for the research community and a practical starting point for future image-forensic applications. Code is available at this https URL .","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Do the CAT-Net/MVSS-Net evaluation protocols contain a substantive independently evaluated generative-edit or fully generated-image subset, rather than classical tampering only?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",HIGH,https://arxiv.org/abs/2604.16083
audit:202541800aaec592,Conditional uncertainty-aware political deepfake detection with stochastic Convolutional Neural Networks,2026,Journal of High School Science,FACE,"Does the political-deepfake uncertainty study evaluate a broader passive synthetic-image detector, or only face/identity/video deepfakes? The saved publisher summary does not identify its data or evaluation unit.","By Rafael-Petrut Gardos. Uncertainty is regime specific, aiding political deepfake detection mainly by refining trust in already confident predictions, but offering no global predictor preference at full coverage or when unconditioned.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does the political-deepfake uncertainty study evaluate a broader passive synthetic-image detector, or only face/identity/video deepfakes? The saved publisher summary does not identify its data or evaluation unit.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation",POLICY_EXCLUDE / PURE_DEEPFAKE_FACE_ONLY,HIGH,https://doi.org/10.64336/001c.156299
audit:29fa62c1fc9fd79d,"ILLUSION: Unveiling Truth with a Comprehensive Multi-Modal, Multi-Lingual Deepfake Dataset",2025,International Conference on Learning Representations,FACE,"Does ILLUSION independently benchmark broader synthetic-image detection beyond faces, audio spoofing and talking-head/video forgeries? Identify the image subset and its separate results.","The proliferation of deepfakes and AI-generated content has led to a surge in media forgeries and misinformation, necessitating robust detection systems. However, current datasets lack diversity across modalities, languages, and real-world scenarios. To address this gap, we present ILLUSION (Integration of Life-Like Unique Synthetic Identities and Objects from Neural Networks), a large-scale, multi-modaldeepfake dataset comprising 1.3 million samples spanning audio-visual forgeries, 26 languages, challenging noisy environments, and various manipulation protocols. Generated using 28 state-of-the-art generative techniques, ILLUSION includesfaceswaps, audio spoofing, synchronized audio-video manipulations, and synthetic media while ensuring a balanced representation of gender and skin tone for unbiased evaluation. Using Jaccard Index and UpSet plot analysis, we demonstrate ILLUSION’s distinctiveness and minimal overlap with existing datasets, emphasizing its novel generative coverage. We benchmarked image, audio, video, and multi-modal detection models, revealing key challenges such as performance degradation in multilingual and multi-modal contexts, vulnerability to real-world distortions, and limited generalization to zero-day attacks. By bridging synthetic and real-world complexities, ILLUSION provides a challenging yet essential platform for advancing deepfake detection research. The dataset is publicly available at https://www.iab-rubric.org/illusion-database.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does ILLUSION independently benchmark broader synthetic-image detection beyond faces, audio spoofing and talking-head/video forgeries? Identify the image subset and its separate results.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation",POLICY_EXCLUDE / PURE_DEEPFAKE_FACE_ONLY,NORMAL,https://proceedings.iclr.cc/paper_files/paper/2025/hash/08f9de0232c0b485110237f6e6cf88f1-Abstract-Conference.html
audit:2fa7c05b3b864bfe,Omni-IML: Towards Unified Interpretable Image Manipulation Localization,2026,International Conference on Learning Representations,IMAGE,"Which of Omni-IML’s four tasks and Omni-273k manipulation types involve generative AI edits or fully generated images, and are their forensic results reported separately?","Existing Image Manipulation Localization (IML) methods rely heavily on task-specific designs, making them perform well only on the target IML task, while joint training on multiple IML tasks causes significant performance degradation, hindering real applications. To this end, we propose Omni-IML, the first generalist model designed to unify IML across diverse tasks. Specifically, Omni-IML achieves generalization through three key components: (1) a Modal Gate Encoder, which adaptively selects the optimal encoding modality per sample, (2) a Dynamic Weight Decoder, which dynamically adjusts decoder filters to the task at hand, and (3) an Anomaly Enhancement module that leverages box supervision to highlight the tampered regions and facilitate the learning of task-agnostic features. Beyond localization, to support interpretation of the tampered images, we construct Omni-273k, a large high-quality dataset that includes natural language descriptions of tampered artifacts. It is annotated through our automatic, chain-of-thoughts annotation technique. We also design a simple-yet-effective interpretation module to better utilize these descriptive annotations. Our extensive experiments show that our single Omni-IML model achieves state-of-the-art performance across all four major IML tasks, providing a valuable solution for practical deployment and a promising direction of generalist models in image forensics. Our code and dataset are available at https://github.com/qcf-568/OmniIML.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Which of Omni-IML’s four tasks and Omni-273k manipulation types involve generative AI edits or fully generated images, and are their forensic results reported separately?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://proceedings.iclr.cc/paper_files/paper/2026/hash/49b80bb0eddf1e12a262ab6dfda2fcf6-Abstract-Conference.html
audit:305b25515850fed3,M2SFormer: Multi-Spectral and Multi-Scale Attention with Edge-Aware Difficulty Guidance for Image Forgery Localization,2025,Proceedings of the IEEE/CVF International Conference on Computer Vision,IMAGE,"Which evaluated M2SFormer datasets contain generatively produced manipulations, and are localization results for those manipulations substantive rather than a classical-only evaluation?","Image editing techniques have rapidly advanced, facilitating both innovative use cases and malicious manipulation of digital images. Deep learning-based methods have recently achieved high accuracy in pixel-level forgery localization, yet they frequently struggle with computational overhead and limited representation power, particularly for subtle or complex tampering. In this paper, we propose M2SFormer, a novel Transformer encoder-based framework designed to overcome these challenges. Unlike approaches that process spatial and frequency cues separately, M2SFormer unifies multi-frequency and multi-scale attentions in the skip connection, harnessing global context to better capture diverse forgery artifacts. Additionally, our framework addresses the loss of fine detail during upsampling by utilizing a global prior map--a curvature metric indicating the difficulty of forgery localization--which then guides a difficulty-guided attention module to preserve subtle manipulations more effectively. Extensive experiments on multiple benchmark datasets demonstrate that M2SFormer outperforms existing state-of-the-art models, offering superior generalization in detecting and localizing forgeries across unseen domains. Our M2SFormer code is available in Github Link.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Which evaluated M2SFormer datasets contain generatively produced manipulations, and are localization results for those manipulations substantive rather than a classical-only evaluation?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://openaccess.thecvf.com/content/ICCV2025/html/Nam_M2SFormer_Multi-Spectral_and_Multi-Scale_Attention_with_Edge-Aware_Difficulty_Guidance_for_ICCV_2025_paper.html
audit:3be864bb29fef423,AdaIFL: Adaptive Image Forgery Localization via a Dynamic and Importance-aware Transformer Network,2024,ECCV 2024 and earlier proceedings,IMAGE,Does AdaIFL evaluate generative inpainting/editing or partially synthesized images separately from classical tampering? Identify those datasets and results.,"""The rapid development of image processing and manipulation techniques poses unprecedented challenges in multimedia forensics, especially in Image Forgery Localization (IFL). This paper addresses two key challenges in IFL: (1) Various forgery techniques leave distinct forensic traces. However, existing models overlook variations among forgery patterns. The diversity of forgery techniques makes it challenging for a single static detection method and network structure to be universally applicable. To address this, we propose AdaIFL, a dynamic IFL framework that customizes various expert groups for different network components, constructing multiple distinct feature subspaces. By leveraging adaptively activated experts, AdaIFL can capture discriminative features associated with forgery patterns, enhancing the model’s generalization ability. (2) Many forensic traces and artifacts are located at the boundaries of the forged region. Existing models either ignore the differences in discriminative information or use edge supervision loss to force the model to focus on the region boundaries. This hard-constrained approach is prone to attention bias, causing the model to be overly sensitive to image edges or fail to finely capture all forensic traces. In this paper, we propose a feature importance-aware attention, a flexible approach that adaptively perceives the importance of different regions and aggregates region features into variable-length tokens, directing the model’s attention towards more discriminative and informative regions. Extensive experiments on benchmark datasets demonstrate that AdaIFL outperforms state-of-the-art image forgery localization methods. Our code is available at https://github.com/LMIAPC/ AdaIFL.""","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does AdaIFL evaluate generative inpainting/editing or partially synthesized images separately from classical tampering? Identify those datasets and results.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/6023_ECCV_2024_paper.php
audit:46984fabc086b053,FreDA: Training-Free Test-Time Adaptation for Deepfake Detection via Non-parametric Cache Retrieval,2027,International Conference on Digital Forensics and Cyber Crime,FACE,Does FreDA adapt passive general AI-generated-image detectors beyond pure face/video deepfake detection? The truncated abstract does not identify the target datasets.,"Deepfake (DF) detectors face significant challenges when deployed in real-world environments, particularly when encountering test samples deviated from training data through either distribution shifts or post-processing manipulations. To address these challenges, we...","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does FreDA adapt passive general AI-generated-image detectors beyond pure face/video deepfake detection? The truncated abstract does not identify the target datasets.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation",POLICY_EXCLUDE / PURE_DEEPFAKE_FACE_ONLY,HIGH,https://doi.org/10.1007/978-3-032-37274-1_4
audit:4f169a0ad566bd1d,Image Manipulation Detection With Implicit Neural Representation and Limited Supervision,2024,ECCV 2024 and earlier proceedings,IMAGE,"Do the INR limited-supervision experiments include independently evaluated generative edits or generated images, rather than only conventional image manipulation?","""Image Manipulation Detection (IMD) is becoming increasingly important as tampering technologies advance. However, most state-of-the-art (SoTA) methods require high-quality training datasets featuring image- and pixel-level annotations. The effectiveness of these methods suffers when applied to manipulated or noisy samples that differ from the training data. To address these challenges, we present a unified framework that combines unsupervised and weakly supervised approaches for IMD. Our approach introduces a novel pre-processing stage based on a controllable fitting function from Implicit Neural Representation (INR). Additionally, we introduce a new selective pixel-level contrastive learning approach, which concentrates exclusively on high-confidence regions, thereby mitigating uncertainty associated with the absence of pixel-level labels. In weakly supervised mode, we utilize ground-truth image-level labels to guide predictions from an adaptive pooling method, facilitating comprehensive exploration of manipulation regions for image-level detection. The unsupervised model is trained using a self-distillation training method with selected high-confidence pseudo-labels obtained from the deepest layers via different sources. Extensive experiments demonstrate that our proposed method outperforms existing unsupervised and weakly supervised methods. Moreover, it competes effectively against fully supervised methods on novel manipulation detection tasks.""","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Do the INR limited-supervision experiments include independently evaluated generative edits or generated images, rather than only conventional image manipulation?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/12164_ECCV_2024_paper.php
