priority,review_type,title,year,doi,openalex_url,institution,institution_authors,city,region,country,country_code,lat,lon,source_database,metadata_source,publication_type,task,subtask,needs_review,resolution_confidence,resolution_method,resolution_notes,current_public_preview_status,recommended_action,review_note
P1,blocked_candidate_marker,[Retracted] Comparative Analysis of Deepfake Image Detection Method Using Convolutional Neural Network,2021,10.1155/2021/3111676,https://openalex.org/W4200434941,Manipal University Jaipur,Arjun Singh,Jaipur,,IN,IN,26.91962,75.78781,OpenAlex,,journal,detection,deepfake_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
P1,blocked_candidate_marker,[Retracted] Comparative Analysis of Deepfake Image Detection Method Using Convolutional Neural Network,2021,10.1155/2021/3111676,https://openalex.org/W4200434941,North South University,Hasin Shahed Shad; Md Mashfiq Rizvee; Nishat Tasnim Roza; S. M. Ahsanul Hoq; Mohammad Monirujjaman Khan,Dhaka,,BD,BD,23.7104,90.40744,OpenAlex,,journal,detection,deepfake_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
P1,blocked_candidate_marker,[Retracted] Comparative Analysis of Deepfake Image Detection Method Using Convolutional Neural Network,2021,10.1155/2021/3111676,https://openalex.org/W4200434941,Taif University,Atef Zaguia; Sami Bourouis,Ta'if,,SA,SA,21.27028,40.41583,OpenAlex,,journal,detection,deepfake_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
P1,blocked_candidate_marker,A Bias-Free Training Paradigm for More General AI-generated Image Detection,2025,10.1109/cvpr52734.2025.01741,https://openalex.org/W4413145917,Federico II University Hospital,Fabrizio Guillaro; Giada Zingarini; Davide Cozzolino; Luisa Verdoliva,Naples,,IT,IT,40.85216,14.26811,OpenAlex,,conference,detection,ai_generated_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
P1,blocked_candidate_marker,A Bias-Free Training Paradigm for More General AI-generated Image Detection,2025,10.1109/cvpr52734.2025.01741,https://openalex.org/W4413145917,Google (United States),Ben Usman; Avneesh Sud,Mountain View,,US,US,37.38605,-122.08385,OpenAlex,,conference,detection,ai_generated_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
P1,blocked_candidate_marker,A Bias-Free Training Paradigm for More General AI-generated Image Detection,2025,10.1109/cvpr52734.2025.01741,https://openalex.org/W4413145917,Google DeepMind (United Kingdom),Ben Usman; Avneesh Sud,London,,GB,GB,51.50853,-0.12574,OpenAlex,,conference,detection,ai_generated_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
P1,blocked_candidate_marker,A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,2024,10.62304/jieet.v3i01.77,https://openalex.org/W4393021531,Lamar University,"Anjuman Ara, Md Sajadul Alam, Kamrujjaman & Afia Farjana Mifa",Beaumont,,US,US,30.08605,-94.10185,OpenAlex,,journal,detection,ai_generated_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
P1,blocked_candidate_marker,A Deepfake Image Detection Method Based on a Multi-Graph Attention Network,2025,10.3390/electronics14030482,https://openalex.org/W4406867188,Chongqing University of Science and Technology,Guorong Chen; Chongling Du; Yu Yuan; Hong Hu; Hongjun Duan; Huazheng Zhu,Chongqing,,CN,CN,29.56026,106.55771,OpenAlex,,journal,detection,deepfake_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
P1,blocked_candidate_marker,A GAN-based Approach to Detect AI-Generated Images,2023,10.1109/snpd-winter57765.2023.10223798,https://openalex.org/W4386214843,Bowie State University,Galamo Monkam; Jie Yan,Bowie,,US,US,38.94278,-76.73028,OpenAlex,,conference,detection,ai_generated_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
P1,blocked_candidate_marker,A GAN-based Approach to Detect AI-Generated Images,2023,10.1109/snpd-winter57765.2023.10223798,https://openalex.org/W4386214843,University of Baltimore,Weifeng Xu,Baltimore,,US,US,39.29038,-76.61219,OpenAlex,,conference,detection,ai_generated_image_detection,,high,ror_id,Resolved from authoritative candidate institution metadata.,candidate_only,confirm_marker,
