title,year,authors,venue,doi,openalex_url,arxiv_id,arxiv_url,missing_affiliation,missing_coordinates,needs_review,coverage_status,task,subtask,notes,coordinate_review_status,candidate_institution,candidate_city,candidate_country,candidate_latitude,candidate_longitude,coordinate_source,review_notes
Detecting AI-Generated Images via Diffusion Snap-Back Reconstruction: A Forensic Approach,2026,"['Mohd Ruhul Ameen', 'Akif Islam']","2026 IEEE 2nd International Conference on Quantum Photonics, Artificial Intelligence &amp;amp; Networking (QPAIN)",10.1109/qpain69676.2026.11545865,https://openalex.org/W4415936841,2511.00352,https://arxiv.org/abs/2511.00352,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Methods and trends in detecting AI-generated images: A comprehensive review,2026,"['Arpan Mahara', 'Naphtali Rishe']",Computer Science Review,10.1016/j.cosrev.2026.100908,https://openalex.org/W7125199518,2502.15176v2,https://arxiv.org/abs/2502.15176v2,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
A Novel Framework for Deepfake Image Detection Using Deep Learning Approach,2025,"['Ambika Jaiswal', 'Aruna J. Chamatkar', 'Akash Prakash Kharat', 'Bhisham Sharma', 'Imed Ben Dhaou', 'Suhashini Awadhesh Chaurasia']",2025 22nd International Learning and Technology Conference (L&amp;amp;T),10.1109/lt64002.2025.10940759,https://openalex.org/W4409047068,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
"A Review on Deepfake Image Detection Approaches, Techniques and Methods",2025,"['Jefferson Ng', 'Muhammed Basheer Jasser', 'Bayan Issa', 'Samuel-Soma M. Ajibade', 'Hui Na Chua']",2025 IEEE International Conference on Automatic Control and Intelligent Systems (I2CACIS),10.1109/i2cacis65476.2025.11100461,https://openalex.org/W4413255768,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
A robust ensemble model for Deepfake detection of GAN-generated images on social media,2025,"['Preeti Sharma', 'Manoj Kumar', 'Hitesh Kumar Sharma']",Discover Computing,10.1007/s10791-025-09538-w,https://openalex.org/W4409526923,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Comparative Analysis of Custom CNN Architecture and MobileNet for Deepfake Image Detection,2025,"['Omar Khasro Akram', 'Abdelrahman Mohamed', 'Hager Magdy', 'Mariam M. Abdellatif', 'Sara Abdelghafar']",Lecture notes on data engineering and communications technologies,10.1007/978-3-031-81308-5_6,https://openalex.org/W4407768917,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Deepfake Image Detection Using Convolutional Neural Network,2025,"['Gouri Morankar', 'Rahul Tripathi', 'Shaili Dhanore', 'Yash Tiwari']",Lecture notes in networks and systems,10.1007/978-981-96-1981-8_5,https://openalex.org/W4410026772,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Deepfake Image Detection Using Light-Weight Attention Integrated MobileNetV3 Model,2025,"['Talluri Harshitha', 'Tanya Simhadri', 'Thadakuluru Jaswanthi', 'N. Rayvanth', 'Rimjhim Padam Singh']",Lecture notes in computer science,10.1007/978-3-031-84543-7_11,https://openalex.org/W4409586875,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Deepfake Image Detection with Transfer Learning Models,2025,"['Lutfi Emre Demir', 'Yavuz Canbay']",Bitlis Eren Üniversitesi Fen Bilimleri Dergisi,10.17798/bitlisfen.1610300,https://openalex.org/W4408853348,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
DeepGuardNet: A Novel CNN Architecture for DeepFake Image Detection,2025,"['Arvanitis Theodoros N.', 'Philomina Simon']",Procedia Computer Science,10.1016/j.procs.2025.04.313,https://openalex.org/W4410253117,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Detecting AI-Generated Images Using a Hybrid ResNet-SE Attention Model,2025,"['Abhilash Reddy Gunukula', 'Himel Das Gupta', 'Victor S. Sheng']",Applied Sciences,10.3390/app15137421,https://openalex.org/W4411926716,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Detecting AI-Generated Images Using Facial Similarity and Feature Extraction for Digital Security,2025,"['Man-Ling Liao', 'Jiann-Liang Chen', 'Candra Ahmadi']",IT Professional,10.1109/mitp.2025.3561143,https://openalex.org/W4411172248,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Detecting AI-Generated Images Using Vision Transformers: A Robust Approach for Safeguarding Visual Media Integrity,2025,"['Nouar AlDahoul', 'Yasir Zaki']",SSRN Electronic Journal,10.2139/ssrn.5029893,https://openalex.org/W4406443479,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Harnessing The Power Of AI To Detect AI Generated Images,2025,"['Abhishek Pratap Singh', 'Ritesh Rastogi', 'M R Naveen Kumar']",SSRN Electronic Journal,10.2139/ssrn.5238890,https://openalex.org/W4410120556,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Hierarchical Feature Fusion and Enhanced Attention Mechanism for Robust GAN-Generated Image Detection,2025,"['Weinan Zhang', 'Sanshuai Cui', 'Qi Zhang', 'Biwei Chen', 'Hui Zeng', 'Qi Zhong']",Mathematics,10.3390/math13091372,https://openalex.org/W4409705469,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
InvisMark: Invisible and Robust Watermarking for AI-generated Image Provenance,2025,"['Rui Xu', 'Mengya Hu', 'Deren Lei', 'Yaxi Li', 'David Lowe', 'Alex Gorevski', 'Mingyu Wang', 'Emily S. C. Ching', 'Alex Deng']",2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),10.1109/wacv61041.2025.00098,https://openalex.org/W4409262147,2411.07795v2,https://arxiv.org/abs/2411.07795v2,False,True,True,missing_coordinates,source_attribution,generated_image_source_attribution,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
MSAFNet: multi-scale self-adaptive feature fusion network for AI-generated image detection,2025,"['Liwei Yao', 'Sen Niu', 'Kaili Liao', 'Guobing Zou', 'Kefeng Li', 'Tengbo Zhao']",Measurement Science and Technology,10.1088/1361-6501/ae005c,https://openalex.org/W4413783451,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Multi-modal texture fusion network for detecting AI-generated images,2025,"['Haozheng Yu', 'Bing Xu']",Frontiers in Artificial Intelligence,10.3389/frai.2025.1663292,https://openalex.org/W4415418960,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Noise-Informed Diffusion-Generated Image Detection With Anomaly Attention,2025,"['Weinan Guan', 'Wei Wang', 'Bo Peng', 'Ziwen He', 'Jing Dong', 'Haonan Cheng']",IEEE Transactions on Information Forensics and Security,10.1109/tifs.2025.3573161,https://openalex.org/W4410853187,2506.16743v1,https://arxiv.org/abs/2506.16743v1,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Semantic-Aware Lightweight AI Model for Deepfake Image Detection in Online Retail Platforms,2025,"['Shin‐Hung Pan', 'Akshat Gaurav', 'Saoucène Mahfoudh', 'Turki Althaqafi', 'Wadee Alhalabi', 'Ramakrishnan Raman', 'Ching‐Hsien Hsu']",International Journal on Semantic Web and Information Systems,10.4018/ijswis.384517,https://openalex.org/W4412112598,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
A Hybrid CNN-LSTM Approach for Precision Deepfake Image Detection Based on Transfer Learning,2024,"['Omar Alfarouk Hadi Hasan Al-Dulaimi', 'Sefer Kurnaz']",Electronics,10.3390/electronics13091662,https://openalex.org/W4395673009,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
A Performance Analysis to Detect Synthetic Images with Deep Learning-Based Image Classification,2024,"['Vinay Gautam', 'Mukesh Joshi', 'Raj Gaurang Tiwari', 'Ambuj Kumar Agarwal', 'Naresh Kumar Trivedi']",Lecture notes in networks and systems,10.1007/978-981-97-3594-5_3,https://openalex.org/W4400793389,,,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Advanced Detection of AI-Generated Images Through Vision Transformers,2024,['Darshan Lamichhane'],IEEE Access,10.1109/access.2024.3522759,https://openalex.org/W4405778887,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
An Analysis of Recent Advances in Deepfake Image Detection in an Evolving Threat Landscape,2024,"['Sifat Muhammad Abdullah', 'Aravind Cheruvu', 'Shravya Kanchi', 'Taejoong Chung', 'Peng Gao', 'Murtuza Jadliwala', 'Bimal Viswanath']",2024 IEEE Symposium on Security and Privacy (SP),10.1109/sp54263.2024.00194,https://openalex.org/W4402264364,2404.16212v1,https://arxiv.org/abs/2404.16212v1,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,"['Jordan J. Bird', 'Ahmad Lotfi']",IEEE Access,10.1109/access.2024.3356122,https://openalex.org/W4391019749,2303.14126v1,https://arxiv.org/abs/2303.14126v1,False,True,True,missing_coordinates,uncertain,unknown,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
CNN-LSTM Model for Deepfake Image Detection,2024,"['Reena S. Satpute', 'Chidozie Peter Onwe']","2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry (IDICAIEI)",10.1109/idicaiei61867.2024.10842840,https://openalex.org/W4406611495,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
"Comparative Analysis of Deepfake Image Detection Method Using VGG16, VGG19 and ResNet50",2024,['Zahra Nazemi Ashani'],Journal of Advanced Research in Applied Sciences and Engineering Technology,10.37934/araset.47.1.1628,https://openalex.org/W4399978626,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
DeepFake Image Detection,2024,['Mrs. Prajwal S'],INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,10.55041/ijsrem30215,https://openalex.org/W4394009764,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Deepfake Image Detection Using ResNet50 Model,2024,"['Lee Kar Yee', 'Isredza Rahmi A. Hamid', 'Chuah ChaiWen', 'Zubaile Abdullah', 'Kuryati Kipli', 'Cik Feresa Mohd Foozy']",2024 1st International Conference on Cyber Security and Computing (CyberComp),10.1109/cybercomp60759.2024.10913843,https://openalex.org/W4408401076,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Deepfake Image Detection Using Vision Transformer Models,2024,"['Bogdan Ghita', 'Ievgeniia Kuzminykh', 'Abubakar Usama', 'Taimur Bakhshi', 'Jims Marchang']",2024 IEEE International Black Sea Conference on Communications and Networking (BlackSeaCom),10.1109/blackseacom61746.2024.10646310,https://openalex.org/W4402130168,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
