parent_institution_id,child_institution_id,relationship_type,review_status,evidence_source,evidence_url,notes
institution:3da00d58d4c97192,institution:3be1ce40ea53f6d2,affiliated_institute,confirmed,CSIRO organizational identity,https://www.csiro.au/en/work-with-us/industries/technology/data61,Data61 is CSIRO's data and digital specialist arm; the relationship preserves both identities without merging them.
institution:3afb6cc453e0a8d9,institution:cee70184073782c7,affiliated_institute,confirmed,Official CAS institute directory,https://english.cas.cn/institutes/research_bodies/,Institute of Information Engineering is a confirmed CAS institute; hierarchy does not imply an alias or merge.
institution:3afb6cc453e0a8d9,institution:966ff12833f90bb0,affiliated_institute,confirmed,Official CAS institute directory,https://english.cas.cn/institutes/research_bodies/,Institute of Automation is a confirmed CAS institute; hierarchy does not imply an alias or merge.
institution:3afb6cc453e0a8d9,institution:e278f75918ccf8a7,affiliated_institute,confirmed,Official CAS institute directory,https://english.cas.cn/institutes/research_bodies/,Institute of Computing Technology is a confirmed CAS institute; hierarchy does not imply an alias or merge.
institution:3afb6cc453e0a8d9,institution:9dd7b58a09f6962c,affiliated_institute,confirmed,Official institution page,https://www.cair-cas.org.hk/,Hong Kong Institute of Science and Innovation is a confirmed CAS institute; hierarchy does not imply an alias or merge.
institution:e433baf78e80004b,institution:5d6887482c098264,affiliated_institute,confirmed,Institution Management,,Confirmed through the local admin institution manager.
institution:69309405e04976ec,institution:fe6f0cc7c1924a6a,affiliated_institute,confirmed,Institution Management,,Confirmed through the local admin institution manager.
institution:404cfa1ef241f359,institution:0094b55826d7cf3e,affiliated_institute,confirmed,authoritative-institution-audit,https://www.hku.hk/,Scientifically useful child research unit retained as a separate canonical node.
institution:9ab7959736f7be0d,institution:7c524d46ad18eab1,affiliated_institute,confirmed,authoritative-institution-audit,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Detecting_Compressed_AI-Generated_Images_via_Phase_Spectrum_Robustness_CVPR_2026_paper.pdf,Scientifically useful child research unit retained as a separate canonical node.
institution:9ab7959736f7be0d,institution:28d73eced8e30027,affiliated_institute,confirmed,authoritative-institution-audit,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Detecting_Compressed_AI-Generated_Images_via_Phase_Spectrum_Robustness_CVPR_2026_paper.pdf,Scientifically useful child research unit retained as a separate canonical node.
institution:bf6195b78f6dc951,institution:13bd816e4b457f40,affiliated_institute,confirmed,authoritative-institution-audit,https://pubmed.ncbi.nlm.nih.gov/42401174/,Scientifically useful child research unit retained as a separate canonical node.
institution:4c6b8eaa9cee97d7,institution:d85e8e9a30d5a34b,affiliated_institute,confirmed,Primary paper affiliation and official organization evidence,https://osome.iu.edu/about/support,"Paper explicitly locates OSoMe at Indiana University, Bloomington; official organization identifies it as an IU Bloomington research center. Reuse the existing reviewed Bloomington campus point as a representative campus location, not a claimed lab-building coordinate."
institution:966ff12833f90bb0,institution:65abdc90ae54b870,affiliated_institute,confirmed,Primary paper affiliation and official organization evidence,https://english.ia.ac.cn/ju/,"Official CASIA directory houses MAIS at 95 Zhongguancun East Road, the parent institute's site. Reuse the existing reviewed parent-site point; preserve MAIS identity."
institution:bf6195b78f6dc951,institution:d106c7bdfd6ffad3,affiliated_institute,confirmed,Primary paper affiliation and official organization evidence,https://arxiv.org/pdf/2506.20548v1,"Affiliation 3 explicitly identifies the institute inside Beijing Jiaotong University, Beijing 100044. Reuse the existing reviewed university campus point as representative campus geography, not an institute building coordinate."
institution:46e4866d3b2954ab,institution:ea7b31bae9ab636d,affiliated_institute,confirmed,Primary paper affiliation and official organization evidence,https://www.icst.pku.edu.cn/english/people/ss/index.htm,"Official institute address: No. 128 Zhongguancun North Street, Beijing 100871. Do not copy an unverified parent-campus point for this separately addressed institute; exact geocoder query returned no result."
