source,record_id,paper_id,year,original_title,canonical_title,changed
data/curated/papers.csv,curated:07ee620b8169b67b900f,curated:07ee620b8169b67b900f,2021,Does a GAN leave distinct model-specific fingerprints?,Does a GAN Leave Distinct Model-Specific Fingerprints?,true
data/curated/papers.csv,curated:853c7e2ae5f343438dd5,curated:853c7e2ae5f343438dd5,2022,Did You Use My GAN to Generate Fake? Post-hoc Attribution of GAN Generated Images via Latent Recovery,Did You Use My GAN to Generate Fake? Post-Hoc Attribution of GAN Generated Images via Latent Recovery,true
data/curated/papers.csv,curated:34fdf09ae334914a2723,curated:34fdf09ae334914a2723,2024,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,false
data/curated/papers.csv,curated:e058b4e851ac44180d82,curated:e058b4e851ac44180d82,2024,Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,Tiny Autoencoders Are Effective Few-Shot Generative Model Detectors,true
data/curated/papers.csv,curated:8bc69db49ef4b9db3cd6,curated:8bc69db49ef4b9db3cd6,2025,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,false
data/curated/papers.csv,curated:ce200a9a7aa3dee36fc7,curated:ce200a9a7aa3dee36fc7,2024,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,false
data/curated/papers.csv,curated:66ea5be66b23f7db046a,curated:66ea5be66b23f7db046a,2026,人工智能生成图像检测技术综述,人工智能生成图像检测技术综述,false
data/curated/papers.csv,curated:b65aca5f04f1f41ad725,curated:b65aca5f04f1f41ad725,2024,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,How to Trace Latent Generative Model Generated Images Without Artificial Watermark?,true
data/curated/papers.csv,curated:62b0a9ae8be24d9f02e0,curated:62b0a9ae8be24d9f02e0,2023,Single-Model Attribution of Generative Models Through Final-Layer Inversion,Single-Model Attribution of Generative Models Through Final-Layer Inversion,false
data/curated/papers.csv,curated:af47c4b83dfd43175a4a,curated:af47c4b83dfd43175a4a,2020,Attributing and Detecting Fake Images Generated by Known GANs,Attributing and Detecting Fake Images Generated by Known GANs,false
data/curated/papers.csv,curated:98c0322e2f8dd41d3e9e,curated:98c0322e2f8dd41d3e9e,2024,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,false
data/curated/papers.csv,curated:0849228c52c5759845c2,curated:0849228c52c5759845c2,2025,FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images,FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images,false
data/curated/papers.csv,curated:87ef976b546206fde199,curated:87ef976b546206fde199,2024,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection","DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",false
data/curated/papers.csv,curated:b286f4a33839eed35258,curated:b286f4a33839eed35258,2024,Shadows Don't Lie and Lines Can't Bend! Generative Models Don't know Projective Geometry…for Now,Shadows Don't Lie and Lines Can't Bend! Generative Models Don't Know Projective Geometry…for Now,true
data/curated/papers.csv,curated:1eef07ebb6bd7e596f61,curated:1eef07ebb6bd7e596f61,2024,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,false
data/curated/papers.csv,curated:a0abee05e50398d03f2f,curated:a0abee05e50398d03f2f,2024,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,false
data/curated/papers.csv,curated:f523af1f7fe7b16fda75,curated:f523af1f7fe7b16fda75,2024,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,MaskSim: Detection of Synthetic Images by Masked Spectrum Similarity Analysis,true
data/curated/papers.csv,curated:25c76f83f95efc6207a4,curated:25c76f83f95efc6207a4,2024,Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,Faster Than Lies: Real-Time Deepfake Detection Using Binary Neural Networks,true
data/curated/papers.csv,curated:f7cba2387b8a4131cc7b,curated:f7cba2387b8a4131cc7b,2024,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,Frequency-Aware Deepfake Detection: Improving Generalizability Through Frequency Space Domain Learning,true
data/curated/papers.csv,curated:096573f365e37679c445,curated:096573f365e37679c445,2024,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,false
