paper_id,title,curated_presence,public_status,membership_state,existing_exclusion_ids,exclusion_reason,exclusion_effective_date,exclusion_match_identity,exclusion_doi,doi,arxiv_id,openalex_url,bibliography_status,publication_status,taxonomy_status,affiliation_status,location_status,tasks,image_scopes,research_types,verified_institutions,verified_institution_count,verified_author_institution_relationships,marker_count,map_marker_status,primary_evidence_urls,pending_locations,unresolved_fields,unresolved_reason,overall_state,curation_status,review_status
curated:8aa00584c346440e0c41,Detecting Generated Images by Real Images Only,True,included,CURATED_AND_PUBLIC,,,,,,,2311.00962,https://openalex.org/W4388328956,reviewed,arXiv preprint (2023),reviewed,reviewed,reviewed,detection,fully_generated;generative_editing;deepfake,method,"Chongqing University of Posts and Telecommunications; Tsinghua University; University of California, San Diego",3,7,3,marker_bearing,https://arxiv.org/abs/2311.00962; https://arxiv.org/pdf/2311.00962v1,,,,fully_curated,confirmed,reviewed
curated:2334b1774b5f65217e7b,"Provenance Detection for AI-Generated Images: Combining Perceptual Hashing, Homomorphic Encryption, and AI Detection Models",True,excluded,CURATED_BUT_EXCLUDED,exclusion-afa362e960d2495eb5c5b44c1431736e,other,2026-07-13T20:14:33Z,openalex:https://openalex.org/w4417284156,https://doi.org/10.48550/arxiv.2503.11195,,2503.11195,https://openalex.org/W4417284156,needs_review,arXiv preprint (2025); workshop linkage unresolved,reviewed,needs_review,needs_review,detection;source_attribution,fully_generated,method,Zellic; Massachusetts Institute of Technology; ZK Email; Newcastle University; Polish Academy of Sciences,5,6,0,excluded,https://arxiv.org/abs/2503.11195; https://arxiv.org/pdf/2503.11195v1; https://www.iitr.ac.in/mfsdsai/docs/MFSDSAI_Newsletter_July_2025.pdf; https://openreview.net/forum?id=HrGa8Mq2NE,Newcastle University; Polish Academy of Sciences; ZK Email; Zellic,"Publication-version relation to CODEML/DINOHash is not established. | Shree Singhi and Aayan Yadav each carry superscripts 1,2; only 2 (Zellic) is defined. Affiliation 1 remains absent. | Locations for Zellic, ZK Email, Newcastle University and Polish Academy of Sciences remain pending.","arXiv v1, 2025-03-14, five authors. IIT Roorkee newsletter associates the title with ICML CODEML 2025, while the located DINOHash workshop record has a different title/author list. OpenReview full-text access returned 403/challenge; do not transfer workshop metadata or missing superscript 1 from that other work.",unresolved,needs_review,needs_check
curated:168e13e349336a266783,Prefilled Responses Enhance Zero-Shot Detection of AI-Generated Images,True,included,CURATED_AND_PUBLIC,,,,,,,2506.11031,https://openalex.org/W4415314077,reviewed,NeurIPS 2025 GenProCC workshop paper,reviewed,reviewed,reviewed,detection,fully_generated;deepfake,method;analysis_study,Observatory on Social Media,1,4,1,marker_bearing,https://arxiv.org/abs/2506.11031; https://arxiv.org/pdf/2506.11031v4; https://neurips.cc/virtual/2025/128273; https://neurips.cc/media/neurips-2025/Slides/128273.pdf,,,,fully_curated,confirmed,reviewed
curated:509324a7a8bc94c3eb78,Pay Less Attention to Deceptive Artifacts: Robust Detection of Compressed Deepfakes on Online Social Networks,True,excluded,CURATED_BUT_EXCLUDED,exclusion-bb870f305db948d18fb473d072844c48,other,2026-07-13T20:15:50Z,openalex:https://openalex.org/w4414989730,https://doi.org/10.48550/arxiv.2506.20548,,2506.20548,https://openalex.org/W4414989730,reviewed,arXiv preprint (2025),reviewed,reviewed,reviewed,detection,fully_generated;generative_editing;deepfake,method,"University of Chinese Academy of Sciences; State Key Laboratory of Multimodal Artificial Intelligence Systems; Institute of Information Science, Beijing Jiaotong University",3,9,0,excluded,https://arxiv.org/abs/2506.20548; https://arxiv.org/pdf/2506.20548v1,,,,fully_curated,confirmed,reviewed
curated:40d551857163fa643202,Redefining Generalization in Visual Domains: A Two-Axis Framework for Fake Image Detection with FusionDetect,True,excluded,CURATED_BUT_EXCLUDED,exclusion-17447bd65e3b4aae98831c8d0bf68be0,other,2026-07-13T20:06:06Z,openalex:https://openalex.org/w4414978765,https://doi.org/10.48550/arxiv.2510.05740,,2510.05740,https://openalex.org/W4414978765,reviewed,arXiv preprint (2025),reviewed,reviewed,reviewed,detection,fully_generated,method;dataset;benchmark,Sharif University of Technology,1,4,0,excluded,https://arxiv.org/abs/2510.05740; https://arxiv.org/pdf/2510.05740v2,,,,fully_curated,confirmed,reviewed
curated:fc87c72c7e8c831652ea,LADLE-MM: Limited Annotation Based Detector with Learned Ensembles for Multimodal Misinformation,True,included,CURATED_AND_PUBLIC,,,,,,,2512.20257,https://openalex.org/W7117248393,reviewed,arXiv preprint (2025),reviewed,reviewed,reviewed,detection,deepfake,method,Sapienza University of Rome,1,3,1,marker_bearing,https://arxiv.org/abs/2512.20257; https://arxiv.org/pdf/2512.20257v1,,,,fully_curated,confirmed,reviewed
curated:0e0f70c0146b624226ca,UniAIDet: A Unified and Universal Benchmark for AI-Generated Image Content Detection and Localization,True,included,CURATED_AND_PUBLIC,,,,,,,2510.23023,https://openalex.org/W7101910542,reviewed,arXiv preprint (2025),reviewed,reviewed,needs_review,detection;localization,fully_generated;generative_editing;deepfake,dataset;benchmark;analysis_study,Wangxuan Institute of Computer Technology,1,2,0,markerless,https://arxiv.org/abs/2510.23023; https://arxiv.org/pdf/2510.23023v1,Wangxuan Institute of Computer Technology,"Wangxuan Institute coordinates remain pending: official address is documented, but exact institutional geocoding returned no result.","Wangxuan Institute coordinates remain pending: official address is documented, but exact institutional geocoding returned no result.",bibliography_taxonomy_verified_affiliation_pending,needs_review,needs_check
curated:4bafe8e39a3e39ed2088,Can VLMs Detect and Localize Fine-Grained AI-Edited Images?,True,included,CURATED_AND_PUBLIC,,,,,,,2505.15644,https://openalex.org/W4415329274,reviewed,arXiv preprint (2025),reviewed,reviewed,reviewed,detection;localization,generative_editing,method;dataset;benchmark,The Hong Kong University of Science and Technology (Guangzhou); Ant Group; Tsinghua University; Shandong University; Wuhan University,5,13,5,marker_bearing,https://arxiv.org/abs/2505.15644; https://arxiv.org/pdf/2505.15644v2,,,,fully_curated,confirmed,reviewed
curated:f0a62826c32151c731c7,The SAFE Image Authenticity Challenge: Detecting and Localizing Partial and Fully Synthetic Manipulations,True,included,CURATED_AND_PUBLIC,,,,,,10.1109/wacvw68408.2026.00103,,https://openalex.org/W7172429649,reviewed,WACV 2026 workshop paper,reviewed,reviewed,needs_review,detection;localization,fully_generated;generative_editing;traditional_manipulation,dataset;benchmark,"Drexel University; Underwriters Laboratories; Aptima, Inc.",3,7,2,marker_bearing,https://openaccess.thecvf.com/content/WACV2026W/SynRDinBAS/html/Nguyen_The_SAFE_Image_Authenticity_Challenge_Detecting_and_Localizing_Partial_and_WACVW_2026_paper.html; https://openaccess.thecvf.com/content/WACV2026W/SynRDinBAS/papers/Nguyen_The_SAFE_Image_Authenticity_Challenge_Detecting_and_Localizing_Partial_and_WACVW_2026_paper.pdf,Underwriters Laboratories,Underwriters Laboratories coordinates remain pending; the paper gives no office and an exact institution geocoder query returned no result.,Underwriters Laboratories coordinates remain pending; the paper gives no office and an exact institution geocoder query returned no result.,bibliography_taxonomy_verified_affiliation_pending,needs_review,needs_check
curated:980afddea0a156b5020b,Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,True,included,CURATED_AND_PUBLIC,,,,,,,,,reviewed,CVWW 2026 conference paper,reviewed,reviewed,reviewed,detection,fully_generated;deepfake,method;dataset;benchmark,Czech Technical University in Prague,1,2,1,marker_bearing,https://cmp.felk.cvut.cz/cvww2026/assets/pdfs/CVWW2026-31-final.pdf,,,,fully_curated,confirmed,reviewed
