batch,title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,notes,review_decision,review_notes
final_uncovered_forced,"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,query_failed,,,,,,,,"OpenAlex queries failed: 'What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026': Could not fetch https://api.openalex.org/works?search=What+is+Real+Anymore%3F+A+Solution+to+Detect+Hyper+Realistic+AI-Generated+Imagery.+CCWC%2C+2026&sort=relevance_score%3Adesc&per-page=10: HTTP 400 | 'What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery CCWC': Could not fetch https://api.openalex.org/works?search=What+is+Real+Anymore%3F+A+Solution+to+Detect+Hyper+Realistic+AI-Generated+Imagery+CCWC&sort=relevance_score%3Adesc&per-page=10: HTTP 400",,
batch2,Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,An Adversarial Approach for Anti-Detection of AI Generated Images through Sample Generation,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Are GAN generated images easy to detect? A critical analysis of the state-of-the-art,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
next50,Are High-Quality AI-Generated Images More Difficult for Models to Detect?,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 400: Bad Request,,
next50,"Art or Artifact? Segmenting AI-Generated Images for Deeper Detection. WDC, 2025",2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 400: Bad Request,,
batch2,Bridging the Gap Between Ideal and Real-world Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
next50,Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 400: Bad Request,,
batch2,Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,DBINDS - Can Initial Noise from Diffusion Model Inversion Help Reveal AI-Generated Videos?,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Fixed-Threshold Evaluation of a Hybrid CNN–ViT for AI-Generated Image Detection Across Photos and Art,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,FragFake: A Dataset for Fine-Grained Detection of Edited Images with Vision Language Models. 20250x0x,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,"Human vs. AI: A Novel Benchmark and a Comparative Study on the Detection of Generated Images and the Impact of Prompts. GenAIDetect, 2025",2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Is Artificial Intelligence Generated Image Detection a Solved Problem?,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
batch2,Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,query_failed,,,,,,,,OpenAlex query failed: HTTP Error 429: Too Many Requests,,
