canonical_paper_identity,title,previous_publication_type,canonical_venue_id,canonical_venue_name,canonical_venue_type,arxiv_id,arxiv_url,doi,repository_identifiers,proposed_publication_type,applied_rule,ambiguity_status
curated:07ee620b8169b67b900f,Does a GAN leave distinct model-specific fingerprints?,conference,venue:conference32nd-british-machine-vision-conference-bmvc-2021:main,"Conference32nd British Machine Vision Conference, BMVC 2021",conference,,,10.5244/c.35.53,,conference,canonical_venue_type,resolved
curated:853c7e2ae5f343438dd5,Did You Use My GAN to Generate Fake? Post-hoc Attribution of GAN Generated Images via Latent Recovery,conference,venue:ijcnn:main,International Joint Conference on Neural Networks,conference,,,10.1109/ijcnn55064.2022.9892704,,conference,canonical_venue_type,resolved
curated:34fdf09ae334914a2723,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,conference,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2402.10401,,10.1109/cvpr52733.2024.01026,2402.10401,conference,canonical_venue_type,resolved
curated:e058b4e851ac44180d82,Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,journal,venue:florence-research-university-of-florence:main,Florence Research (University of Florence),journal,,,10.1109/wifs61860.2024.10810686,,journal,canonical_venue_type,resolved
curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,conference,venue:eccv:workshops,European Conference on Computer Vision,conference,2408.09153,,10.1007/978-3-031-92648-8_22,2408.09153,conference,canonical_venue_type,resolved
curated:ce200a9a7aa3dee36fc7,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,conference,venue:international-conference-on-pattern-recognition:main,International Conference on Pattern Recognition,conference,2409.03109,,10.1007/978-3-031-78305-0_11,2409.03109,conference,canonical_venue_type,resolved
curated:66ea5be66b23f7db046a,人工智能生成图像检测技术综述,journal,venue:journal-of-image-and-graphics:main,Journal of Image and Graphics,journal,,,10.11834/jig.250053,,journal,canonical_venue_type,resolved
curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,conference,venue:icml:main,International Conference on Machine Learning,conference,2405.13360,,10.48550/arxiv.2405.13360,2405.13360; 10.48550/arxiv.2405.13360,conference,canonical_venue_type,resolved
curated:62b0a9ae8be24d9f02e0,Single-Model Attribution of Generative Models Through Final-Layer Inversion,conference,venue:icml:main,International Conference on Machine Learning,conference,2306.06210,,10.48550/arxiv.2306.06210,2306.06210; 10.48550/arxiv.2306.06210,conference,canonical_venue_type,resolved
curated:af47c4b83dfd43175a4a,Attributing and Detecting Fake Images Generated by Known GANs,conference,venue:ieee-security-and-privacy:workshops,IEEE Security and Privacy,conference,,,10.1109/spw50608.2020.00019,,conference,canonical_venue_type,resolved
curated:98c0322e2f8dd41d3e9e,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,book,venue:lncs:main,Lecture Notes in Computer Science,book,,,10.1007/978-3-031-73033-7_16,,book,canonical_venue_type,resolved
curated:0849228c52c5759845c2,FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images,preprint,venue:arxiv:main,arXiv,preprint,2507.02995,,10.48550/arxiv.2507.02995,2507.02995; 10.48550/arxiv.2507.02995,preprint,existing_value,resolved
curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",preprint,venue:arxiv:main,arXiv,preprint,2406.00856,,10.48550/arxiv.2406.00856,2406.00856; 10.48550/arxiv.2406.00856,preprint,existing_value,resolved
curated:b286f4a33839eed35258,Shadows Don't Lie and Lines Can't Bend! Generative Models Don't know Projective Geometry…for Now,journal,,,journal,,,10.1109/cvpr52733.2024.02658,,journal,canonical_venue_type,resolved
curated:1eef07ebb6bd7e596f61,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,conference,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2406.08603,,10.1109/cvpr52733.2024.01023,2406.08603,conference,canonical_venue_type,resolved
curated:a0abee05e50398d03f2f,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,journal,,,journal,,,10.1109/cvpr52733.2024.00872,,journal,canonical_venue_type,resolved
curated:f523af1f7fe7b16fda75,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,journal,venue:zenodo:main,Zenodo,preprint,,,10.1109/cvprw63382.2024.00390,,journal,existing_value,resolved
curated:25c76f83f95efc6207a4,Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,journal,venue:iris-research-product-catalog-sapienza-university-of-rome:main,IRIS Research product catalog (Sapienza University of Rome),journal,,,10.1109/cvprw63382.2024.00381,,journal,canonical_venue_type,resolved
curated:f7cba2387b8a4131cc7b,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,,,10.1609/aaai.v38i5.28310,,conference,canonical_venue_type,resolved
curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,book,venue:lncs:main,Lecture Notes in Computer Science,book,,,10.1007/978-3-031-73036-8_12,,book,canonical_venue_type,resolved
curated:a6f370defb21b2e07381,Your Diffusion Model is an Implicit Synthetic Image Detector,conference,venue:eccv:workshops,European Conference on Computer Vision,conference,,,10.1007/978-3-031-92648-8_25,,conference,canonical_venue_type,resolved
curated:a87d86d7032f5a751004,ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,journal,venue:figshare:main,Figshare,preprint,,,10.1145/3658644.3690297,,journal,existing_value,resolved
curated:d740749676417c725798,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,journal,,,journal,,,10.1109/wacv57701.2024.00377,,journal,canonical_venue_type,resolved
curated:253c210194ac9348f9e6,CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,journal,,,journal,,,10.1145/3652583.3658035,,journal,canonical_venue_type,resolved
curated:c9485f4d5346304272f2,Frequency Masking for Universal Deepfake Detection,journal,,,journal,2401.06506,,10.1109/icassp48485.2024.10446290,2401.06506,journal,canonical_venue_type,resolved
curated:8603d8942c241dd876ed,On the Exploitation of DCT-Traces in the Generative-AI Domain,journal,,,journal,,,10.1109/icip51287.2024.10648013,,journal,canonical_venue_type,resolved
curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,journal,,,journal,,,10.1145/3658664.3659652,,journal,canonical_venue_type,resolved
curated:ef5f9b419eef35c5c255,Where's the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,preprint,venue:arxiv:main,arXiv,preprint,2505.01008,,10.48550/arxiv.2505.01008,2505.01008; 10.48550/arxiv.2505.01008,preprint,existing_value,resolved
