institution_id,current_canonical_name,proposed_english_name,country,city,institution_type,existing_aliases,source_or_evidence,decision,decision_reason,affected_paper_count,affected_relationship_count,collision_status,review_required
institution:f29a43c08a37e42f,Technische Universität Darmstadt,Technical University of Darmstadt,,,university,Technische Universität Darmstadt,https://www.ulb.tu-darmstadt.de/media/ulb/alter_webauftritt/pflicht_epublishing/pdf_11/publikationsrichtlinie-en.pdf,rename,Official publication guidelines designate this as the binding English equivalent.,0,0,none,false
institution:eb0a1398c50d0281,Université Paris-Est Créteil,University Paris-Est Créteil,,,university,Université Paris-Est Créteil,https://www.en.u-pec.fr/en/getting-to-upec,rename,Official English UPEC site uses University Paris-Est Créteil.,0,0,none,false
institution:cf2e81e79ecee1b8,İstanbul Nişantaşı Üniversitesi,Istanbul Nisantasi University,,,university,İstanbul Nişantaşı Üniversitesi,https://www.nisantasi.edu.tr/index2?dil=eng,rename,Official English site uses the unaccented English display.,0,0,none,false
institution:7aae859eefe8edd1,Chang’an University,Chang'an University,China,Xi’an,university,Chang’an University,https://en.chd.edu.cn/,rename,Official English homepage and address use the ASCII-apostrophe English name.,1,1,none,false
institution:afc29be68ac419be,Xi’an Jiaotong University,Xi'an Jiaotong University,China,Xi’an,university,Xi’an Jiaotong University,https://en.xjtu.edu.cn/index.html,rename,Official English homepage uses the ASCII-apostrophe English name.,6,6,none,false
institution:29645bb566fcd576,Centre National de la Recherche Scientifique,French National Centre for Scientific Research,France,Paris,research_unit,CNRS; Centre National de la Recherche Scientifique,https://www.cnrs.fr/en/press/uarizona-partners-french-national-centre-scientific-research-establish-france-arizona,rename,Official CNRS English site expands the organization name in English.,2,2,none,false
institution:daff50b65ce469a3,Université Paris Cité,Paris Cité University,France,Paris,university,Université Paris Cité,https://u-paris.fr/en/circle-u-opportunities-for-students/,rename,Official English university page uses Paris Cité University.,1,1,none,false
institution:647c89e2c8a671f8,Association Clinique et Thérapeutique Infantile du Val de Marne,,,,research_unit,,,review,No sufficiently authoritative official English canonical name found; do not invent a translation.,0,0,none,true
institution:4e4d723f7fa11734,Universidad Politécnica de Madrid,Technical University of Madrid,,,university,,https://www.upm.es/internacional/UPM/Historical%20Summary,review,Official English history page uses Technical University of Madrid but that display name is already held by active institution:2d64a600151c6a44; identity resolution is required before any rename. Same-name canonical IDs: institution:2d64a600151c6a44.,0,0,existing_canonical_collision,true
institution:541450f1f663948c,ISTI-CNR,,Italy,Pisa,research_unit,,,review,Acronym is an established international display but expansion and English branding require manual confirmation.,1,1,none,true
institution:91aeee1163fdce71,A*STAR,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,2,2,none,false
institution:479e5a2ad13993e2,APJ Abdul Kalam Technological University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:61adfe1cfbad3b19,Academy of Broadcasting Science,,,,other,,,keep,No local-language or alias-promotion candidate signal.,1,1,none,false
institution:a3c0c022b00a11a5,Adobe Systems (United States),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:6c7dc4ecc36c32ba,"Agency for Science, Technology and Research",,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,1,1,none,false
institution:c04d9c3ee6b155d2,Ahsanullah University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:030ecebfe13ca82f,Ain Shams University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:091dadcc6613c152,Al-Azhar University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ed46151823d63d21,Albany State University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:cc0b303e1e182195,Alibaba Group (China),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:1b35f3068bbd3352,Aligarh Muslim University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:5dc3b0fc32168ce3,Altınbaş University,,,,university,,https://international.altinbas.edu.tr/,keep,Official English brand retains Altınbaş.,0,0,none,false
institution:75d38d0aaffc30fe,Amazon GenAI,,,,company,,,keep,No local-language or alias-promotion candidate signal.,1,1,none,false
institution:f7126dbda09b4f9a,Amity University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:aa230e9d21cefa3b,Anhui Business College,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:16ee891260af74c0,Anhui University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:6f15f620028933fb,Anqing Normal University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:69d7dc38d11d5f80,Aristotle University of Thessaloniki,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:583e34971c9eeb5b,Artificial Intelligence in Medicine (Canada),,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:fbe1022dfe93b657,Asia University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:080a1da6ac4d04fd,Baidu (China),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:a273d5856c9d065c,Bangladesh University of Engineering and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:13600b8b1a017cee,Bar-Ilan University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:042deeccb5521315,Bay Institute,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ea6661ca99f0c1aa,Beijing Information Science & Technology University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:9cd15ab643d7131f,Beijing Institute of Graphic Communication,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:8448eafa665a5096,Berkeley College,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ffd387a3478eb9e9,"Birla Institute of Technology, Mesra",,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:2c846bda509d7d12,Boston University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:86acee6f855e6b06,Bowie State University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:685d63d32831e960,Brandman University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:dd9f67a9f83f9649,Bucknell University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:e6405787e8a9312c,CNRS,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,1,1,none,false
institution:d0cac2bc9207e50f,California University of Pennsylvania,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:008fc27550d4153d,Canadian International College,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:d04d3d98b14dcbc7,Cape Peninsula University of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:6398f2ea80ac2393,Center for Security and Emerging Technology,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:f841aa8a7a0d29aa,Centre for Research and Technology Hellas (CERTH),,,,research_unit,Information Technologies Institute,repository confirmed aliases,keep,Existing alias names a constituent institute and does not replace the English canonical organization.,1,1,none,false
institution:48be4a3c2949fee3,Changsha University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:6bdc62fb06ac696f,Changsha University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:1633fd8e927f7e3e,Chaoyang University of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:636b930e320fc074,Chengdu University of Information Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:7ecedd9572b7f6ba,China Academy of Information and Communications Technology,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:b3e3a87d3fc950c5,China People's Public Security University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:2f4cdd3b31b9a5db,China Telecom,,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:0be9d444a6c88894,"China Telecom Cloud Technology Co., Ltd.",,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:3f9391add8daa620,Chinese People's Armed Police Force Engineering University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ff4b6fb0e7e3f155,Chinese University of Hong Kong,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:d31a9474efa16c6c,"Chinese University of Hong Kong, Shenzhen",,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:b98073e3070abd17,Chitkara University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:2f4b9adadf7f5004,Chongqing University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:1e0dd88726fb992c,Chonnam National University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:8ee530c781dde9f8,Chung-Ang University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:cedf27014e59d7d9,"City University of Hong Kong, Shenzhen Research Institute",,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:769b711ed2fee7c0,City University of Macau,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:17bf653107a56b33,Columbia University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:7182b5831d4ba8a2,Comilla University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:3da00d58d4c97192,Commonwealth Scientific and Industrial Research Organisation,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:35f84ec19dab5880,Computer Research Institute of Montreal,,,,research_unit,Computer Research Institute of Montréal,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:3d7a55d07b650cfa,Czech Technical University in Prague,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ec338d817ec6cd01,Dar Al-Hekma University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:753a256f592cb1fe,Data Assurance and Communication Security,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
