public_paper_id,title,doi,arxiv_id,publication_type,venue,current_public_source,candidate_match,curated_match,override_match,alternate_identity_match,status,root_cause,proposed_action,durable_evidence_path
,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,,2604.16879,preprint,arXiv,,data/manual/key_paper_openalex_manual_imports.csv,,data/manual/paper_arxiv_links.csv,data/manual/key_papers_enriched.csv,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,https://doi.org/10.1109/tcsvt.2026.3656696,,journal,IEEE Transactions on Circuits and Systems for Video Technology,,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Explainable Synthetic Image Detection Through Diffusion Timestep Ensembling,https://doi.org/10.1609/aaai.v40i13.38060,,conference,AAAI Conference on Artificial Intelligence,,data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,HRR: Hierarchical Retrospection Refinement for Generated Image Detection,https://doi.org/10.1016/j.patrec.2026.04.016,2502.17862,journal,Pattern Recognition Letters,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,"Interpol Review of Detection of AI-Generated Image and Video Deepfakes, 2022-2025",10.1016/j.fsisyn.2026.100704,,journal,Forensic Science International Synergy,,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Penny-Wise and Pound-Foolish in AI-Generated Image Detection,https://doi.org/10.1109/tpami.2026.3664388,,journal,IEEE Transactions on Pattern Analysis and Machine Intelligence,,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,https://doi.org/10.1109/tmm.2026.3668513,,journal,IEEE Transactions on Multimedia,,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Transferable Dual-Domain Feature Importance Attack Against AI-Generated Image Detector,10.1109/lsp.2026.3658434,,journal,IEEE Signal Processing Letters,,data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,What Is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery,10.1109/ccwc67433.2026.11393845,,conference,2026 IEEE 16th Annual Computing and Communication Workshop and Conference (CCWC),,,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_openalex_ready_all_batches.csv
,Zooming In on Fakes: A Novel Dataset for Localized AI-Generated Image Detection with Forgery Amplification Approach,10.1609/aaai.v40i4.37240,2504.11922,conference,AAAI Conference on Artificial Intelligence,,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv
