title,year,author,institution,current_country,current_country_code,raw_affiliation,reason,suggested_action,suggested_institution,confidence,notes
A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,2024,"Anjuman Ara, Md Sajadul Alam, Kamrujjaman & Afia Farjana Mifa",Lamar University,US,US,"College of Business, Beaumont, Texas, USA",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
A Hybrid CNN-LSTM Approach for Precision Deepfake Image Detection Based on Transfer Learning,2024,Omar Alfarouk Hadi Hasan Al-Dulaimi,Altınbaş University,TR,TR,"Department of Electrical & Computer Engineering, Graduate School of Science and Engineering, Altinbas University, Istanbul 34218, Turkey",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
A Hybrid CNN-LSTM Approach for Precision Deepfake Image Detection Based on Transfer Learning,2024,Sefer Kurnaz,Altınbaş University,TR,TR,"Department of Electrical & Computer Engineering, Graduate School of Science and Engineering, Altinbas University, Istanbul 34218, Turkey",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
A Performance Analysis to Detect Synthetic Images with Deep Learning-Based Image Classification,2024,Mukesh Joshi,Graphic Era University,IN,IN,"School of Computing, Graphic Era Hill University, Bhimtal Campus, Dehradun, UK, India",country_mismatch_raw_text_suggests_GB,manual review,,medium,Automatic local audit finding; verify before adding an override.
AI Generated Image Detection Using Neural Networks,2024,Mrs D. Suma,SRM Institute of Science and Technology,IN,IN,"Students , Department Of Computer Science & Engineering, Dhanekula Institute Of Engineering And Technology, Ganguru, India",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Any-Resolution AI-Generated Image Detection by Spectral Learning,2025,Dimitrios Karageorgiou,Centre for Research and Technology Hellas,GR,GR,"CERTH,Information Technologies Institute,Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Any-Resolution AI-Generated Image Detection by Spectral Learning,2025,Ioannis Kompatsiaris,Centre for Research and Technology Hellas,GR,GR,"CERTH,Information Technologies Institute,Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Any-Resolution AI-Generated Image Detection by Spectral Learning,2025,Symeon Papadopoulos,Centre for Research and Technology Hellas,GR,GR,"CERTH,Information Technologies Institute,Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,Christos Koutlis,Information Technologies Institute,GR,GR,"CERTH-ITI, Thessaloniki, n/a, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,Dimitrios Karageorgiou,Information Technologies Institute,GR,GR,"CERTH-ITI, Thessaloniki, n/a, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
