title,year,expected_task,authors,doi,arxiv_id,openalex_url,paper_url,source_doc,section,notes,supplement_reason,manual_review
Scalable fine-grained generated image classification based on deep metric learning,2019,source_attribution,"Xuan, Xinsheng and Peng, Bo and Wang, Wei and Dong, Jing. Chinese Academy of Sciences, China",10.48550/arxiv.1912.11082,,https://openalex.org/W2997633607,http://arxiv.org/abs/1912.11082,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 2019",linked_openalex_but_missing_from_candidate_queries,true
Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,detection_and_source_attribution,"Joel Frank, Thorsten Eisenhofer, Lea Schönherr, Asja Fischer, Dorothea Kolossa, Thorsten Holz",10.5555/3524938.3525242,,https://openalex.org/W3012033723,https://dl.acm.org/doi/pdf/10.5555/3524938.3525242,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,Identification | Detection,"source_suffix=ICML, 2020",linked_openalex_but_missing_from_candidate_queries,true
Does a GAN leave distinct model-specific fingerprints?,2021,source_attribution,"Yuzhen Ding, Nupur Thakur and baoxin Li. Arizona State University, USA",10.5244/c.35.53,,https://openalex.org/W4411245244,https://www.bmvc2021-virtualconference.com/assets/papers/0197.pdf,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=BMVC 2021,linked_openalex_but_missing_from_candidate_queries,true
On attribution of deepfakes,2021,source_attribution,"Baiwu Zhang, Jin Peng Zhou, Ilia Shumailov, Nicolas Papernot. University of Toronto, Canada",10.48550/arxiv.2008.09194,,https://openalex.org/W3134567460,http://arxiv.org/abs/2008.09194,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=arXiv 20210303,linked_openalex_but_missing_from_candidate_queries,true
Progressive Open Space Expansion for Open-Set Model Attribution,2023,source_attribution,"Tianyun Yang, Danding Wang, Fan Tang, Xinying Zhao, Juan Cao, Sheng Tang. Chinese Academy of Sciences",10.1109/cvpr52729.2023.01522,,https://openalex.org/W4386075764,https://openaccess.thecvf.com/content/CVPR2023/papers/Yang_Progressive_Open_Space_Expansion_for_Open-Set_Model_Attribution_CVPR_2023_paper.pdf,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR 2023,linked_openalex_but_missing_from_candidate_queries,true
Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,source_attribution,"Jun Wang, Omran Alamayreh, Benedetta Tondi, Mauro Barni. University of Siena, Italy",10.1109/cvprw59228.2023.00102,,https://openalex.org/W4385800597,https://openaccess.thecvf.com/content/CVPR2023W/WMF/papers/Wang_Open_Set_Classification_of_GAN-Based_Image_Manipulations_via_a_ViT-Based_CVPRW_2023_paper.pdf,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR Workshops 2023,linked_openalex_but_missing_from_candidate_queries,true
Open Set Synthetic Image Source Attribution,2023,source_attribution,"Shengbang Fang, Tai D. Nguyen, Matthew C. Stamm. Drexel University, USA",10.48550/arxiv.2308.11557,,https://openalex.org/W4386114393,https://papers.bmvc2023.org/0659.pdf,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=BMVC 2023,linked_openalex_but_missing_from_candidate_queries,true
ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,source_attribution,"Hae Jin Song, Mahyar Khayatkhoei, Wael AbdAlmageed",10.1109/cvpr52733.2024.01026,,https://openalex.org/W4402702998,https://openaccess.thecvf.com/content/CVPR2024/papers/Song_ManiFPT_Defining_and_Analyzing_Fingerprints_of_Generative_Models_CVPR_2024_paper.pdf,Z_Update_SIA.docx,Identification,"source_suffix=CVPR, 2024",linked_openalex_but_missing_from_candidate_queries,true
Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,source_attribution,"Luca Bindini, Giulia Bertazzini, Daniele Baracchi, Dasara Shullani, Paolo Frasconi, and Alessandro Piva. University of Florence, Italy",10.1109/wifs61860.2024.10810686,,https://openalex.org/W4405846636,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10810686&tag=1,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=WIFS, 2024",linked_openalex_but_missing_from_candidate_queries,true
Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,source_attribution,"Dario Cioni, Christos Tzelepis, Lorenzo Seidenari, and Ioannis Patras. University of Florence",10.48550/arxiv.2408.09153,,https://openalex.org/W4402510040,http://arxiv.org/abs/2408.09153,Z_Update_SIA.docx,Identification,"source_suffix=ECCV Workshop, 2024",linked_openalex_but_missing_from_candidate_queries,true
