candidate_id,title,original_policy_cluster,exact_original_unresolved_question,primary_source,decisive_evidence,evidence_resolution_outcome,narrowed_scope_rationale,identity_reconciliation_outcome,added,paper_id,doi,arxiv_id,openalex_id,forensic_task,image_scope,research_type,verified_affiliations,unresolved_metadata,marker_count,final_review_status,next_action
audit:29fa62c1fc9fd79d,"ILLUSION: Unveiling Truth with a Comprehensive Multi-Modal, Multi-Lingual Deepfake Dataset",FACE,"Does ILLUSION independently benchmark broader synthetic-image detection beyond faces, audio spoofing and talking-head/video forgeries? Identify the image subset and its separate results.",https://proceedings.iclr.cc/paper_files/paper/2025/hash/08f9de0232c0b485110237f6e6cf88f1-Abstract-Conference.html,"Sections 3.1 and 4, Tables 5-6 and 10-11, separately evaluate still images in Set B and Set C. Set B includes SDXL, Kandinsky 2.1, and SDXL-Turbo imagery; Set C includes 20,000 Midjourney and 1,000 ArtGuru images. Table 11 reports image-source attribution separately from audio and video.",EVIDENCE_CONFIRMS_SCOPE,"The paper independently benchmarks passive detection and source attribution for fully generated, non-face still images.",MISSING_ADD,yes,curated:a867abd584976f8b2f41,,,,detection;source_attribution,fully_generated;deepfake,dataset;benchmark;analysis_study,Indian Institute of Technology Jodhpur [Kartik Thakral; Rishabh Ranjan; Akanksha Singh; Akshat Jain; Mayank Vatsa; Richa Singh] | Indian Institute of Science Education and Research Bhopal [Akanksha Singh],"No DOI, arXiv ID, or OpenAlex ID was established. Coordinates pending for: Indian Institute of Science Education and Research Bhopal; Indian Institute of Technology Jodhpur.",0,reviewed,Integrated into the authoritative successor corpus.
audit:2fa7c05b3b864bfe,Omni-IML: Towards Unified Interpretable Image Manipulation Localization,IMAGE,"Which of Omni-IML’s four tasks and Omni-273k manipulation types involve generative AI edits or fully generated images, and are their forensic results reported separately?",https://proceedings.iclr.cc/paper_files/paper/2026/hash/49b80bb0eddf1e12a262ab6dfda2fcf6-Abstract-Conference.html,"Section 4/Table 1 marks AIGC among Omni-273k manipulation types across the unified domains. Section 5/Table 2 reports natural-image localization separately on CocoGlide, a 512-image GLIDE diffusion-editing test set; the appendix preserves the per-dataset split.",EVIDENCE_CONFIRMS_SCOPE,"Generative editing is a substantive, independently scored localization condition, not merely a dataset annotation or architectural claim.",MISSING_ADD,yes,curated:4589fc4d634db5d9f771,,2411.14823,W4404987440,localization,generative_editing;deepfake;traditional_manipulation,method;dataset,South China University of Technology [Chenfan Qu; Lianwen Jin] | Peking University [Yiwu Zhong] | IntSig Information Co. Ltd [Fengjun Guo] | INTSIG-SCUT Joint Lab on Document Analysis and Recognition [Fengjun Guo; Lianwen Jin],Coordinates pending for: INTSIG-SCUT Joint Lab on Document Analysis and Recognition; IntSig Information Co. Ltd.,2,reviewed,Integrated into the authoritative successor corpus.
audit:305b25515850fed3,M2SFormer: Multi-Spectral and Multi-Scale Attention with Edge-Aware Difficulty Guidance for Image Forgery Localization,IMAGE,"Which evaluated M2SFormer datasets contain generatively produced manipulations, and are localization results for those manipulations substantive rather than a classical-only evaluation?",https://openaccess.thecvf.com/content/ICCV2025/html/Nam_M2SFormer_Multi-Spectral_and_Multi-Scale_Attention_with_Edge-Aware_Difficulty_Guidance_for_ICCV_2025_paper.html,"Section 4 and Tables 1-2 train on CASIAv2 or DIS25k and test CASIAv1, Columbia, IMD2020, CoMoFoD, In the Wild, and MISD. The paper identifies the evaluated forgery types as splicing and copy-move; DIS25k is a composition/splicing corpus, with no modern generative-edit subset or separate generative result.",EVIDENCE_EXCLUDES_SCOPE,"The substantive experiments cover classical splicing, copy-move, and compositing only.",,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:3be864bb29fef423,AdaIFL: Adaptive Image Forgery Localization via a Dynamic and Importance-aware Transformer Network,IMAGE,Does AdaIFL evaluate generative inpainting/editing or partially synthesized images separately from classical tampering? Identify those datasets and results.,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/6023_ECCV_2024_paper.php,"Section 4.1 and Tables 1-3 use CASIAv2, IMD2020, CAT-Net synthetic training data, CASIAv1, Coverage, DSO-1, NIST16, and MISD. The evaluated sets are classical copy-move/splicing/compositing benchmarks; no diffusion or other modern generative-edit subset is reported separately.",EVIDENCE_EXCLUDES_SCOPE,The primary experiments do not substantiate generatively edited or partially synthesized inputs.,,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:4f169a0ad566bd1d,Image Manipulation Detection With Implicit Neural Representation and Limited Supervision,IMAGE,"Do the INR limited-supervision experiments include independently evaluated generative edits or generated images, rather than only conventional image manipulation?",https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/12164_ECCV_2024_paper.php,"Section 4 identifies IEdit and MagicBrush as language-driven datasets with novel edits, distinct from CASIA, Coverage, Columbia, IMD2020, and NIST16. Table 3 independently reports IEdit accuracy/image F1 and MagicBrush pixel/image/combined F1 and IoU.",EVIDENCE_CONFIRMS_SCOPE,Instruction-guided generative editing is independently evaluated for detection and localization.,MISSING_ADD,yes,curated:586904a7f30b6a863602,10.1007/978-3-031-73223-2_15,,W4404124998,detection;localization,generative_editing;traditional_manipulation,method,"University at Albany, State University of New York [Zhenfei Zhang; Xin Li; Ming-Ching Chang] | Stanford University [Mingyang Li] | National Yang Ming Chiao Tung University [Jun-Wei Hsieh]","Coordinates pending for: University at Albany, State University of New York.",2,reviewed,Integrated into the authoritative successor corpus.
audit:5485e42ab03970ce,IMDL-BenCo: A Comprehensive Benchmark and Codebase for Image Manipulation Detection & Localization,IMAGE,Do IMDL-BenCo’s two evaluation protocols substantively cover generative-image forensics? Identify the generative datasets/results; general-purpose code reuse alone is insufficient.,https://papers.nips.cc/paper_files/paper/2024/hash/f280a398c243b5fdaa09f57ece880fc9-Abstract-Datasets_and_Benchmarks_Track.html,"Sections 4.1-4.2 and Tables 3-4 define Protocol-MVSS and Protocol-CAT over CASIA, Fantastic Reality, IMD2020, NIST16, Columbia, Coverage, tamperedCOCO, and tamperedRAISE. Added transforms are OpenCV copy-move and inpainting, and the paper explicitly says IMDL does not pertain to purely generated images; no modern generative subset is scored.",EVIDENCE_EXCLUDES_SCOPE,The benchmark protocols are classical manipulation evaluations despite reusable general-purpose code.,,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:6338fbc2cd19a1bf,Towards Modern Image Manipulation Localization: A Large-Scale Dataset and Novel Methods,IMAGE,"Do the 123,150 manually forged images or evaluation sets include substantive generative inpainting/editing, or only human-made classical edits? Identify the manipulation provenance and separate results.",https://openaccess.thecvf.com/content/CVPR2024/html/Qu_Towards_Modern_Image_Manipulation_Localization_A_Large-Scale_Dataset_and_Novel_CVPR_2024_paper.html,"Sections 1 and 3/Table 1 define MIML as 123,150 manually forged web images made with tools such as Photoshop/GIMP and categorize the manipulations as copy-move, splicing, and removal. Tables 2-7 evaluate MIML and conventional IML sets without a modern generative-edit subset.",EVIDENCE_EXCLUDES_SCOPE,The word modern describes scale and method design; the evaluated forgeries remain manually created classical manipulations.,,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:67fabc63d5da6e37,Pre-Training-Free Image Manipulation Localization through Non-Mutually Exclusive Contrastive Learning,IMAGE,Which of NCL-IML’s five benchmarks evaluate generatively produced manipulations? Real/tampered/contour patch labels alone do not identify how a manipulation was made.,https://openaccess.thecvf.com/content/ICCV2023/html/Zhou_Pre-Training-Free_Image_Manipulation_Localization_through_Non-Mutually_Exclusive_Contrastive_Learning_ICCV_2023_paper.html,"Section 4.1 and Tables 1-2 evaluate CASIA, NIST16, Columbia, Coverage, and DEFACTO. Those benchmarks cover splicing, copy-move, and exemplar-based object removal/inpainting; the paper reports no diffusion, text-guided, or other modern generative manipulation subset.",EVIDENCE_EXCLUDES_SCOPE,Patch-label design does not change the classical provenance of all five evaluated benchmarks.,,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:6de8f49b49f65330,Noise-assisted Prompt Learning for Image Forgery Detection and Localization,IMAGE,"Do CLIP-IFDL’s tests include substantive fully generated or generatively edited images with separate forensic metrics, rather than classical forgery only?",https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/1688_ECCV_2024_paper.php,"Section 4 and Tables 1-2 report quantitative results only on CASIA, Coverage, Columbia, NIST16, and IMD2020. CocoGlide diffusion edits and FaceShifter appear only in Figure 6 qualitative visualizations, with no separate detection or localization metric.",EVIDENCE_EXCLUDES_SCOPE,Generative examples are incidental qualitative illustrations rather than a substantive forensic evaluation.,,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:7aba8c4410d51d0a,SAFL-Net: Semantic-Agnostic Feature Learning Network with Auxiliary Plugins for Image Manipulation Detection,IMAGE,"Does SAFL-Net independently evaluate generative-image manipulations, rather than only conventional editing? Identify the generative test data and results.",https://openaccess.thecvf.com/content/ICCV2023/html/Sun_SAFL-Net_Semantic-Agnostic_Feature_Learning_Network_with_Auxiliary_Plugins_for_Image_ICCV_2023_paper.html,"Section 4 uses ProDEFACTO, PSBattles, and authentic images for pretraining and tests Columbia, Coverage, CASIA, NIST16, and IMD2020 in Tables 2 and 4. ProDEFACTO derives from classical splicing, copy-move, and exemplar-based inpainting; no modern generative-edit results are reported.",EVIDENCE_EXCLUDES_SCOPE,All substantive inputs are classical manipulations; synthetic pretraining does not by itself establish generative-image forensics.,,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
