title,year,expected_task,source_doc,section,recommended_action,best_openalex_title_match,best_openalex_title_score,notes
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,check_affiliations_coordinates_or_export_rules,Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,1.000,source_suffix=ICCV 2019
Learning to disentangle gan fingerprint for fake image attribution,2021,source_attribution,Z_Update_SIA.docx,Identification,check_affiliations_coordinates_or_export_rules,Learning to Disentangle GAN Fingerprint for Fake Image Attribution,1.000,"source_suffix=arXiv, 20210616"
Deepfake Network Architecture Attribution,2022,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,check_affiliations_coordinates_or_export_rules,Deepfake Network Architecture Attribution,1.000,source_suffix=AAAI 2022
RepMix: Representation Mixing for Robust Attribution of Synthesized Images,2022,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,check_affiliations_coordinates_or_export_rules,RepMix: Representation Mixing for Robust Attribution of Synthesized Images,1.000,source_suffix=ECCV 2022
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,check_affiliations_coordinates_or_export_rules,Where Did I Come From? Origin Attribution of AI-Generated Images,1.000,"source_suffix=NeurIPS, 2023"
Reverse engineering of generative models: Inferring model hyperparameters from generated images,2023,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,check_affiliations_coordinates_or_export_rules,Reverse Engineering of Generative Models: Inferring Model Hyperparameters From Generated Images,1.000,source_suffix=IEEE TPAMI 2023
Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,Detection of GAN-Generated Images by Estimating Artifact Similarity,1.000,
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,1.000,
GenDet: Towards Good Generalizations for AI-Generated Image Detection,2023,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,GenDet: Towards Good Generalizations for AI-Generated Image Detection,1.000,source_suffix=arXiv 2023
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,LaRE$^2$: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,1.000,
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,Exposing the Fake: Effective Diffusion-Generated Images Detection,1.000,title_normalized=method_acronym_removed; method_alias=SeDID
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,Breaking Semantic Artifacts for Generalized AI-generated Image Detection,1.000,"source_suffix=NeurIPS, 2024"
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,1.000,
Advanced Detection of AI-Generated Images Through Vision Transformers,2024,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,Advanced Detection of AI-Generated Images Through Vision Transformers,1.000,"source_suffix=IEEE Access, 2024"
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,A Single Simple Patch is All You Need for AI-generated Image Detection,1.000,
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,1.000,
RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,1.000,"source_suffix=arXiv, 20240530"
A Sanity Check for AI-generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,check_affiliations_coordinates_or_export_rules,A Sanity Check for AI-generated Image Detection,1.000,"source_suffix=ICLR, 2025"
AI-generated Image Detection: Passive or Watermark?,2024,detection,Z_Update_SID-2018-2025.docx,Benchmark,check_affiliations_coordinates_or_export_rules,AI-generated Image Detection: Passive or Watermark?,1.000,"auxiliary; benchmark; source_suffix=arXiv, 20241120"
Genimage: A million-scale benchmark for detecting ai-generated image,2023,detection,Z_Update_SID-2018-2025.docx,Dataset,check_affiliations_coordinates_or_export_rules,GenImage: A Million-Scale Benchmark for Detecting AI-Generated Image,1.000,"auxiliary; benchmark; dataset; source_suffix=NeurIPS, 2023"
WildFake: A Large-scale Challenging Dataset for AI-Generated Images Detection,2025,detection,Z_Update_SID-2018-2025.docx,Dataset,check_affiliations_coordinates_or_export_rules,WildFake: A Large-scale Challenging Dataset for AI-Generated Images Detection,1.000,auxiliary; dataset; source_suffix=AAAI 2025
Detecting Multimedia Generated by Large AI Models: A Survey,2024,detection,Z_Update_SID-2018-2025.docx,Survey,check_affiliations_coordinates_or_export_rules,Detecting Multimedia Generated by Large AI Models: A Survey,1.000,auxiliary; survey; source_suffix=arXiv 20240207. 美/意
