institution_id,canonical_name,current_type,proposed_type,evidence,confidence,provenance,usage_paper_count,usage_map_record_count,review_required,applied_rule,curated_presence
institution:61adfe1cfbad3b19,Academy of Broadcasting Science,other,other,unverified_names=Academy of Broadcasting Science; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,4,yes,manual_review_required,public_only
institution:a3c0c022b00a11a5,Adobe Systems (United States),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:e24529de73ecaa2c,Agence France-Presse,other,other,unverified_names=Agence France-Presse; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,12,yes,manual_review_required,public_only
institution:c04d9c3ee6b155d2,Ahsanullah University of Science and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:030ecebfe13ca82f,Ain Shams University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:f31d282d4be83051,AISSMS Institute of Information Technology,other,other,unverified_names=AISSMS Institute of Information Technology; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,4,yes,manual_review_required,public_only
institution:091dadcc6613c152,Al-Azhar University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:ed46151823d63d21,Albany State University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:cc0b303e1e182195,Alibaba Group (China),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:1b35f3068bbd3352,Aligarh Muslim University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:8a27d1e066e2cd4c,Allied Services,other,other,unverified_names=Allied Services; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,6,yes,manual_review_required,public_only
institution:5dc3b0fc32168ce3,Altınbaş University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:f7126dbda09b4f9a,Amity University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
