audit_id,review_group_id,mapping_id,paper_id,paper_title,year,doi,openalex_url,author,current_institution,current_institution_id,raw_affiliation,suggested_canonical_institution,suggested_institution_id,provenance,severity,issue_type,classification,is_blocking,reason,recommended_action,resolution_status
institution-consistency:0b5a3a5055ccbc4c2b1f,institution-review-group:565d240f5343e625ae57,,,,,,,,Alibaba Inc,institution:6faf58b52bec4e39,,Alibaba Group,institution:73f449eb6a3c05d3,unresolved,low,duplicate_institution,institution review,false,Why flagged: multiple active institution entities have semantically equivalent canonical names.,Review aliases and merge only with explicit confirmation.,unresolved
institution-consistency:b077c5af362fd6eb0e9a,institution-review-group:565d240f5343e625ae57,,,,,,,,University of Sydney,institution:965434eee0b97685,,The University of Sydney,institution:1984e5f97afb62d8,unresolved,low,duplicate_institution,institution review,false,Why flagged: multiple active institution entities have semantically equivalent canonical names.,Review aliases and merge only with explicit confirmation.,unresolved
institution-consistency:98cad10c796b21aa386d,institution-review-group:565d240f5343e625ae57,,,,,,,,Jinan University,institution:8632718a2c1444c6,,University of Jinan,institution:4dc98405f4a72728,unresolved,low,duplicate_institution,institution review,false,Why flagged: multiple active institution entities have semantically equivalent canonical names.,Review aliases and merge only with explicit confirmation.,unresolved
institution-consistency:7173133fbcced08b89d3,institution-review-group:565d240f5343e625ae57,,,,,,,,Zhejiang Lab,institution:2f8c9f8f9209013d,,Zhejiang University,institution:e433baf78e80004b,unresolved,low,duplicate_institution,institution review,false,Why flagged: multiple active institution entities have semantically equivalent canonical names.,Review aliases and merge only with explicit confirmation.,unresolved
institution-consistency:6bc7b8d7f622528f2691,institution-review-group:565d240f5343e625ae57,,,,,,,,China People's Public Security University,institution:b3e3a87d3fc950c5,,People's Public Security University of China,institution:48441fb89f75bf9d,unresolved,low,duplicate_institution,institution review,false,Why flagged: multiple active institution entities have semantically equivalent canonical names.,Review aliases and merge only with explicit confirmation.,unresolved
institution-consistency:f83d661380b30a4f4dcb,institution-review-group:565d240f5343e625ae57,,,,,,,,"Chinese University of Hong Kong, Shenzhen",institution:d31a9474efa16c6c,,"The Chinese University of Hong Kong, Shenzhen",institution:5dbb9ac6a407e079,unresolved,low,duplicate_institution,institution review,false,Why flagged: multiple active institution entities have semantically equivalent canonical names.,Review aliases and merge only with explicit confirmation.,unresolved
institution-consistency:f12cb77c3c0dc75a05ec,institution-review-group:565d240f5343e625ae57,,,,,,,,University of Chinese Academy of Sciences,institution:69309405e04976ec,,Chinese Academy of Sciences,institution:3afb6cc453e0a8d9,unresolved,low,duplicate_institution,institution review,false,Why flagged: multiple active institution entities have semantically equivalent canonical names.,Review aliases and merge only with explicit confirmation.,unresolved
institution-consistency:58fa9a1093ff9bfb4102,institution-review-group:565d240f5343e625ae57,,,,,,,,Northeastern University,institution:0008285766dcabc7,,Northeastern University,institution:ff1a1bc95dbe91a8,unresolved,low,duplicate_institution,institution review,false,Why flagged: multiple active institution entities have semantically equivalent canonical names.,Review aliases and merge only with explicit confirmation.,unresolved
institution-consistency:621167b20caa06c8721d,institution-review-group:fed901945b0da2ad5bfd,mapping:3ac937fe727eb34f0b2c,openalex:W4393021531,A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,2024,10.62304/jieet.v3i01.77,https://openalex.org/W4393021531,Afia Farjana Mifa,Lamar University,institution:bec45b93a867958c,"College of Business, Beaumont, Texas, USA.",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:956560289470b0b05e8b,institution-review-group:c66a1e3d4732a7784ce2,mapping:3ac937fe727eb34f0b2c,openalex:W4393021531,A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,2024,10.62304/jieet.v3i01.77,https://openalex.org/W4393021531,Anjuman Ara,Lamar University,institution:bec45b93a867958c,"College of Business, Beaumont, Texas, USA.",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:343a0244c7930800e1a1,institution-review-group:4e45e56457fdf95f78ea,mapping:3ac937fe727eb34f0b2c,openalex:W4393021531,A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,2024,10.62304/jieet.v3i01.77,https://openalex.org/W4393021531,Kamrujjaman,Lamar University,institution:bec45b93a867958c,"College of Business, Beaumont, Texas, USA.",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
