canonical_paper_identity,title,previous_publication_type,canonical_venue_id,canonical_venue_name,canonical_venue_type,arxiv_id,arxiv_url,doi,repository_identifiers,proposed_publication_type,applied_rule,ambiguity_status
https://openalex.org/W7155245437,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,preprint,venue:arxiv:main,arXiv,preprint,2604.16879,https://arxiv.org/abs/2604.16879,,2604.16879; https://arxiv.org/abs/2604.16879,preprint,existing_value,resolved
curated:98bed92571e23d5df139,AI-Generated Image Detection: Challenges and Recent Advances,book,,,book,,,10.1007/978-3-032-11782-3_6,,book,canonical_venue_type,resolved
https://openalex.org/W7133363592,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2603.01878,https://arxiv.org/abs/2603.01878,,2603.01878; https://arxiv.org/abs/2603.01878,preprint,existing_value,resolved
10.1007/978-3-032-07343-3_12,DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,book,venue:lncs:main,Lecture Notes in Computer Science,book,2504.19876v1,https://arxiv.org/abs/2504.19876v1,10.1007/978-3-032-07343-3_12,2504.19876v1; https://arxiv.org/abs/2504.19876v1,book,canonical_venue_type,resolved
10.21203/rs.3.rs-8633550/v1,"GReX-Bench: Benchmarking Generalization, Robustness, and Explainability in AI-Generated Image Detection",preprint,venue:research-square:main,Research Square,preprint,,,10.21203/rs.3.rs-8633550/v1,,preprint,existing_value,resolved
curated:d59bffe554500b241a3e,ImageAttributionBench: How Far Are We from Generalizable Attribution?,preprint,venue:arxiv:main,arXiv,preprint,2605.12967,https://arxiv.org/abs/2605.12967,10.48550/arxiv.2605.12967,2605.12967; https://arxiv.org/abs/2605.12967; 10.48550/arxiv.2605.12967,preprint,existing_value,resolved
curated:c84b04cb8e921be753db,Representation and Reference Selection in Training-Free Synthetic Image Attribution,preprint,,,preprint,2607.12052v1,https://arxiv.org/abs/2607.12052v1,,2607.12052v1; https://arxiv.org/abs/2607.12052v1,preprint,existing_value,resolved
curated:35aae1e2c9d673ab1a97,Source Attribution of AI-Generated Images: a Principled Survey,preprint,venue:zenodo:main,Zenodo,preprint,,,10.5281/zenodo.20814592,10.5281/zenodo.20814592,preprint,existing_value,resolved
https://openalex.org/W7117078863,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,preprint,venue:arxiv:main,arXiv,preprint,2512.17730,http://arxiv.org/abs/2512.17730,,2512.17730; http://arxiv.org/abs/2512.17730,preprint,existing_value,resolved
curated:5f105b70c28ce5beeb0b,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,preprint,venue:arxiv:main,arXiv,preprint,2504.03615,https://arxiv.org/abs/2504.03615,10.48550/arxiv.2504.03615,2504.03615; https://arxiv.org/abs/2504.03615; 10.48550/arxiv.2504.03615,preprint,existing_value,resolved
curated:8bdbf72555619e7893d3,Beyond Known Fakes: Generalized Detection of AI-Generated Images via Post-hoc Distribution Alignment,preprint,venue:arxiv:main,arXiv,preprint,2502.10803,https://arxiv.org/abs/2502.10803,10.48550/arxiv.2502.10803,2502.10803; https://arxiv.org/abs/2502.10803; 10.48550/arxiv.2502.10803,preprint,existing_value,resolved
https://doi.org/10.48550/arxiv.2512.16300,Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,preprint,venue:arxiv:main,arXiv,preprint,2512.16300,http://arxiv.org/abs/2512.16300,https://doi.org/10.48550/arxiv.2512.16300,2512.16300; http://arxiv.org/abs/2512.16300; https://doi.org/10.48550/arxiv.2512.16300,preprint,existing_value,resolved
10.1007/978-981-96-1981-8_5,Deepfake Image Detection Using Convolutional Neural Network,book,venue:lecture-notes-in-networks-and-systems:main,Lecture notes in networks and systems,book,,,10.1007/978-981-96-1981-8_5,,book,canonical_venue_type,resolved
10.1007/978-3-031-84543-7_11,Deepfake Image Detection Using Light-Weight Attention Integrated MobileNetV3 Model,book,venue:lncs:main,Lecture Notes in Computer Science,book,,,10.1007/978-3-031-84543-7_11,,book,canonical_venue_type,resolved
10.2139/ssrn.5029893,Detecting AI-Generated Images Using Vision Transformers: A Robust Approach for Safeguarding Visual Media Integrity,preprint,venue:ssrn:main,SSRN Electronic Journal,preprint,,,10.2139/ssrn.5029893,,preprint,existing_value,resolved
10.1007/978-3-031-92648-8_24,Evolution of Detection Performance Throughout the Online Lifespan of Synthetic Images,book,venue:lncs:main,Lecture Notes in Computer Science,book,,,10.1007/978-3-031-92648-8_24,,book,canonical_venue_type,resolved
10.1007/978-3-031-92089-9_6,Fake or JPEG? Revealing Common Biases in Generated Image Detection Datasets,book,venue:lncs:main,Lecture Notes in Computer Science,book,2403.17608v2,https://arxiv.org/abs/2403.17608v2,10.1007/978-3-031-92089-9_6,2403.17608v2; https://arxiv.org/abs/2403.17608v2,book,canonical_venue_type,resolved
https://doi.org/10.48550/arxiv.2503.24267,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,preprint,venue:arxiv:main,arXiv,preprint,2503.24267,http://arxiv.org/abs/2503.24267,https://doi.org/10.48550/arxiv.2503.24267,2503.24267; http://arxiv.org/abs/2503.24267; https://doi.org/10.48550/arxiv.2503.24267,preprint,existing_value,resolved
https://doi.org/10.48550/arxiv.2509.20890,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,preprint,venue:arxiv:main,arXiv,preprint,2509.20890,https://arxiv.org/abs/2509.20890,https://doi.org/10.48550/arxiv.2509.20890,2509.20890; https://arxiv.org/abs/2509.20890; https://doi.org/10.48550/arxiv.2509.20890,preprint,existing_value,resolved
https://doi.org/10.48550/arxiv.2503.08148,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,preprint,venue:arxiv:main,arXiv,preprint,2503.08148,https://arxiv.org/abs/2503.08148,https://doi.org/10.48550/arxiv.2503.08148,2503.08148; https://arxiv.org/abs/2503.08148; https://doi.org/10.48550/arxiv.2503.08148,preprint,existing_value,resolved
10.48550/arxiv.2512.21512,Fixed-Threshold Evaluation of a Hybrid CNN-ViT for AI-Generated Image Detection Across Photos and Art,preprint,venue:arxiv:main,arXiv,preprint,2512.21512,https://arxiv.org/abs/2512.21512,10.48550/arxiv.2512.21512,2512.21512; https://arxiv.org/abs/2512.21512; 10.48550/arxiv.2512.21512,preprint,existing_value,resolved
10.48550/arxiv.2505.23192,Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,preprint,venue:arxiv:main,arXiv,preprint,2505.23192,https://arxiv.org/abs/2505.23192,10.48550/arxiv.2505.23192,2505.23192; https://arxiv.org/abs/2505.23192; 10.48550/arxiv.2505.23192,preprint,existing_value,resolved
10.48550/arxiv.2505.11003,ForensicHub: A Unified Benchmark &amp; Codebase for All-Domain Fake Image Detection and Localization,preprint,venue:arxiv:main,arXiv,preprint,2505.11003,https://arxiv.org/abs/2505.11003,10.48550/arxiv.2505.11003,2505.11003; https://arxiv.org/abs/2505.11003; 10.48550/arxiv.2505.11003,preprint,existing_value,resolved
curated:0849228c52c5759845c2,FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images,preprint,venue:arxiv:main,arXiv,preprint,2507.02995,https://arxiv.org/abs/2507.02995,10.48550/arxiv.2507.02995,2507.02995; https://arxiv.org/abs/2507.02995; 10.48550/arxiv.2507.02995,preprint,existing_value,resolved
https://doi.org/10.48550/arxiv.2511.00181,From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2511.00181,http://arxiv.org/abs/2511.00181,https://doi.org/10.48550/arxiv.2511.00181,2511.00181; http://arxiv.org/abs/2511.00181; https://doi.org/10.48550/arxiv.2511.00181,preprint,existing_value,resolved
curated:47b576be1ed7e2a6bfed,"Fully AI-Generated Image Detection: Definition, Recent Advances and Challenges",preprint,venue:arxiv:main,arXiv,preprint,2502.19716,https://arxiv.org/abs/2502.19716,10.48550/arxiv.2502.19716,2502.19716; https://arxiv.org/abs/2502.19716; 10.48550/arxiv.2502.19716,preprint,existing_value,resolved
https://doi.org/10.48550/arxiv.2503.08484,Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,preprint,venue:arxiv:main,arXiv,preprint,2503.08484,http://arxiv.org/abs/2503.08484,https://doi.org/10.48550/arxiv.2503.08484,2503.08484; http://arxiv.org/abs/2503.08484; https://doi.org/10.48550/arxiv.2503.08484,preprint,existing_value,resolved
curated:3c3cd6143ece4045b378,Generalized Design Choices for Deepfake Detectors,preprint,venue:arxiv:main,arXiv,preprint,2511.21507,https://arxiv.org/abs/2511.21507,10.48550/arxiv.2511.21507,2511.21507; https://arxiv.org/abs/2511.21507; 10.48550/arxiv.2511.21507,preprint,existing_value,resolved
https://doi.org/10.48550/arxiv.2507.03054,LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2507.03054,http://arxiv.org/abs/2507.03054,https://doi.org/10.48550/arxiv.2507.03054,2507.03054; http://arxiv.org/abs/2507.03054; https://doi.org/10.48550/arxiv.2507.03054,preprint,existing_value,resolved
https://doi.org/10.1109/iccv51701.2025.01760,LEGION: Learning to Ground and Explain for Synthetic Image Detection,preprint,,,preprint,2503.15264,http://arxiv.org/abs/2503.15264,https://doi.org/10.1109/iccv51701.2025.01760,2503.15264; http://arxiv.org/abs/2503.15264,preprint,existing_value,resolved
https://doi.org/10.48550/arxiv.2504.08149,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,preprint,venue:arxiv:main,arXiv,preprint,2504.08149,https://arxiv.org/abs/2504.08149,https://doi.org/10.48550/arxiv.2504.08149,2504.08149; https://arxiv.org/abs/2504.08149; https://doi.org/10.48550/arxiv.2504.08149,preprint,existing_value,resolved
10.48550/arxiv.2510.03840,Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,preprint,venue:arxiv:main,arXiv,preprint,2510.03840,https://arxiv.org/abs/2510.03840,10.48550/arxiv.2510.03840,2510.03840; https://arxiv.org/abs/2510.03840; 10.48550/arxiv.2510.03840,preprint,existing_value,resolved
10.3233/faia251048,Multi-Perspective Frequency Domain Learning for Generalizable AI-Generated Image Detection,book,venue:frontiers-aiai:main,Frontiers in Artificial Intelligence and Applications,book,,,10.3233/faia251048,,book,canonical_venue_type,resolved
curated:be2900947b322f9eb905,OmniDFA: A Unified Framework for Open Set Synthesis Image Detection and Few-Shot Attribution,preprint,venue:arxiv:main,arXiv,preprint,2509.25682,https://arxiv.org/abs/2509.25682,10.48550/arxiv.2509.25682,2509.25682; https://arxiv.org/abs/2509.25682; 10.48550/arxiv.2509.25682,preprint,existing_value,resolved
curated:772bb625ccc3e45e8481,Prompt-Engineered Detection of AI-Generated Images,book,venue:frontiers-aiai:main,Frontiers in Artificial Intelligence and Applications,book,,,10.3233/faia250538,,book,canonical_venue_type,resolved
https://doi.org/10.1007/978-981-95-3001-4_12,Robust AI-Synthesized Image Detection via Multi-feature Frequency-Aware Learning,book,venue:lncs:main,Lecture Notes in Computer Science,book,,,https://doi.org/10.1007/978-981-95-3001-4_12,,book,canonical_venue_type,resolved
curated:d040be3d1fb83a51311e,Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2502.07778,https://arxiv.org/abs/2502.07778,10.48550/arxiv.2502.07778,2502.07778; https://arxiv.org/abs/2502.07778; 10.48550/arxiv.2502.07778,preprint,existing_value,resolved
curated:ef5f9b419eef35c5c255,Where's the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,preprint,venue:arxiv:main,arXiv,preprint,2505.01008,https://arxiv.org/abs/2505.01008,10.48550/arxiv.2505.01008,2505.01008; https://arxiv.org/abs/2505.01008; 10.48550/arxiv.2505.01008,preprint,existing_value,resolved
10.48550/arxiv.2406.19435,A Sanity Check for AI-generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2406.19435,https://arxiv.org/abs/2406.19435,10.48550/arxiv.2406.19435,2406.19435; https://arxiv.org/abs/2406.19435; 10.48550/arxiv.2406.19435,preprint,existing_value,resolved
10.48550/arxiv.2402.01123,A Single Simple Patch is All You Need for AI-generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2402.01123,https://arxiv.org/abs/2402.01123,10.48550/arxiv.2402.01123,2402.01123; https://arxiv.org/abs/2402.01123; 10.48550/arxiv.2402.01123,preprint,existing_value,resolved
